music,singer,release_date,category,music_like,movie_like,movie_views
Candy,NCT DREAM,2022.12.16,댄스,147917,597,22222
After LIKE,IVE,2022.08.22,댄스,226070,4809,527965
Attention,NewJeans,2022.08.01,댄스,221304,2855,85031
VIBE (feat. Jimin of BTS),태양,2023.01.13,댄스,95450,2869,87822
파이팅 해야지 (Feat. 이영지),부석순,2023.02.06,댄스,146231,388,18139
사건의 지평선,윤하,2022.03.30,록/메탈,298221,1202,103034
Hype boy,NewJeans,2022.08.01,댄스,259078,2660,150738
OMG,NewJeans,2023.01.02,댄스,176945,1519,34131
Ditto,NewJeans,2022.12.19,댄스,252945,2692,177577
Teddy Bear,STAYC(스테이씨),2023.02.14,댄스,83856,705,63643
너의 모든 순간,성시경,2014.02.12,"발라드, 국내드라마",260496,,
풍등,이찬원,2023.02.20,성인가요/트로트,12849,3767,20154
I Don`t Think That I Like Her,Charlie Puth,2022.10.07,POP,157600,,
Monologue,테이,2022.09.18,발라드,82780,,
ANTIFRAGILE,LE SSERAFIM,2022.10.17,댄스,158685,2234,186512
NOT SORRY (Feat. pH-1),이영지,2022.12.17,랩/힙합,94076,,
The Drum,Alan Walker,2022.06.17,일렉트로니카,39270,,
Love War (Feat. BE`O),YENA(최예나),2023.01.16,R&B/Soul,31261,550,13382
신호등,이무진,2021.05.14,록/메탈,295291,3439,300475
무지개,임영웅,2022.05.02,록/메탈,61766,,
눈) (EYE),던말릭,2022.12.17,랩/힙합,34779,,
Feel My Rhythm,레드벨벳(Red Velvet),2022.03.21,댄스,150032,1058,147640
그 겨울이 잠든 거리에서,"경서예지, 전건호",2022.12.11,발라드,18966,31,4265
아픈 나를,성시경,2022.12.27,발라드,19529,261,10397
Made You Look,Meghan Trainor,2022.10.21,POP,32872,,
Snowman,Sia,2022.12.30,POP,245655,437,36388
Butter,방탄소년단,2021.05.21,댄스,286359,11377,457091
Off My Face,Justin Bieber,2021.10.08,POP,164975,269,22222
희재,성시경,2003.02.01,"발라드, 국내영화",136083,,
봄날,방탄소년단,2017.02.13,랩/힙합,542296,30812,1669186
Happy Fools (feat. Coi Leray),투모로우바이투게더,2023.01.27,랩/힙합,53856,,
FOREVER 1,소녀시대,2022.08.05,댄스,107582,1366,133721
Tinnitus (돌멩이가 되고 싶어),투모로우바이투게더,2023.01.27,R&B/Soul,54108,,
위하여 (We Higher),"그루비룸, 릴보이, Blase, 노윤하, Polodared, Chillin Homie, Fleeky Bang",2022.12.03,랩/힙합,45261,,
Love story,볼빨간사춘기,2022.04.20,"인디음악, 포크/블루스",113882,395,26613
이제 나만 믿어요,임영웅,2020.04.03,성인가요/트로트,166497,,
네버랜드를 떠나며,투모로우바이투게더,2023.01.27,록/메탈,60310,,
