music,singer,release_date,category,music_like,movie_like,movie_views
이제 나만 믿어요,임영웅,2020.04.03,성인가요/트로트,166537,,
CREDIT,릴보이,2020.12.19,랩/힙합,84025,,
Life Goes On,방탄소년단,2020.11.20,랩/힙합,243616,6446,60600
취기를 빌려,산들,2020.07.20,발라드,231335,,
힘든 건 사랑이 아니다,임창정,2020.10.19,발라드,115690,671,73360
Lovesick Girls,BLACKPINK,2020.10.02,댄스,230920,3479,90899
내일이 오면,릴보이,2020.12.05,랩/힙합,132724,,
잠이 오질 않네요,장범준,2020.10.24,발라드,165353,,
Dynamite,방탄소년단,2020.08.24,댄스,450681,13477,1089704
밤하늘의 별을(2020),경서,2020.11.14,발라드,219199,787,111442
VVS,"미란이, 먼치맨, Khundi Panda, 머쉬베놈",2020.11.21,랩/힙합,208298,,
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,2019.08.23,"록/메탈, 국내드라마",312270,1259,353820
딩가딩가,마마무,2020.10.20,댄스,70609,2741,276949
늦은 밤 너의 집 앞 골목길에서,노을,2019.11.07,발라드,207581,423,151315
Freak,"릴보이 , 원슈타인 , Chillin Homie , 스카이민혁",2020.11.21,랩/힙합,76922,,
혼술하고 싶은 밤,벤,2020.12.02,발라드,53690,240,16234
벌써 일년,미도와 파라솔,2021.07.30,"발라드, 국내드라마",21618,,
하늘을 달리다,HYNN(박혜원),2021.09.10,"록/메탈, 국내드라마",11848,304,7735
LOCO,ITZY,2021.09.24,댄스,53556,756,80059
LALISA,리사,2021.09.10,랩/힙합,49870,309,21386
Road Trip,NCT 127,2021.09.17,R&B/Soul,57416,1438,5550
회상,정경호,2021.08.20,"발라드, 국내드라마",24807,150,7787
언젠가는,미도와 파라솔,2021.09.17,"록/메탈, 국내드라마",17747,324,17031
가까운 듯 먼 그대여,카더가든,2021.08.26,발라드,60438,68,6120
너 하나야,길구봉구,2021.09.17,발라드,15802,,
BRAIN,양요섭,2021.09.20,R&B/Soul,20176,1744,13357
Lemonade,NCT 127,2021.09.17,랩/힙합,67965,1699,13258
빨간 립스틱,이하이,2021.09.09,R&B/Soul,30110,257,28967
찰나가 영원이 될 때,마크툽,2021.09.19,"R&B/Soul, 인디음악",85653,,
Butterfly,전미도,2021.09.17,"록/메탈, 국내드라마",25845,308,18587
Sticker,NCT 127,2021.09.17,랩/힙합,67965,1699,13258
산책,백예린,2021.09.10,발라드,76956,397,7433
색안경,STAYC(스테이씨),2021.09.06,댄스,81967,1261,87844
