music,singer,release_date,category,music_like,movie_like,movie_views
Attention,NewJeans,2022.08.01,댄스,221366,2854,85081
VIBE,태양,2023.01.13,댄스,95519,2869,87953
파이팅 해야지,부석순,2023.02.06,댄스,146788,389,18288
사건의 지평선,윤하,2022.03.30,록/메탈,298373,1203,103204
Hype boy,NewJeans,2022.08.01,댄스,259237,2660,151043
OMG,NewJeans,2023.01.02,댄스,177105,1520,34222
Ditto,NewJeans,2022.12.19,댄스,253121,2692,177949
Monologue,테이,2022.09.18,발라드,82840,,
ANTIFRAGILE,LE SSERAFIM,2022.10.17,댄스,158941,2255,187300
NOT SORRY,이영지,2022.12.17,랩/힙합,94121,,
Nxde,(여자)아이들,2022.10.17,댄스,157639,2383,268962
LOVE DIVE,IVE,2022.04.05,댄스,233744,4629,584277
Candy,NCT DREAM,2022.12.16,댄스,148020,596,22303
After LIKE,IVE,2022.08.22,댄스,226155,4812,528768
Unholy,"Sam Smith, Kim Petras",2022.09.22,POP,50514,,
새삥,지코,2022.09.06,랩/힙합,145610,,
The Drum,Alan Walker,2022.06.17,일렉트로니카,39348,,
Love War,YENA(최예나),2023.01.16,R&B/Soul,31280,551,13417
신호등,이무진,2021.05.14,록/메탈,295314,3440,300605
무지개,임영웅,2022.05.02,록/메탈,61805,,
눈,던말릭,2022.12.17,랩/힙합,34787,,
Feel My Rhythm,레드벨벳(Red Velvet),2022.03.21,댄스,150045,1058,147696
그 겨울이 잠든 거리에서,"경서예지, 전건호",2022.12.11,발라드,18979,31,4279
아픈 나를,성시경,2022.12.27,발라드,19538,262,10408
Made You Look,Meghan Trainor,2022.10.21,POP,32905,,
Snowman,Sia,2022.12.30,POP,245660,437,36399
Butter,방탄소년단,2021.05.21,댄스,286401,11376,457177
Off My Face,Justin Bieber,2021.10.08,POP,165052,269,22247
희재,성시경,2003.02.01,"발라드, 국내영화",136155,,
봄날,방탄소년단,2017.02.13,랩/힙합,542342,30811,1669220
Happy Fools,투모로우바이투게더,2023.01.27,랩/힙합,53874,,
FOREVER 1,소녀시대,2022.08.05,댄스,107586,1367,133786
Tinnitus,투모로우바이투게더,2023.01.27,R&B/Soul,54115,,
위하여,"그루비룸, 릴보이, Blase, 노윤하, Polodared, Chillin Homie, Fleeky Bang",2022.12.03,랩/힙합,45321,,
Love story,볼빨간사춘기,2022.04.20,"인디음악, 포크/블루스",113944,396,26634
이제 나만 믿어요,임영웅,2020.04.03,성인가요/트로트,166533,,
네버랜드를 떠나며,투모로우바이투게더,2023.01.27,록/메탈,60341,,
다시 만날 수 있을까,임영웅,2022.05.02,발라드,73735,15009,126306
새벽에 걸려온 너의 전화는,한동근,2022.07.31,발라드,55678,45,11122
나의 목소리로,김호중,2022.10.02,발라드,18606,,
우린 그렇게 사랑해서,"강민경, 잔나비",2022.09.26,발라드,64526,383,18225
내 기쁨은 너가 벤틀리를 끄는 거야,김승민,2021.10.19,랩/힙합,100118,,
가슴으로 운다,김연지,2023.01.11,발라드,11819,,
도깨비불,aespa,2022.06.01,댄스,87771,854,64327
봄여름가을겨울,BIGBANG,2022.04.05,록/메탈,295913,5101,239452
That That,싸이,2022.04.29,댄스,133838,2917,361949
혼자서 걸어요,태연,2023.02.02,발라드,25014,250,11673
Dynamite,방탄소년단,2020.08.24,댄스,450681,13477,1089698
그중에 그대를 만나,김호중,2022.09.24,"발라드, 국내드라마",19639,2995,54373
눈이 오잖아,이무진,2021.12.03,발라드,114683,1345,70486
Devil by the Window,투모로우바이투게더,2023.01.27,댄스,62627,,
떠나보낼 준비해 둘걸 그랬어,임한별,2022.10.18,발라드,39958,,
당신을 만나,"김호중, 송가인",2023.01.25,발라드,16176,,
우리들의 블루스,임영웅,2022.05.02,발라드,91244,17647,144766
밤하늘의 별을(2020),경서,2020.11.14,발라드,219196,787,111439
주저하는 연인들을 위해,잔나비,2019.03.13,"인디음악, 록/메탈",373690,3658,322752
사랑해도 될까요,양다일,2023.01.15,발라드,16690,,
LOVE me,BE`O,2022.04.12,랩/힙합,140609,1019,84755
보고싶었어,WSG워너비,2022.07.09,R&B/Soul,128173,,
첫사랑,백아,2018.10.11,"인디음악, 포크/블루스",145541,,
니 번호가 뜨는 일,이예준,2023.01.17,발라드,20990,,
