music,singer,release_date,category,music_like,movie_like,movie_views
내일이 오면,릴보이 (lIlBOI),2020.12.05,랩/힙합,132739,,
잠이 오질 않네요,장범준,2020.10.24,발라드,165369,,
Dynamite,방탄소년단,2020.08.24,댄스,450719,13477,1089768
밤하늘의 별을(2020,경서,2020.11.14,발라드,219218,787,111467
VVS,"미란이, 먼치맨, Khundi Panda, 머쉬베놈 (Mirani)",2020.11.21,랩/힙합,208306,,
Achoo,미란이 (Mirani),2020.12.05,랩/힙합,68234,,
Savage Love,"Jawsh 685, Jason Derulo, BTS",2020.10.02,POP,202969,,
오래된 노래,스탠딩 에그(Standing Egg) (Standing Egg),2012.09.04,"인디음악, 포크/블루스",255642,,
ON AIR,릴보이 (lIlBOI),2020.12.19,랩/힙합,53466,,
이제 나만 믿어요,임영웅,2020.04.03,성인가요/트로트,166558,,
CREDIT,릴보이 (lIlBOI),2020.12.19,랩/힙합,84032,,
Life Goes On,방탄소년단,2020.11.20,랩/힙합,243627,6446,60604
취기를 빌려,산들,2020.07.20,발라드,231366,,
힘든 건 사랑이 아니다,임창정,2020.10.19,발라드,115688,671,73364
Lovesick Girls,BLACKPINK,2020.10.02,댄스,230956,3479,90906
화(火花,(여자)아이들 (여자),2021.01.11,댄스,91176,2587,257193
Alcohol-Free,TWICE,2021.06.09,댄스,89966,600,20145
Je T`aime,조이 (JOY),2021.05.31,발라드,48113,677,13730
Don`t fight the feeling,EXO,2021.06.07,댄스,63657,2874,81075
감기,헤이즈 (Heize),2021.05.20,R&B/Soul,17847,,
서울의 잠 못 이루는 밤,10cm,2021.05.13,"발라드, 인디음악",64363,338,9226
I Love U,성시경,2021.05.21,발라드,21741,1095,33992
Maniac,Conan Gray,2019.10.25,POP,162800,424,62086
"친구, 그 오랜시간",정승환,2021.05.26,발라드,18768,434,12333
If You Love Me,NS Yoon-G,2012.11.01,댄스,65536,270,160750
만약에,"M.O.M) (별루지, 강창모, 박재정, 원슈타인 (Wonstein)",2021.05.22,발라드,20729,,
마음이 다쳐서(2021,송하예,2021.05.16,발라드,13225,69,6914
Next Level,aespa,2021.05.17,댄스,256925,4862,544587
까만안경,"이루, 견우 (Kyunwoo)",2006.10.09,발라드,61718,882,38428
헤픈 우연,헤이즈 (Heize),2021.05.20,R&B/Soul,191168,1773,136714
Butter,방탄소년단,2021.05.21,댄스,286432,11376,457252
응급실,황인욱,2021.05.07,발라드,25203,36,4764
Outerspace,강다니엘,2021.05.13,댄스,10046,200,1626
기다릴게,"하동균, 봉구",2011.08.04,"발라드, 국내드라마",81892,303,108458
상상더하기,라붐 (LABOUM),2016.04.06,댄스,133782,1128,332601
Dun Dun Dance,오마이걸 (OH MY GIRL),2021.05.10,댄스,164628,3077,264244
맛,NCT DREAM,2021.05.10,댄스,121709,3099,10053
마.피.아. In the morning,ITZY (있지),2021.04.30,랩/힙합,69092,1421,150128
불어온다,하이라이트(Highlight) (Highlight),2021.05.03,댄스,43937,2902,118825
춤춰,온앤오프 (ONF),2021.04.28,댄스,12687,812,8319
너의 발걸음에 빛을 비춰줄게,케이시 (Kassy),2021.04.27,발라드,45610,172,12537
ASAP,STAYC(스테이씨) (스테이씨),2021.04.08,댄스,150435,1853,164440
Timeless,SG 워너비,2004.01.20,발라드,117042,460,96852
그냥 안아달란 말야,다비치,2021.04.12,발라드,48696,343,19048
살다가,SG 워너비,2005.03.23,발라드,73586,476,143540
봄 안녕 봄,아이유 (IU),2021.03.25,발라드,81852,,
내사람,SG 워너비,2006.11.15,R&B/Soul,73037,,
INSIDE OUT,뉴이스트 (NU`EST),2021.04.19,댄스,22600,1414,10887
You make Me,DAY6,2021.04.19,록/메탈,43903,1577,10972
아리랑,SG 워너비,2007.04.06,R&B/Soul,32374,1089,76353
라라라,SG 워너비,2008.04.24,발라드,90840,842,97013
At My Worst,Pink Sweat$,2020.07.17,R&B/Soul,118070,169,16049
어떤X,제시(Jessi) (Jessi),2021.03.17,랩/힙합,32639,455,67181
봄 사랑 벚꽃 말고,"HIGH4, 아이유 (IU)",2014.04.08,발라드,221144,6720,1611192
Peaches,Justin Bieber,2021.10.08,POP,220877,777,80059
밤편지,아이유 (IU),2017.03.24,발라드,454421,9825,1072083
water color,휘인 (Whee In),2021.04.13,댄스,28674,603,19125
Flu,아이유 (IU),2021.03.25,댄스,69896,4431,87624
Atlantis,샤이니 (SHINee),2021.04.12,댄스,40788,1912,27429
사이렌 Remix,호미들,2021.03.20,랩/힙합,161940,,
빈 컵,아이유 (IU),2021.03.25,R&B/Soul,52412,,
돌림노래,아이유 (IU),2021.03.25,R&B/Soul,71382,,
Antidote,강다니엘,2021.04.13,R&B/Soul,14470,4044,13090
안녕이란,황치열,2021.04.02,발라드,25335,466,6487
Like Water,웬디 (WENDY),2021.04.05,발라드,46316,361,3188
12:45,Etham,2018.10.26,POP,187919,,
에필로그,아이유 (IU),2021.03.25,발라드,86777,4092,44660
라일락,아이유 (IU),2021.03.25,댄스,253149,8290,379554
Downtown Baby,블루 (BLOO),2017.12.06,"랩/힙합, 인디음악",202290,,
운전만해,브레이브걸스 (Brave Girls),2020.08.14,댄스,136173,3261,140228
그 한마디,이하이,2021.03.14,발라드,40277,,
이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),2021.03.14,"발라드, 인디음악",76004,,
FEEL LIKE,WOODZ (조승연),2021.03.15,R&B/Soul,8137,475,9729
아이와 나의 바다,아이유 (IU),2021.03.25,발라드,179743,,
어푸,아이유 (IU),2021.03.25,댄스,132520,,
Coin,아이유 (IU),2021.03.25,R&B/Soul,119179,5605,203582
봄날,방탄소년단,2017.02.13,랩/힙합,542384,30813,1669252
처음처럼,엠씨더맥스 (M.C The Max),2020.03.25,발라드,115272,1323,95376
Don`t Start Now,Dua Lipa,2019.11.01,POP,162177,276,22758
Gone,로제 (ROSE),2021.03.12,포크/블루스,115020,1997,53191
On The Ground,로제 (ROSE),2021.03.12,록/메탈,161903,3898,147919
되풀이,임창정,2021.03.09,"발라드, 국내드라마",36520,364,24322
비로소 너에게 도착했다,마크툽 (Maktub),2021.03.07,"R&B/Soul, 인디음악",28857,,
별빛 같은 나의 사랑아,임영웅,2021.03.09,성인가요/트로트,76708,27719,424021
안녕,폴킴,2019.08.12,"발라드, 국내드라마",214334,,
FRIENDS,"릴보이, 원슈타인 (lIlBOI)",2021.02.27,랩/힙합,48976,592,15918
우리 왜 헤어져야 해,신예영,2019.11.20,발라드,135750,260,50410
좋은 이별이 있을 리가 없잖아,MC몽,2021.03.02,랩/힙합,16477,256,15145
서른 밤째,윤하,2021.02.08,발라드,63804,,
롤린,브레이브걸스 (Brave Girls),2017.03.07,댄스,298321,2605,124317
멜로디,ASH ISLAND,2021.02.25,랩/힙합,145830,,
Paris In The Rain,Lauv,2018.10.08,POP,294126,,
LOVE DAY,"양요섭, 정은지",2021.03.05,댄스,119817,,
소확행,임창정,2020.10.19,발라드,56784,462,31677
사랑한단 거짓말은 안 할래,"먼데이 키즈, 최현준 (Monday Kiz)",2021.02.21,발라드,12957,104,5009
사랑하는 당신께,폴킴,2021.02.25,발라드,38026,325,10462
사랑은 지날수록 더욱 선명하게 남아,전상근,2020.06.07,발라드,76044,189,27979
마음을 드려요,아이유 (IU),2020.02.15,"발라드, 국내드라마",245000,,
꼬리,선미,2021.02.23,댄스,33638,576,88757
Don`t Call Me,샤이니 (SHINee),2021.02.22,댄스,78574,3105,60300
Beautiful Beautiful,온앤오프 (ONF),2021.02.24,댄스,40121,1033,14410
오늘도 난 봄을 기다려,케이시 (Kassy),2021.02.18,발라드,30364,131,3097
DON`T TOUCH ME,환불원정대,2020.10.10,댄스,157330,2434,309271
추억은 만남보다 이별에 남아,정동하,2021.01.31,발라드,101792,288,15564
Dance Monkey,Tones And I,2019.08.09,POP,178361,425,168172
What Do I Call You,태연 (TAEYEON),2020.12.15,R&B/Soul,99420,1231,14054
Bicycle,청하,2021.02.15,댄스,26061,462,43012
밝게 빛나는 별이 되어 비춰줄게,송이한,2020.12.29,R&B/Soul,128844,156,18385
PARANOIA,강다니엘,2021.02.16,댄스,16981,4712,27501
마리아,화사(Hwa Sa) (Hwa Sa),2020.06.29,댄스,162239,2931,558710
너를 만나,폴킴,2018.10.29,발라드,318183,2038,308246
다시 만날까 봐,이예준,2021.02.07,발라드,32709,,
고백,허각,2021.02.04,발라드,47835,,
마음이 그래,"개코, 권진아",2021.02.04,R&B/Soul,34213,180,5609
HERO,임영웅,2022.05.02,발라드,91276,17651,144818
Sugar,김우석,2021.02.08,댄스,8766,1084,7225
살짝 설렜어,오마이걸 (OH MY GIRL),2020.04.27,댄스,193051,6200,754241
아로하,조정석,2020.03.27,"발라드, 국내드라마",244575,2172,351002
시작,가호 (Gaho),2020.02.01,"록/메탈, 국내드라마",245349,1285,317805
술 한잔 해요,"경서, MJ (경서예지)",2021.01.31,발라드,32710,,
뒤돌아보지 말아요,젝스키스,2021.02.05,발라드,14766,,
우린 어쩌다 헤어진 걸까,허각,2020.12.28,발라드,50225,110,12227
내 손을 잡아,아이유 (IU),2011.05.25,"발라드, 국내드라마",207451,4957,293123
Love poem,아이유 (IU),2019.11.01,록/메탈,341058,,
오늘도 빛나는 너에게,마크툽 (Maktub),2019.06.09,"R&B/Soul, 인디음악",277546,1111,207166
I`m Not Cool,현아 (HyunA),2021.01.28,댄스,43491,750,149284
거짓말이라도 해서 널 보고싶어,백지영,2020.07.14,발라드,82858,225,45840
마지막 날에,규현 (KYUHYUN),2021.01.26,발라드,16554,601,5161
그날에 나는 맘이 편했을까,이예준,2020.12.03,발라드,91339,156,18903
Memories,Maroon 5,2019.09.20,POP,202875,717,118666
Panorama,IZ*ONE (아이즈원),2020.12.07,댄스,96770,4441,152778
작은 것들을 위한 시,방탄소년단,2019.04.12,댄스,441622,13728,398392
이 밤을 빌려 말해요,10cm,2021.01.24,발라드,98874,,
Celebrity,아이유 (IU),2021.03.25,댄스,331481,9882,362440
"모든 날, 모든 순간",폴킴,2018.03.20,"발라드, 국내드라마",420193,,
I CAN`T STOP ME,TWICE,2020.10.26,댄스,71551,2230,318845
내 얘기 같아,에픽하이 (EPIK HIGH),2021.01.18,랩/힙합,16553,175,13824
Blueming,아이유 (IU),2019.11.18,록/메탈,353478,11149,958073
서면역에서,순순희,2020.05.05,"발라드, 인디음악",62955,56,18204
Rosario,에픽하이 (EPIK HIGH),2021.01.18,랩/힙합,21896,114,11885
사실 나는,경서예지,2020.04.12,발라드,99759,304,30258
어떻게 지내,오반 (OVAN),2020.03.05,"랩/힙합, 인디음악",197307,544,103822
나로 바꾸자,비 (Rain),2020.12.31,댄스,27871,1471,108281
METEOR,창모 (CHANGMO),2019.11.29,랩/힙합,297106,3785,328827
나랑 같이 걸을래,적재,2020.10.23,발라드,142174,,
뿌리,Khundi Panda,2020.12.05,랩/힙합,66214,,
How You Like That,BLACKPINK,2020.06.26,댄스,201354,3521,120923
Dolphin,오마이걸 (OH MY GIRL),2020.04.27,댄스,202774,,
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,2019.08.23,"록/메탈, 국내드라마",312290,1259,353841
딩가딩가,마마무 (Mamamoo),2020.10.20,댄스,70610,2741,276959
늦은 밤 너의 집 앞 골목길에서,노을,2019.11.07,발라드,207603,423,151316
Freak,"릴보이 , 원슈타인 , Chillin Homie , 스카이민혁 (lIlBOI)",2020.11.21,랩/힙합,76926,,
혼술하고 싶은 밤,벤 (Ben),2020.12.02,발라드,53697,240,16236
When We Disco,박진영,2020.08.12,댄스,82435,2385,832162
에잇,아이유 (IU),2020.05.06,록/메탈,391426,13165,844026
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),2019.09.25,발라드,403753,2042,250853
내 마음이 움찔했던 순간,규현 (KYUHYUN),2020.08.23,발라드,120934,,
