music,singer,release_date,category,music_like,movie_like,movie_views
LOVE DIVE,IVE (아이브),2022.04.05,댄스,233758,4630,584353
Candy,NCT DREAM,2022.12.16,댄스,148032,596,22308
After LIKE,IVE (아이브),2022.08.22,댄스,226177,4814,528878
Attention,NewJeans,2022.08.01,댄스,221381,2854,85089
VIBE,태양,2023.01.13,댄스,95537,2869,87964
파이팅 해야지,부석순 (SEVENTEEN),2023.02.06,댄스,146864,389,18308
사건의 지평선,윤하,2022.03.30,록/메탈,298402,1203,103226
Hype boy,NewJeans,2022.08.01,댄스,259261,2660,151082
OMG,NewJeans,2023.01.02,댄스,177136,1520,34235
Ditto,NewJeans,2022.12.19,댄스,253142,2692,177989
Cookie,NewJeans,2022.08.01,댄스,133712,3171,152841
Unholy,"Sam Smith, Kim Petras",2022.09.22,POP,50522,,
새삥,지코 (ZICO),2022.09.06,랩/힙합,145617,,
Teddy Bear,STAYC(스테이씨),2023.02.14,댄스,84175,707,64074
너의 모든 순간,성시경,2014.02.12,"발라드, 국내드라마",260615,,
풍등,이찬원,2023.02.20,성인가요/트로트,12883,3772,20270
The Drum,Alan Walker,2022.06.17,일렉트로니카,39359,,
Love War,YENA(최예나) (최예나),2023.01.16,R&B/Soul,31286,551,13421
신호등,이무진,2021.05.14,록/메탈,295317,3440,300616
무지개,임영웅,2022.05.02,록/메탈,61811,,
눈,던말릭 (Don Malik),2022.12.17,랩/힙합,34790,,
Feel My Rhythm,레드벨벳(Red Velvet) (Red Velvet),2022.03.21,댄스,150053,1058,147702
그 겨울이 잠든 거리에서,"경서예지, 전건호",2022.12.11,발라드,18980,31,4281
아픈 나를,성시경,2022.12.27,발라드,19541,262,10411
Made You Look,Meghan Trainor,2022.10.21,POP,32912,,
Snowman,Sia,2022.12.30,POP,245662,437,36403
Butter,방탄소년단,2021.05.21,댄스,286406,11376,457190
Off My Face,Justin Bieber,2021.10.08,POP,165068,269,22249
희재,성시경,2003.02.01,"발라드, 국내영화",136169,,
봄날,방탄소년단,2017.02.13,랩/힙합,542353,30811,1669225
Happy Fools,투모로우바이투게더,2023.01.27,랩/힙합,53877,,
FOREVER 1,소녀시대,2022.08.05,댄스,107587,1367,133791
Tinnitus,투모로우바이투게더,2023.01.27,R&B/Soul,54117,,
위하여,"그루비룸, 릴보이, Blase, 노윤하, Polodared, Chillin Homie, Fleeky Bang (GroovyRoom)",2022.12.03,랩/힙합,45334,,
Love story,볼빨간사춘기,2022.04.20,"인디음악, 포크/블루스",113953,396,26637
이제 나만 믿어요,임영웅,2020.04.03,성인가요/트로트,166546,,
네버랜드를 떠나며,투모로우바이투게더,2023.01.27,록/메탈,60349,,
다시 만날 수 있을까,임영웅,2022.05.02,발라드,73743,15009,126316
새벽에 걸려온 너의 전화는,한동근,2022.07.31,발라드,55687,45,11122
나의 목소리로,김호중,2022.10.02,발라드,18610,,
우린 그렇게 사랑해서,"강민경, 잔나비",2022.09.26,발라드,64532,383,18227
내 기쁨은 너가 벤틀리를 끄는 거야,김승민,2021.10.19,랩/힙합,100128,,
가슴으로 운다,김연지,2023.01.11,발라드,11820,,
도깨비불,aespa,2022.06.01,댄스,87788,855,64339
봄여름가을겨울,BIGBANG (빅뱅),2022.04.05,록/메탈,295924,5102,239463
That That,싸이 (Psy),2022.04.29,댄스,133841,2917,361964
혼자서 걸어요,태연 (TAEYEON),2023.02.02,발라드,25014,250,11674
Dynamite,방탄소년단,2020.08.24,댄스,450683,13477,1089711
그중에 그대를 만나,김호중,2022.09.24,"발라드, 국내드라마",19644,2996,54476
눈이 오잖아,이무진,2021.12.03,발라드,114684,1345,70491
Devil by the Window,투모로우바이투게더,2023.01.27,댄스,62629,,
떠나보낼 준비해 둘걸 그랬어,임한별,2022.10.18,발라드,39964,,
당신을 만나,"김호중, 송가인",2023.01.25,발라드,16181,,
우리들의 블루스,임영웅,2022.05.02,발라드,91254,17647,144774
밤하늘의 별을(2020,경서,2020.11.14,발라드,219201,787,111442
주저하는 연인들을 위해,잔나비,2019.03.13,"인디음악, 록/메탈",373701,3658,322752
사랑해도 될까요,양다일,2023.01.15,발라드,16693,,
LOVE me,BE`O (비오),2022.04.12,랩/힙합,140615,1019,84759
보고싶었어,WSG워너비 (4FIRE),2022.07.09,R&B/Soul,128175,,
첫사랑,백아,2018.10.11,"인디음악, 포크/블루스",145561,,
니 번호가 뜨는 일,이예준,2023.01.17,발라드,20994,,
"모든 날, 모든 순간",폴킴,2018.03.20,"발라드, 국내드라마",420150,,
다정히 내 이름을 부르면,"경서예지, 전건호",2021.05.19,발라드,169106,248,36249
딱 10CM만,"10cm, BIG Naughty (서동현)",2022.09.25,R&B/Soul,108274,857,38405
