year,week_num,start_date,end_date,rank,music,singer,album
2013,01,2012.12.30,2013.01.05,1,Dancing Queen,소녀시대,4집 I Got A Boy
2013,01,2012.12.30,2013.01.05,2,사랑은 이렇게,케이윌 (K.Will),청담동 앨리스 OST Part 4
2013,01,2012.12.30,2013.01.05,3,되돌리다,이승기,숲
2013,01,2012.12.30,2013.01.05,4,카페인,양요섭,The First Collage
2013,01,2012.12.30,2013.01.05,5,매력있어,AKMU (악뮤),SBS K팝 스타 시즌2 매력있어
2013,01,2012.12.30,2013.01.05,6,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX)",Jelly Christmas 2012 Heart Project
2013,01,2012.12.30,2013.01.05,7,Goodbye To Romance,써니힐 (Sunny Hill),Antique Romance
2013,02,2013.01.06,2013.01.12,1,I Got A Boy,소녀시대,4집 I Got A Boy
2013,01,2012.12.30,2013.01.05,8,카페인,양요섭,The First Collage
2013,02,2013.01.06,2013.01.12,2,이사람,"효린, 전효성, 현아, 니콜, 나나",2012 SBS가요대전 The Color Of K-Pop (Dazzing Red)
2013,01,2012.12.30,2013.01.05,9,Yesterday,"정진운 (2am), 엘조 (틴탑), 이준 (엠블랙), 호야 (인피니트), 이기광 (비스트)",2012 SBS가요대전 The Color Of K-Pop (Dynamic Black)
2013,02,2013.01.06,2013.01.12,3,Dancing Queen,소녀시대,4집 I Got A Boy
2013,01,2012.12.30,2013.01.05,10,인어공주,"강지영, 보라, 한선화, 허가윤, 리지",2012 SBS가요대전 The Color Of K-Pop (Mystic White)
2013,02,2013.01.06,2013.01.12,4,싫다,백지영,싫다
2013,01,2012.12.30,2013.01.05,11,매력있어,AKMU (악뮤),SBS K팝 스타 시즌2 매력있어
2013,02,2013.01.06,2013.01.12,5,안아보자,제아,Just JeA
2013,01,2012.12.30,2013.01.05,12,그 사람 (원곡가수 이승철),더 원 (The One),`나는 가수다 2` 2012 가왕전 파이널
2013,02,2013.01.06,2013.01.12,6,되돌리다,이승기,숲
2013,01,2012.12.30,2013.01.05,13,일년전에,"장현승, 정은지, 김남주",`A Cube` For Season # White
2013,02,2013.01.06,2013.01.12,7,Goodbye To Romance,써니힐 (Sunny Hill),Antique Romance
2013,01,2012.12.30,2013.01.05,14,Express 999,소녀시대,4집 I Got A Boy
2013,03,2013.01.13,2013.01.19,1,강북멋쟁이,정형돈,박명수의 어떤가요
2013,02,2013.01.06,2013.01.12,8,엄마를 닮았네,길 (리쌍),박명수의 어떤가요
2013,01,2012.12.30,2013.01.05,15,One Kiss,김재중 (JYJ),One Kiss
2013,03,2013.01.13,2013.01.19,2,I Got A Boy,소녀시대,4집 I Got A Boy
2013,02,2013.01.06,2013.01.12,9,Goodbye To Romance,써니힐 (Sunny Hill),Antique Romance
2013,01,2012.12.30,2013.01.05,16,안아보자,제아,Just JeA
2013,03,2013.01.13,2013.01.19,3,싫다,백지영,싫다
2013,02,2013.01.06,2013.01.12,10,이사람,"효린, 전효성, 현아, 니콜, 나나",2012 SBS가요대전 The Color Of K-Pop (Dazzing Red)
2013,01,2012.12.30,2013.01.05,17,노가르시아,노홍철,박명수의 어떤가요
2013,03,2013.01.13,2013.01.19,4,메뚜기월드,유재석,박명수의 어떤가요
2013,02,2013.01.06,2013.01.12,11,되돌리다,이승기,숲
2013,01,2012.12.30,2013.01.05,18,일년전에,"장현승, 정은지, 김남주",`A Cube` For Season # White
2013,03,2013.01.13,2013.01.19,5,시작이 좋아 (Feat. 강민희),버벌진트 (Verbla Jint),시작이 좋아
2013,02,2013.01.06,2013.01.12,12,카페인,양요섭,The First Collage
2013,01,2012.12.30,2013.01.05,19,매력있어,AKMU (악뮤),SBS K팝 스타 시즌2 매력있어
2013,04,2013.01.20,2013.01.26,1,눈물샤워 (Feat. 에일리),배치기,4집 Part 2
2013,03,2013.01.13,2013.01.19,6,싫다,백지영,싫다
2013,02,2013.01.06,2013.01.12,13,되돌리다,이승기,숲
2013,01,2012.12.30,2013.01.05,20,"Officially Missing You, Too","긱스 (Geeks), 소유",re;code Episode I
2013,04,2013.01.20,2013.01.26,2,I’m Sorry,씨엔블루 (CNBLUE),Re:Blue
2013,03,2013.01.13,2013.01.19,7,시작이 좋아 (Feat. 강민희),버벌진트 (Verbla Jint),시작이 좋아
2013,02,2013.01.06,2013.01.12,14,카페인,양요섭,The First Collage
2013,01,2012.12.30,2013.01.05,21,매력있어,AKMU (악뮤),SBS K팝 스타 시즌2 매력있어
2013,04,2013.01.20,2013.01.26,3,강북멋쟁이,정형돈,박명수의 어떤가요
2013,03,2013.01.13,2013.01.19,8,Mine,김재중 (JYJ),I
2013,02,2013.01.06,2013.01.12,15,빗소리,B.A.P,빗소리
2013,01,2012.12.30,2013.01.05,22,니가 없을 때 (Feat. Zion.T),인피니트H,Fly High
2013,04,2013.01.20,2013.01.26,4,I Got A Boy,소녀시대,4집 I Got A Boy
2013,03,2013.01.13,2013.01.19,9,혼자라고 생각말기,김보경,학교 OST Part 3
2013,02,2013.01.06,2013.01.12,16,Dancing Queen,소녀시대,4집 I Got A Boy
2013,01,2012.12.30,2013.01.05,23,안아보자,제아,Just JeA
2013,04,2013.01.20,2013.01.26,5,Special Girl (Feat. Bumkey),인피니트H,Fly High
2013,03,2013.01.13,2013.01.19,10,Goodbye To Romance,써니힐 (Sunny Hill),Antique Romance
2013,02,2013.01.06,2013.01.12,17,이사람,"효린, 전효성, 현아, 니콜, 나나",2012 SBS가요대전 The Color Of K-Pop (Dazzing Red)
2013,01,2012.12.30,2013.01.05,24,하지 못한 말,노을,4집 Time For Love
2013,06,2013.02.03,2013.02.09,1,눈물 (Feat. 유진),리쌍,이단옆차기 프로젝트 Vol.02
2013,04,2013.01.20,2013.01.26,6,눈물샤워 (Feat. 에일리),배치기,4집 Part 2
2013,03,2013.01.13,2013.01.19,11,지우개,알리 (ALi),지우개
2013,02,2013.01.06,2013.01.12,18,24/7,포미닛 투윤 (2Yoon),Harvest Moon
2013,01,2012.12.30,2013.01.05,25,너였으면 좋겠어,이정,이웃집 꽃미남 OST Part 3
