music,singer,release_date,category,music_like,movie_like,movie_views
카페인,양요섭,2012.11.26,발라드,80626,3875,228636
되돌리다,이승기,2012.11.22,발라드,155385,963,140511
사랑은 이렇게,케이윌,2012.12.22,"발라드, 국내드라마",9928,381,48870
Dancing Queen,소녀시대,2013.01.01,댄스,21563,1495,627890
싫다,백지영,2013.01.03,발라드,18560,105,151004
I Got A Boy,소녀시대,2013.01.01,댄스,57536,2064,2160958
Goodbye To Romance,써니힐,2012.12.14,발라드,72290,460,205613
크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스",2012.12.06,발라드,162007,6713,565513
Dream Girl,샤이니,2013.02.19,댄스,56936,3023,247156
러브 레시피,클래지콰이,2013.02.05,일렉트로니카,18517,66,16315
One Shot,B.A.P,2013.02.12,댄스,17695,907,107705
안녕 나야,포맨,2013.01.28,발라드,45711,170,120659
먹지,예성,2013.02.13,"발라드, 국내드라마",14462,660,48964
그런 너,보아,2013.01.28,발라드,26911,693,347190
너 땜에 못살아,서인국,2013.02.04,발라드,20831,626,50801
저녁 하늘,에일리,2012.10.16,발라드,176427,540,240917
Sweet Dream,MFBTY,2013.01.21,랩/힙합,5561,106,117203
얼음꽃,에일리,2013.01.28,"발라드, 국내드라마",38754,263,82242
있다 없으니까,씨스타19,2013.01.31,댄스,56102,442,629170
기억을 걷다보면,디셈버,2013.02.01,발라드,11532,145,12757
모노드라마,"허각, 유승우",2013.02.05,발라드,87410,181,220473
24/7,포미닛 투윤,2013.01.17,댄스,12168,367,255235
지우개,알리,2013.01.30,발라드,62961,127,85371
눈물,리쌍,2013.01.25,랩/힙합,100565,416,204977
하지 못한 말,노을,2012.11.06,발라드,91676,326,86771
Special Girl,인피니트H,2013.01.11,랩/힙합,46891,4188,395319
혼자라고 생각말기,김보경,2013.01.28,발라드,41644,176,71650
니가 없을 때,인피니트H,2013.01.11,랩/힙합,23133,4128,108111
빗소리,B.A.P,2013.01.15,랩/힙합,12978,817,141139
Mine,김재중,2013.01.17,록/메탈,5694,1012,97658
I’m Sorry,씨엔블루,2013.01.14,록/메탈,31743,435,285217
"Officially Missing You, Too","긱스, 소유",2012.11.01,발라드,108040,504,180842
눈물샤워,배치기,2013.01.14,랩/힙합,84157,282,399721
시작이 좋아,버벌진트,2013.01.07,랩/힙합,38938,109,116467
안아보자,제아,2013.01.04,R&B/Soul,12504,51,37540
