music,singer,release_date,category,music_like,movie_like,movie_views
파이팅 해야지,부석순 (SEVENTEEN),2023.02.06,댄스,146856,389,18306
사건의 지평선,윤하,2022.03.30,록/메탈,298400,1203,103222
Hype boy,NewJeans,2022.08.01,댄스,259258,2660,151079
OMG,NewJeans,2023.01.02,댄스,177134,1520,34234
Ditto,NewJeans,2022.12.19,댄스,253140,2692,177984
Nxde,(여자)아이들 (여자),2022.10.17,댄스,157650,2383,268980
LOVE DIVE,IVE (아이브),2022.04.05,댄스,233757,4630,584345
Candy,NCT DREAM,2022.12.16,댄스,148030,596,22307
After LIKE,IVE (아이브),2022.08.22,댄스,226175,4814,528864
Attention,NewJeans,2022.08.01,댄스,221380,2854,85089
VIBE,태양,2023.01.13,댄스,95536,2869,87963
너의 모든 순간,성시경,2014.02.12,"발라드, 국내드라마",260615,,
풍등,이찬원,2023.02.20,성인가요/트로트,12882,3772,20270
I Don`t Think That I Like Her,Charlie Puth,2022.10.07,POP,157911,,
Monologue,테이 (Tei),2022.09.18,발라드,82843,,
ANTIFRAGILE,LE SSERAFIM (르세라핌),2022.10.17,댄스,158971,2257,187386
Cookie,NewJeans,2022.08.01,댄스,133715,3171,152837
Unholy,"Sam Smith, Kim Petras",2022.09.22,POP,50521,,
새삥,지코 (ZICO),2022.09.06,랩/힙합,145614,,
Teddy Bear,STAYC(스테이씨) (스테이씨),2023.02.14,댄스,84170,707,64068
NOT SORRY,이영지,2022.12.17,랩/힙합,94129,,
