music,singer,release_date,category,music_like,movie_like,movie_views
사건의 지평선,윤하,2022.03.30,록/메탈,298218,1202,103026
Hype boy,NewJeans,2022.08.01,댄스,259071,2660,150736
OMG,NewJeans,2023.01.02,댄스,176939,1519,34128
Ditto,NewJeans,2022.12.19,댄스,252938,2692,177567
Nxde,(여자)아이들,2022.10.17,댄스,157591,2383,268750
LOVE DIVE,IVE,2022.04.05,댄스,233671,4626,583697
Candy,NCT DREAM,2022.12.16,댄스,147912,597,22222
After LIKE,IVE,2022.08.22,댄스,226064,4809,527928
Attention,NewJeans,2022.08.01,댄스,221301,2855,85030
VIBE (feat. Jimin of BTS),태양,2023.01.13,댄스,95445,2869,87815
파이팅 해야지 (Feat. 이영지),부석순,2023.02.06,댄스,146213,388,18138
I Don`t Think That I Like Her,Charlie Puth,2022.10.07,POP,157592,,
Monologue,테이,2022.09.18,발라드,82780,,
ANTIFRAGILE,LE SSERAFIM,2022.10.17,댄스,158669,2232,186412
NOT SORRY (Feat. pH-1),이영지,2022.12.17,랩/힙합,94075,,
새삥 (Prod. ZICO),지코,2022.09.06,랩/힙합,145569,,
Cookie,NewJeans,2022.08.01,댄스,133676,3172,152504
Unholy,"Sam Smith, Kim Petras",2022.09.22,POP,50462,,
Teddy Bear,STAYC(스테이씨),2023.02.14,댄스,83844,705,63636
너의 모든 순간,성시경,2014.02.12,"발라드, 국내드라마",260496,,
풍등,이찬원,2023.02.20,성인가요/트로트,12849,3767,20153
