,year,week_num,start_date,end_date,rank,music,singer,album
0,2018,38,2018.09.16,2018.09.22,1,우리 그만하자,로이킴,우리 그만하자
1,2018,38,2018.09.16,2018.09.22,2,헤어지는 중,펀치 (Punch),헤어지는 중
2,2018,38,2018.09.16,2018.09.22,3,사이렌 (Siren),선미,WARNING
3,2018,38,2018.09.16,2018.09.22,4,하루도 그대를 사랑하지 않은 적이 없었다,임창정,하루도 그대를 사랑하지 않은 적이 없었다
4,2018,38,2018.09.16,2018.09.22,5,Way Back Home,숀 (SHAUN),Take
5,2018,38,2018.09.16,2018.09.22,6,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
6,2018,38,2018.09.16,2018.09.22,7,열애중,벤 (Ben),RECIPE
7,2018,38,2018.09.16,2018.09.22,8,IDOL,방탄소년단,LOVE YOURSELF 結 `Answer`
8,2018,38,2018.09.16,2018.09.22,9,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,SQUARE UP
9,2018,38,2018.09.16,2018.09.22,10,Power Up,레드벨벳(Red Velvet),Summer Magic - Summer Mini Album
10,2018,38,2018.09.16,2018.09.22,11,Dance The Night Away,TWICE,Summer Nights
11,2018,38,2018.09.16,2018.09.22,12,한(一),(여자)아이들,한(一)
12,2018,38,2018.09.16,2018.09.22,13,너나 해 (Egotistic),마마무 (Mamamoo),RED MOON
13,2018,38,2018.09.16,2018.09.22,14,몰랐니 (Lil’ Touch),소녀시대-Oh!GG,몰랐니 - The 1st Single Album
14,2018,38,2018.09.16,2018.09.22,15,여행,볼빨간사춘기,Red Diary Page.2
15,2018,38,2018.09.16,2018.09.22,16,SoulMate (Feat. 아이유),지코 (ZICO),SoulMate
16,2018,38,2018.09.16,2018.09.22,17,지나오다,닐로 (Nilo),About You
17,2018,38,2018.09.16,2018.09.22,18,매트리스,10cm,4.1
18,2018,38,2018.09.16,2018.09.22,19,Lullaby,GOT7,Present : YOU
19,2018,38,2018.09.16,2018.09.22,20,잘 지내요,정승환,라이프 OST Part 6
20,2018,38,2018.09.16,2018.09.22,21,1도 없어,에이핑크 (Apink),ONE & SIX
21,2018,38,2018.09.16,2018.09.22,22,I`m Fine,방탄소년단,LOVE YOURSELF 結 `Answer`
22,2018,38,2018.09.16,2018.09.22,23,Forever Young,BLACKPINK,SQUARE UP
23,2018,38,2018.09.16,2018.09.22,24,"셋 셀테니 (1, 2, 3!)",승리,THE GREAT SEUNGRI
24,2018,38,2018.09.16,2018.09.22,25,FAKE LOVE,방탄소년단,LOVE YOURSELF 轉 `Tear`
25,2018,38,2018.09.16,2018.09.22,26,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스 (Swings)",Dingo X Indigo Music
26,2018,38,2018.09.16,2018.09.22,27,동화,멜로망스(Melomance),The Fairy Tale
27,2018,38,2018.09.16,2018.09.22,28,그때 헤어지면 돼,로이킴,그때 헤어지면 돼
28,2018,38,2018.09.16,2018.09.22,29,"NOAH (Feat. 박재범, Hoody)",김하온 (HAON),TRAVEL: NOAH
29,2018,38,2018.09.16,2018.09.22,30,비,폴킴,비
30,2018,38,2018.09.16,2018.09.22,31,미안해,양다일,inside
31,2018,38,2018.09.16,2018.09.22,32,사랑을 했다 (LOVE SCENARIO),iKON,Return
32,2018,38,2018.09.16,2018.09.22,33,주지마,"로꼬 (LOCO), 화사",건반 위의 하이에나 Part.4
33,2018,38,2018.09.16,2018.09.22,34,YOUNG,"백현 (BAEKHYUN), 로꼬 (LOCO)",YOUNG
34,2018,38,2018.09.16,2018.09.22,35,Euphoria,방탄소년단,LOVE YOURSELF 結 `Answer`
35,2018,38,2018.09.16,2018.09.22,36,죽겠다 (KILLING ME),iKON,NEW KIDS : CONTINUE
36,2018,38,2018.09.16,2018.09.22,37,Love U,청하,Blooming Blue
37,2018,38,2018.09.16,2018.09.22,38,그날처럼,장덕철,그날처럼
38,2018,38,2018.09.16,2018.09.22,39,너 없인 안 된다,비투비 (BTOB),THIS IS US
39,2018,38,2018.09.16,2018.09.22,40,가을 타나 봐,바이브 (Vibe),가을 타나 봐
40,2018,38,2018.09.16,2018.09.22,41,You,멜로망스(Melomance),투유 프로젝트 - 슈가맨2 Part.2
41,2018,38,2018.09.16,2018.09.22,42,가을 안부,먼데이 키즈 (Monday Kiz),가을 안부
42,2018,38,2018.09.16,2018.09.22,43,왜 몰랐을까,로이킴,아는 와이프 OST Part 3
43,2018,38,2018.09.16,2018.09.22,44,밤편지,아이유 (IU),밤편지
44,2018,38,2018.09.16,2018.09.22,45,도망가지마,모트 (Motte),A-TEEN Part 4
45,2018,38,2018.09.16,2018.09.22,46,Havana (Feat. Young Thug),Camila Cabello,Camila
46,2018,38,2018.09.16,2018.09.22,47,선물,멜로망스(Melomance),Moonlight
47,2018,38,2018.09.16,2018.09.22,48,HandClap,Fitz & The Tantrums,Fitz and The Tantrums (Deluxe)
