,year,week_num,start_date,end_date,rank,music,singer,album
0,2019,52,2019.12.22,2019.12.28,1,METEOR,창모 (CHANGMO),Boyhood
1,2019,52,2019.12.22,2019.12.28,2,Psycho,레드벨벳(Red Velvet),`The ReVe Festival` Finale
2,2019,52,2019.12.22,2019.12.28,3,"아마두 (Feat. 우원재, 김효은, 넉살, Huckleberry P)","염따 (YumDDa), 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉 (Simon Dominic)",Dingo X DAMOIM (Part 2)
3,2019,52,2019.12.22,2019.12.28,4,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어"
4,2019,52,2019.12.22,2019.12.28,5,Blueming,아이유 (IU),Love poem
5,2019,52,2019.12.22,2019.12.28,6,Square (2017),백예린,Every letter I sent you.
6,2019,52,2019.12.22,2019.12.28,7,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
7,2019,52,2019.12.22,2019.12.28,8,Into the Unknown,"Idina Menzel, AURORA",Frozen 2 (겨울왕국 2 OST)
8,2019,52,2019.12.22,2019.12.28,9,HIP,마마무 (Mamamoo),reality in BLACK
9,2019,52,2019.12.22,2019.12.28,10,Love poem,아이유 (IU),Love poem
10,2019,52,2019.12.22,2019.12.28,11,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
11,2019,52,2019.12.22,2019.12.28,12,나의 오랜 연인에게,다비치,나의 오랜 연인에게
12,2019,52,2019.12.22,2019.12.28,13,Santa Tell Me,Ariana Grande,Santa Tell Me
13,2019,52,2019.12.22,2019.12.28,14,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
14,2019,52,2019.12.22,2019.12.28,15,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
15,2019,52,2019.12.22,2019.12.28,16,십이월 이십오일의 고백,정승환,십이월 이십오일의 고백
16,2019,52,2019.12.22,2019.12.28,17,첫 겨울이니까,"성시경, 아이유 (IU)",첫 겨울이니까
17,2019,52,2019.12.22,2019.12.28,18,조금 취했어 (Prod. 2soo),임재현,조금 취했어
18,2019,52,2019.12.22,2019.12.28,19,헤어진 우리가 지켜야 할 것들,"김나영, 양다일",헤어진 우리가 지켜야 할 것들
19,2019,52,2019.12.22,2019.12.28,20,안녕,폴킴,호텔 델루나 OST Part.10
20,2019,52,2019.12.22,2019.12.28,21,이 번호로 전화해줘,바이브 (Vibe),이 번호로 전화해줘
21,2019,52,2019.12.22,2019.12.28,22,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어
22,2019,52,2019.12.22,2019.12.28,23,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
23,2019,52,2019.12.22,2019.12.28,24,Show Yourself,"Idina Menzel, Evan Rachel Wood",Frozen 2 (겨울왕국 2 OST)
24,2019,52,2019.12.22,2019.12.28,25,Snowman,Sia,Snowman
25,2019,52,2019.12.22,2019.12.28,26,새 사랑,송하예,새 사랑
26,2019,52,2019.12.22,2019.12.28,27,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8
27,2019,52,2019.12.22,2019.12.28,28,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Real
28,2019,52,2019.12.22,2019.12.28,29,시간의 바깥,아이유 (IU),Love poem
29,2019,52,2019.12.22,2019.12.28,30,2002,Anne-Marie,Speak Your Mind (Deluxe)
30,2019,52,2019.12.22,2019.12.28,31,시든 꽃에 물을 주듯,HYNN(박혜원),시든 꽃에 물을 주듯
31,2019,52,2019.12.22,2019.12.28,32,있어줘요,장덕철,있어줘요
32,2019,52,2019.12.22,2019.12.28,33,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
33,2019,52,2019.12.22,2019.12.28,34,포장마차,황인욱,포장마차
34,2019,52,2019.12.22,2019.12.28,35,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX)",Jelly Christmas 2012 Heart Project
35,2019,52,2019.12.22,2019.12.28,36,니 소식,송하예,니 소식
36,2019,52,2019.12.22,2019.12.28,37,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album
37,2019,52,2019.12.22,2019.12.28,38,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
38,2019,52,2019.12.22,2019.12.28,39,Obsession,EXO,OBSESSION - The 6th Album
