,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2020,32,2020.08.02,2020.08.08,1,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",다시 여기 바닷가,,
1,2020,32,2020.08.02,2020.08.08,2,그 여름을 틀어줘,"싹쓰리 (유두래곤, 린다G, 비룡)",그 여름을 틀어줘,,
2,2020,32,2020.08.02,2020.08.08,3,마리아 (Maria),화사(Hwa Sa),Mara,,
3,2020,32,2020.08.02,2020.08.08,4,LINDA (Feat. 윤미래),린다G,두리쥬와 X LINDA X 신난다,,
4,2020,32,2020.08.02,2020.08.08,5,How You Like That,BLACKPINK,How You Like That,,
5,2020,32,2020.08.02,2020.08.08,6,신난다 (Feat. 마마무),비룡,두리쥬와 X LINDA X 신난다,,
6,2020,32,2020.08.02,2020.08.08,7,Summer Hate (Feat. 비),지코 (ZICO),RANDOM BOX,,
7,2020,32,2020.08.02,2020.08.08,8,여름 안에서 (Covered By 싹쓰리) (Feat. 황광희),"싹쓰리 (유두래곤, 린다G, 비룡)",여름 안에서 (Covered By 싹쓰리),,
8,2020,32,2020.08.02,2020.08.08,9,홀로,이하이,홀로,,
9,2020,32,2020.08.02,2020.08.08,10,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),에잇,,
10,2020,32,2020.08.02,2020.08.08,11,Downtown Baby,블루 (BLOO),Downtown Baby,,
11,2020,32,2020.08.02,2020.08.08,12,깨워 (Who U Are),강다니엘,MAGENTA,,
12,2020,32,2020.08.02,2020.08.08,13,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,,
13,2020,32,2020.08.02,2020.08.08,14,아로하,조정석,슬기로운 의사생활 OST Part 3,,
14,2020,32,2020.08.02,2020.08.08,15,보라빛 밤 (pporappippam),선미,보라빛 밤 (pporappippam),,
15,2020,32,2020.08.02,2020.08.08,16,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,,
16,2020,32,2020.08.02,2020.08.08,17,눈누난나 (NUNU NANA),제시(Jessi),NUNA,,
17,2020,32,2020.08.02,2020.08.08,18,두리쥬와 (Feat. S.B.N),유두래곤,두리쥬와 X LINDA X 신난다,,
18,2020,32,2020.08.02,2020.08.08,19,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11,,
19,2020,32,2020.08.02,2020.08.08,20,Memories,Maroon 5,Memories,,
20,2020,32,2020.08.02,2020.08.08,21,Dance Monkey,Tones And I,Dance Monkey,,
21,2020,32,2020.08.02,2020.08.08,22,어떻게 지내,오반 (OVAN),어떻게 지내,,
22,2020,32,2020.08.02,2020.08.08,23,Into the I-LAND,아이유 (IU),I-LAND Part.1 Signal Song,,
23,2020,32,2020.08.02,2020.08.08,24,METEOR,창모 (CHANGMO),Boyhood,,
24,2020,32,2020.08.02,2020.08.08,25,Blueming,아이유 (IU),Love poem,,
25,2020,32,2020.08.02,2020.08.08,26,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,,
26,2020,32,2020.08.02,2020.08.08,27,덤디덤디 (DUMDi DUMDi),(여자)아이들,덤디덤디 (DUMDi DUMDi),,
27,2020,32,2020.08.02,2020.08.08,28,PLAY (Feat. 창모),청하,PLAY,,
28,2020,32,2020.08.02,2020.08.08,29,Don`t Start Now,Dua Lipa,Don`t Start Now,,
29,2020,32,2020.08.02,2020.08.08,30,아무노래,지코 (ZICO),아무노래,,
30,2020,32,2020.08.02,2020.08.08,31,MORE & MORE,TWICE,MORE & MORE,,
31,2020,32,2020.08.02,2020.08.08,32,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,,
32,2020,32,2020.08.02,2020.08.08,33,Monster,레드벨벳-아이린&슬기,Monster - The 1st Mini Album,,
33,2020,32,2020.08.02,2020.08.08,34,처음처럼,엠씨더맥스 (M.C The Max),CEREMONIA,,
34,2020,32,2020.08.02,2020.08.08,35,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들) OST,,
35,2020,32,2020.08.02,2020.08.08,36,2002,Anne-Marie,Speak Your Mind (Deluxe),,
36,2020,32,2020.08.02,2020.08.08,37,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,,
37,2020,32,2020.08.02,2020.08.08,38,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,,
38,2020,32,2020.08.02,2020.08.08,39,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2,,
39,2020,32,2020.08.02,2020.08.08,40,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3,,
40,2020,32,2020.08.02,2020.08.08,41,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,,
41,2020,32,2020.08.02,2020.08.08,42,나비와 고양이 (Feat. 백현 (BAEKHYUN)),볼빨간사춘기,나비와 고양이,,
42,2020,32,2020.08.02,2020.08.08,43,Psycho,레드벨벳(Red Velvet),`The ReVe Festival` Finale,,
43,2020,32,2020.08.02,2020.08.08,44,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light,,
44,2020,32,2020.08.02,2020.08.08,45,다시 여기 바닷가 (Acoustic Ver.),이상순,두리쥬와 X LINDA X 신난다,,
45,2020,32,2020.08.02,2020.08.08,46,마음을 드려요,아이유 (IU),사랑의 불시착 OST Part 11,,
46,2020,32,2020.08.02,2020.08.08,47,사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적,,
47,2020,32,2020.08.02,2020.08.08,48,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어,,
48,2020,32,2020.08.02,2020.08.08,49,Paris In The Rain,Lauv,I met you when I was 18. (the playlist),,
49,2020,32,2020.08.02,2020.08.08,50,Love poem,아이유 (IU),Love poem,,
50,2020,32,2020.08.02,2020.08.08,51,Maniac,Conan Gray,Maniac,,
51,2020,32,2020.08.02,2020.08.08,52,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,,
52,2020,32,2020.08.02,2020.08.08,53,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4,,
53,2020,32,2020.08.02,2020.08.08,54,덤더럼(Dumhdurum),에이핑크 (Apink),LOOK,,
54,2020,32,2020.08.02,2020.08.08,55,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,,
55,2020,32,2020.08.02,2020.08.08,56,안녕,폴킴,호텔 델루나 OST Part.10,,
56,2020,32,2020.08.02,2020.08.08,57,ON,방탄소년단,MAP OF THE SOUL : 7,,
57,2020,32,2020.08.02,2020.08.08,58,What You Waiting For,전소미,What You Waiting For,,
58,2020,32,2020.08.02,2020.08.08,59,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12,,
59,2020,32,2020.08.02,2020.08.08,60,환상동화 (Secret Story of the Swan),IZ*ONE (아이즈원),Oneiric Diary (幻想日記),,
60,2020,32,2020.08.02,2020.08.08,61,깡 Official Remix,"식케이, pH-1, 박재범, 김하온",깡 Official Remix,,
