,year,week_num,start_date,end_date,rank,music,singer,album
0,2015,1,2014.12.28,2015.01.03,1,"December, 2014 (The Winter`s Tale)",EXO,EXOLOGY CHAPTER 1 : THE LOST PLANET
1,2015,1,2014.12.28,2015.01.03,2,사랑에 빠지고 싶다,정승환,K팝 스타 시즌4 `사랑에 빠지고 싶다`
2,2015,1,2014.12.28,2015.01.03,3,위아래,EXID,위아래
3,2015,1,2014.12.28,2015.01.03,4,Angel,"윤미래, 타이거JK, 비지",Angel
4,2015,1,2014.12.28,2015.01.03,5,LUV,에이핑크 (Apink),Pink LUV
5,2015,1,2014.12.28,2015.01.03,6,Problem (Feat. Iggy Azalea),Ariana Grande,Problem
6,2015,1,2014.12.28,2015.01.03,7,울면 안 돼,비투비 (BTOB),The Winter`s Tale
7,2015,1,2014.12.28,2015.01.03,8,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),The 1st Mini Album `광화문에서 (At Gwanghwamun)`
8,2015,1,2014.12.28,2015.01.03,9,GOOD BOY,GD X TAEYANG,GOOD BOY
9,2015,1,2014.12.28,2015.01.03,10,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX)",Jelly Christmas 2012 Heart Project
10,2015,1,2014.12.28,2015.01.03,11,싱숭생숭 (SsSs),"다이나믹 듀오 (Dynamic Duo), 박정현",싱숭생숭 (SsSs)
11,2015,1,2014.12.28,2015.01.03,12,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Real
12,2015,1,2014.12.28,2015.01.03,13,"지친 하루 (With 곽진언, 김필)",윤종신,2014 월간 윤종신 12월호
13,2015,1,2014.12.28,2015.01.03,14,하나뿐인 사람,케이윌 (K.will),피노키오 OST Part 5
14,2015,1,2014.12.28,2015.01.03,15,사뿐사뿐 (Like a Cat),AOA,사뿐사뿐
15,2015,1,2014.12.28,2015.01.03,16,잊지 말기로 해,"성시경, 권진아",Winter Wonderland
16,2015,1,2014.12.28,2015.01.03,17,세 사람 (With 성시경),토이 (Toy),Da Capo
17,2015,1,2014.12.28,2015.01.03,18,HAPPY TOGETHER,박효신,HAPPY TOGETHER
18,2015,1,2014.12.28,2015.01.03,19,나는 달라 (Feat. BOBBY),HI SUHYUN,나는 달라
19,2015,1,2014.12.28,2015.01.03,20,니가 모르게 (You Don`t Know),로꼬 (LOCO),LOCOMOTIVE
20,2015,1,2014.12.28,2015.01.03,21,12시 30분,비스트 (Beast),Time
21,2015,1,2014.12.28,2015.01.03,22,"별, 그대",정용화(Jung Yong Hwa),"별, 그대"
22,2015,1,2014.12.28,2015.01.03,23,지워 (Feat. 아이언),"효린, 주영",지워
23,2015,1,2014.12.28,2015.01.03,24,나처럼 사랑했을까,"포스트맨 (Postmen), 바닐라 어쿠스틱",나처럼 사랑했을까
24,2015,1,2014.12.28,2015.01.03,25,마음대로,이진아,K팝 스타 시즌4 `마음대로`
25,2015,1,2014.12.28,2015.01.03,26,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
26,2015,1,2014.12.28,2015.01.03,27,Love Is You,"케이윌(K.will), 씨스타, 정기고(Junggigo), 매드 클라운(Mad Clown), 보이프렌드, 주영",Starship Planet 2014 (스타쉽플래닛)
27,2015,1,2014.12.28,2015.01.03,28,사랑에 빠지고 싶다,김조한,사랑에 빠지고 싶다
28,2015,1,2014.12.28,2015.01.03,29,내가 그리웠니 (Feat. 진실 of Mad Soul Child),MC몽,MISS ME OR DISS ME
29,2015,1,2014.12.28,2015.01.03,30,헤픈엔딩 (Feat. 조원선 of 롤러코스터),에픽하이 (EPIK HIGH),신발장
30,2015,1,2014.12.28,2015.01.03,31,쓰담쓰담,10cm,3.0
31,2015,1,2014.12.28,2015.01.03,32,Kiss Me,자이언티(Zion.T),피노키오 OST Part 6
32,2015,1,2014.12.28,2015.01.03,33,너일까,신용재,Light
33,2015,1,2014.12.28,2015.01.03,34,시간아 천천히,이진아,K팝 스타 시즌4 `시간아 천천히`
34,2015,1,2014.12.28,2015.01.03,35,It`s Christmas Day,로이킴,It`s Christmas Day
35,2015,1,2014.12.28,2015.01.03,36,산다는 건 (Cheer Up),홍진영,인생노트 (LIFE NOTE)
36,2015,1,2014.12.28,2015.01.03,37,내 생애 가장 행복한 시간 (Feat. 허각),MC몽,MISS ME OR DISS ME
37,2015,1,2014.12.28,2015.01.03,38,피노키오,로이킴,피노키오 OST Part 2
38,2015,1,2014.12.28,2015.01.03,39,신촌을 못가,포스트맨 (Postmen),신촌을 못가
39,2015,1,2014.12.28,2015.01.03,40,야생화,박효신,야생화
40,2015,1,2014.12.28,2015.01.03,41,"BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO, BOBBY)",에픽하이 (EPIK HIGH),신발장
41,2015,1,2014.12.28,2015.01.03,42,청춘연가,넬 (Nell),청춘연가
42,2015,1,2014.12.28,2015.01.03,43,Lost Stars,Adam Levine,영화 Begin Again OST
43,2015,1,2014.12.28,2015.01.03,44,Tell Me What Is Love (D.O.),EXO,EXOLOGY CHAPTER 1 : THE LOST PLANET
44,2015,1,2014.12.28,2015.01.03,45,Must Have Love,"SG워너비, 브라운 아이드 걸스",SG워너비 ＆ 브라운 아이드 걸스
45,2015,1,2014.12.28,2015.01.03,46,Piano Man,마마무 (Mamamoo),Piano Man
46,2015,1,2014.12.28,2015.01.03,47,"끝 (Feat. 조현아, 기리보이)",2LSON (투엘슨),끝
47,2015,1,2014.12.28,2015.01.03,48,바라보기,엠씨더맥스 (M.C The Max),미녀의 탄생 OST PART 4
48,2015,1,2014.12.28,2015.01.03,49,Winter Wonderland,성시경,Winter Wonderland
49,2015,1,2014.12.28,2015.01.03,50,울어도 돼,비투비 (BTOB),The Winter`s Tale
50,2015,1,2014.12.28,2015.01.03,51,손대지마,에일리 (Ailee),Magazine
51,2015,1,2014.12.28,2015.01.03,52,언제쯤이면 (Duet.아이유),윤현상,피아노포르테 (Pianoforte)
52,2015,1,2014.12.28,2015.01.03,53,"이리와봐 (Feat. Dok2, BOBBY)",MASTA WU,이리와봐
53,2015,1,2014.12.28,2015.01.03,54,공허해,위너(WINNER),2014 S/S
54,2015,1,2014.12.28,2015.01.03,55,U & I (With Crush & 빈지노),토이 (Toy),Da Capo
55,2015,1,2014.12.28,2015.01.03,56,I`m Not The Only One,Sam Smith,In The Lonely Hour
56,2015,1,2014.12.28,2015.01.03,57,아무일 없었다는 듯,"휘성, 알리 (ALi)",아무일 없었다는 듯
57,2015,1,2014.12.28,2015.01.03,58,걔 성격 몰라?,투빅 (2BiC),3rd Mini Repackage Album `Genuine`
58,2015,1,2014.12.28,2015.01.03,59,죽을만큼 아파서 Part 2 (Feat. 스웨덴세탁소),MC몽,MISS ME OR DISS ME
59,2015,1,2014.12.28,2015.01.03,60,"눈, 코, 입",태양,RISE
60,2015,1,2014.12.28,2015.01.03,61,펑펑,알리 (ALi),Turning Point
61,2015,1,2014.12.28,2015.01.03,62,끼부리지마,위너(WINNER),2014 S/S
