,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2023,16,2023.04.16,2023.04.22,1,I AM,IVE (아이브),I`ve IVE,,
1,2023,16,2023.04.16,2023.04.22,2,Kitsch,IVE (아이브),Kitsch,,
2,2023,16,2023.04.16,2023.04.22,3,꽃,지수 (JISOO),ME,,
3,2023,16,2023.04.16,2023.04.22,4,Perfume,NCT 도재정,Perfume - The 1st Mini Album,,
4,2023,16,2023.04.16,2023.04.22,5,Ditto,NewJeans,NewJeans `OMG`,,
5,2023,16,2023.04.16,2023.04.22,6,Hype boy,NewJeans,NewJeans 1st EP `New Jeans`,,
6,2023,16,2023.04.16,2023.04.22,7,OMG,NewJeans,NewJeans `OMG`,,
7,2023,16,2023.04.16,2023.04.22,8,Teddy Bear,STAYC(스테이씨),Teddy Bear,,
8,2023,16,2023.04.16,2023.04.22,9,사건의 지평선,윤하,YOUNHA 6th Album Repackage `END THEORY : Final Edition`,,
9,2023,16,2023.04.16,2023.04.22,10,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1,,
10,2023,16,2023.04.16,2023.04.22,11,Love Me Like This,NMIXX,expergo,,
11,2023,16,2023.04.16,2023.04.22,12,London Boy,임영웅,Polaroid,,
12,2023,16,2023.04.16,2023.04.22,13,Polaroid,임영웅,Polaroid,,
13,2023,16,2023.04.16,2023.04.22,14,Like Crazy,지민,FACE,,
14,2023,16,2023.04.16,2023.04.22,15,사람 Pt.2 (feat. 아이유),Agust D,사람 Pt.2,,
15,2023,16,2023.04.16,2023.04.22,16,FRIEND THE END,볼빨간사춘기,사랑.zip,,
16,2023,16,2023.04.16,2023.04.22,17,Cupid,FIFTY FIFTY,The Beginning: Cupid,,
17,2023,16,2023.04.16,2023.04.22,18,After LIKE,IVE (아이브),After LIKE,,
18,2023,16,2023.04.16,2023.04.22,19,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album `SECOND WIND`,,
19,2023,16,2023.04.16,2023.04.22,20,Attention,NewJeans,NewJeans 1st EP `New Jeans`,,
20,2023,16,2023.04.16,2023.04.22,21,심(心),DK,심(心),,
21,2023,16,2023.04.16,2023.04.22,22,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,,
22,2023,16,2023.04.16,2023.04.22,23,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night),,
23,2023,16,2023.04.16,2023.04.22,24,LOVE DIVE,IVE (아이브),LOVE DIVE,,
24,2023,16,2023.04.16,2023.04.22,25,I Don`t Think That I Like Her,Charlie Puth,CHARLIE,,
25,2023,16,2023.04.16,2023.04.22,26,NIGHT DANCER,imase,NIGHT DANCER,,
26,2023,16,2023.04.16,2023.04.22,27,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY,H1-KEY 1st Mini Album [Rose Blossom],,
27,2023,16,2023.04.16,2023.04.22,28,Zero,NewJeans,Zero,,
28,2023,16,2023.04.16,2023.04.22,29,Dangerously,Charlie Puth,Nine Track Mind (Deluxe),,
29,2023,16,2023.04.16,2023.04.22,30,사랑인가 봐,멜로망스(Melomance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),,
30,2023,16,2023.04.16,2023.04.22,31,Nostalgia,우디 (Woody),Nostalgia,,
31,2023,16,2023.04.16,2023.04.22,32,너의 모든 순간,성시경,별에서 온 그대 OST Part 7,,
32,2023,16,2023.04.16,2023.04.22,33,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,,
33,2023,16,2023.04.16,2023.04.22,34,사랑하기 싫어,지아 (Zia),사랑하기 싫어,,
34,2023,16,2023.04.16,2023.04.22,35,Candy,NCT DREAM,Candy - Winter Special Mini Album,,
35,2023,16,2023.04.16,2023.04.22,36,Chase Love Hard (Feat. 황민현),볼빨간사춘기,사랑.zip,,
36,2023,16,2023.04.16,2023.04.22,37,That`s Hilarious,Charlie Puth,That`s Hilarious,,
37,2023,16,2023.04.16,2023.04.22,38,Monologue,테이 (Tei),Monologue,,
38,2023,16,2023.04.16,2023.04.22,39,Stay,"The Kid LAROI, Justin Bieber",Stay,,
39,2023,16,2023.04.16,2023.04.22,40,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게,,
40,2023,16,2023.04.16,2023.04.22,41,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,,
41,2023,16,2023.04.16,2023.04.22,42,Nxde,(여자)아이들,I love,,
42,2023,16,2023.04.16,2023.04.22,43,너를 보는게 지친 하루에,송하예,너를 보는게 지친 하루에,,
43,2023,16,2023.04.16,2023.04.22,44,Say I Love You,우디(Woody),Say I Love You (Re : WIND 4MEN Vol.04),,
44,2023,16,2023.04.16,2023.04.22,45,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),,
45,2023,16,2023.04.16,2023.04.22,46,Shut Down,BLACKPINK,BORN PINK,,
46,2023,16,2023.04.16,2023.04.22,47,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,,
47,2023,16,2023.04.16,2023.04.22,48,취중고백,김민석,취중고백,,
48,2023,16,2023.04.16,2023.04.22,49,그라데이션,10cm,5.3,,
49,2023,16,2023.04.16,2023.04.22,50,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,,
50,2023,16,2023.04.16,2023.04.22,51,해요 (2022),#안녕,해요 (2022),,
51,2023,16,2023.04.16,2023.04.22,52,오르트구름,윤하,YOUNHA 6th Album `END THEORY`,,
52,2023,16,2023.04.16,2023.04.22,53,ELEVEN,IVE (아이브),ELEVEN,,
