,music,singer,music_id,release_date,category,music_like,comment_count
0,겨울소리,박효신,30810765,2018.01.01,발라드,86048,998
1,instagram,DEAN,30806580,2017.12.26,R&B/Soul,276677,1118
2,비행운,문문,30086173,2016.11.10,"인디음악, 록/메탈",223712,2005
3,Heart Shaker,TWICE,30781481,2017.12.11,댄스,154991,1652
4,그날처럼,장덕철,30755375,2017.11.28,발라드,251624,1819
5,선물,멜로망스,30514366,2017.07.10,"발라드, 인디음악",345138,847
6,기억의 빈자리,나얼,30757693,2017.11.29,R&B/Soul,126260,590
7,밤이 되니까,펀치,30659630,2017.09.29,R&B/Soul,212227,404
8,좋아,"윤종신,민서",30729198,2017.11.15,발라드,139191,1037
9,좋니,윤종신,30486509,2017.06.22,발라드,355714,1849
10,피카부,레드벨벳,30736437,2017.11.17,댄스,169977,1634
11,Lonely,종현,30383758,2017.04.24,R&B/Soul,238756,6009
12,Universe,EXO,30806536,2017.12.26,발라드,187487,2226
13,LIKEY,TWICE,30700708,2017.10.30,댄스,146758,2000
14,Havana,CamilaCabello,30753021,2017.12.04,발라드,124192,870
15,all of my life,박원,30550388,2017.07.27,발라드,246209,643
16,"그때의 나, 그때의 우리",어반자카파,30709103,2017.11.08,R&B/Soul,113826,278
17,Beautiful,WannaOne,30725482,2017.11.13,발라드,238120,2526
18,DNA,방탄소년단,30637982,2017.09.18,랩/힙합,373202,5879
19,썸 탈꺼야,볼빨간사춘기,30657307,2017.09.28,"인디음악, 포크/블루스",214356,623
20,그리워하다,비투비,30672529,2017.10.16,발라드,287809,4896
21,연애소설,에픽하이,30688500,2017.10.23,랩/힙합,175928,886
22,시차,우원재,30613202,2017.09.04,랩/힙합,344562,2535
23,이 별,길구봉구,30637776,2017.09.18,발라드,170822,308
24,가시나,선미,30587846,2017.08.22,댄스,162471,644
25,Santa Tell Me,ArianaGrande,5475060,2014.11.24,POP,231751,819
26,There`s Nothing Holdin` Me Back,ShawnMendes,30314784,2017.03.24,발라드,454840,2462
27,그 사람을 아나요,임창정,30688990,2017.10.23,발라드,73005,253
28,비도 오고 그래서,헤이즈,30492279,2017.06.26,R&B/Soul,306323,1486
29,미안해,양다일,30809895,2017.12.29,R&B/Soul,213397,438
30,한숨,이하이,8086947,2016.03.09,R&B/Soul,275693,1592
31,첫눈처럼 너에게 가겠다,에일리,30190630,2017.01.07,"발라드, 국내드라마",349958,1103
32,칠해줘,마마무,30819446,2018.01.04,발라드,34995,444
33,나의 사춘기에게,볼빨간사춘기,30657311,2017.09.28,"인디음악, 포크/블루스",309165,1979
34,바보야,허각,30753213,2017.11.27,발라드,74180,181
35,노력,박원,30099927,2016.11.17,발라드,199420,603
36,봄날,방탄소년단,30244931,2017.02.13,랩/힙합,542976,12939
37,덜덜덜,EXID,30713051,2017.11.07,댄스,57719,332
38,에너제틱,WannaOne,30568338,2017.08.07,댄스,288828,4732
39,뻔한 이별,"소유,성시경",30725643,2017.12.13,발라드,51666,149
40,바보에게 바보가,지아,30777979,2017.12.12,발라드,33163,91
41,빨간 맛,레드벨벳,30512671,2017.07.09,댄스,232480,2783
42,Blue,볼빨간사춘기,30657308,2017.09.28,"인디음악, 포크/블루스",150107,414
43,마지막처럼,BLACKPINK,30481578,2017.06.22,댄스,236985,1312
44,눈 떠보니 이별이더라,포맨,30690674,2017.10.24,발라드,120524,293
45,This Christmas,태연,30784187,2017.12.12,발라드,84884,674
46,Ko Ko Bop,EXO,30529996,2017.07.18,댄스,220047,6721
47,매일 듣는 노래,황치열,30467550,2017.06.13,발라드,174330,1336
48,REALLY REALLY,위너,30341745,2017.04.04,댄스,251652,2261
49,빈차,에픽하이,30688502,2017.10.23,랩/힙합,115821,574
50,좋았을걸,헤이즈,30784303,2017.12.14,"발라드, 국내드라마",36083,125
51,고민보다 Go,방탄소년단,30637988,2017.09.18,랩/힙합,213030,1152
52,가을 아침,아이유,30636089,2017.09.22,포크/블루스,295991,2135
53,짙어져,멜로망스,30667988,2017.10.15,"록/메탈, 국내드라마",96017,210
54,남이 될 수 있을까,"볼빨간사춘기,스무살",30468654,2017.06.13,"인디음악, 포크/블루스",201294,468
55,하루의 끝,종현,7857091,2015.09.17,발라드,144587,3231
56,지나갈 테니,EXO,30806539,2017.12.26,발라드,97692,553
57,팔레트,아이유,30378156,2017.04.21,R&B/Soul,284145,1337
58,널 너무 모르고,헤이즈,30492276,2017.06.26,랩/힙합,178697,437
59,가을 안부,먼데이키즈,30669593,2017.10.14,발라드,180751,746
