,music,singer,music_id,release_date,category,music_like,comment_count
0,회전목마,sokodomo,34256568,2021.11.13,랩/힙합,221459,1165
1,Counting Stars,BEO,34398735,2021.12.12,랩/힙합,169591,1194
2,리무진,BEO,34298499,2021.11.20,랩/힙합,190927,929
3,ELEVEN,IVE,34349913,2021.12.01,댄스,182811,1628
4,겨울잠,아이유,34481682,2021.12.29,발라드,124007,802
5,눈이 오잖아,이무진,34360855,2021.12.03,발라드,114996,568
6,만남은 쉽고 이별은 어려워,베이식,34298496,2021.11.20,랩/힙합,131845,888
7,사랑은 늘 도망가,임영웅,34061322,2021.10.11,"발라드, 국내드라마",194259,8741
8,불협화음,Muddthestudent,34331506,2021.11.27,랩/힙합,82814,516
9,strawberry moon,아이유,34101563,2021.10.19,록/메탈,222192,661
10,취중고백,김민석,34431086,2021.12.19,발라드,164927,409
11,드라마,아이유,34481680,2021.12.29,발라드,178366,661
12,신호등,이무진,33480898,2021.05.14,록/메탈,295619,3115
13,다정히 내 이름을 부르면,"경서예지,전건호",33496587,2021.05.19,발라드,169584,332
14,Savage,aespa,34041584,2021.10.05,댄스,156754,650
15,Stay,"TheKidLAROI,JustinBieber",33658563,2021.07.09,POP,259942,892
16,Dreams Come True,aespa,34436674,2021.12.20,댄스,103615,707
17,정거장,아이유,34481681,2021.12.29,포크/블루스,55542,213
18,쉬어,"아넌딜라이트,unofficialboyy,BE′O,지구인,Muddthestudent",34215822,2021.11.06,랩/힙합,105917,414
19,Next Level,aespa,33487342,2021.05.17,댄스,257612,5923
20,네가 없는 밤,BEO,34366006,2021.12.04,랩/힙합,82501,528
21,흰눈,먼데이키즈,34397419,2021.12.12,발라드,41662,59
22,Wake Up,"개코,Ourealgoat,SINCE,안병웅,Tabber,조광일",34215821,2021.11.06,랩/힙합,96830,482
23,매일 크리스마스,다비치,34369413,2021.12.06,댄스,29505,71
24,Christmas Tree,V,34461065,2021.12.24,"발라드, 국내드라마",115625,1309
25,너,아이유,34481683,2021.12.29,포크/블루스,40859,167
26,러브레터,아이유,34481684,2021.12.29,발라드,46410,159
27,너를 생각해,주시크,33978183,2021.09.22,"R&B/Soul, 인디음악",148483,199
28,낙하,AKMU,33725775,2021.07.26,록/메탈,181335,1316
29,문득,BEO,33448767,2021.05.02,랩/힙합,131435,276
30,OHAYO MY NIGHT,"디핵,PATEKO",32698101,2020.06.20,랩/힙합,207895,955
31,Still I Love You,토요태,34431340,2021.12.18,R&B/Soul,33159,284
32,Santa Tell Me,ArianaGrande,5475060,2014.11.24,POP,231748,819
33,바라만 본다,MSG워너비,33625988,2021.06.26,발라드,184078,1943
34,All I Want For Christmas Is You,MariahCarey,33507137,2021.05.21,댄스,286804,7894
35,My Universe,"Coldplay,방탄소년단",33998510,2021.09.24,POP,174966,1988
36,Permission to Dance,방탄소년단,33666269,2021.07.09,댄스,222606,4366
37,Snowman,Sia,30717645,2022.12.30,POP,245826,637
38,Celebrity,아이유,33239419,2021.03.25,댄스,331659,4019
39,헤픈 우연,헤이즈,33503722,2021.05.20,R&B/Soul,191613,857
40,밤하늘의 별을,경서,33061995,2020.11.14,발라드,219526,3193
41,Dynamite,방탄소년단,32872978,2020.08.24,댄스,451206,19203
42,Weekend,태연,33655994,2021.07.06,댄스,191305,2012
43,미리 메리 크리스마스,아이유,3053259,2010.12.09,댄스,170816,1083
44,라일락,아이유,33372781,2021.03.25,댄스,253364,2235
45,MBTI,BEO,34331510,2021.11.27,랩/힙합,53134,538
46,Bad Habits,EdSheeran,33623210,2021.10.29,POP,130314,301
47,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU,32061975,2019.09.25,발라드,404156,2457
48,고백,멜로망스,33868791,2021.08.29,"발라드, 인디음악",100931,147
49,그게 더 편할 것 같아,멜로망스,34326186,2021.11.26,발라드,40117,67
50,크리스마스니까,"성시경,박효신,이석훈,서인국,빅스",3973781,2012.12.06,발라드,162005,661
51,안녕 우린 헤어져야만 해,"전상근,신예영",34465082,2021.12.26,발라드,30312,41
52,"모든 날, 모든 순간",폴킴,30962526,2018.03.20,"발라드, 국내드라마",420737,1074
53,너의 모든 순간,성시경,4446485,2014.02.12,"발라드, 국내드라마",261622,462
54,이제 나만 믿어요,임영웅,32508053,2020.04.03,성인가요/트로트,166776,6011
55,우리가 헤어져야 했던 이유,비비,34399272,2021.12.13,"발라드, 국내드라마",73084,123
56,이별후회,김나영,34437341,2021.12.21,"발라드, 국내드라마",41762,81
57,다 잊은 줄 알았어,김재환,34469695,2021.12.27,발라드,11060,112
58,찰나가 영원이 될 때,마크툽,33976677,2021.09.19,"R&B/Soul, 인디음악",86125,315
59,사이렌 Remix,호미들,33359725,2021.03.20,랩/힙합,162336,664
60,롤린,브레이브걸스,30287019,2017.03.07,댄스,298410,7493
61,시간을 거슬러,케이윌,33878014,2021.08.31,발라드,73131,271
62,호우주의 ),조광일,34331508,2021.11.27,랩/힙합,41403,319
63,Dun Dun Dance,오마이걸,33464805,2021.05.10,댄스,164762,3029
64,추억은 만남보다 이별에 남아,정동하,33248758,2021.01.31,발라드,102068,394
65,내 손을 잡아,아이유,3414749,2011.05.25,"발라드, 국내드라마",207641,1116
66,Blueming,아이유,32183386,2019.11.18,록/메탈,353752,2732
67,서랍,10cm,34373632,2021.12.07,"발라드, 국내드라마",83942,109
68,밝게 빛나는 별이 되어 비춰줄게,송이한,33167063,2020.12.29,R&B/Soul,129130,420
69,비가 오는 날엔,헤이즈,33759183,2021.08.04,"발라드, 국내드라마",81375,261
70,탕!♡,MINO,34377570,2021.12.07,랩/힙합,45905,386
71,깐부,쿤타,34298498,2021.11.20,랩/힙합,35660,223
72,DUMB DUMB,전소미,33749109,2021.08.02,댄스,98182,795
73,밤새 서로 미루다,"존박,전미도",34388139,2021.12.09,발라드,22078,81
74,Queendom,레드벨벳,33805289,2021.08.16,댄스,120834,2265
75,Last Christmas,ArianaGrande,4365842,2013.01.01,POP,59687,84
76,Peaches,JustinBieber,33359317,2021.10.08,POP,221080,1006
77,좋아좋아,조정석,33691794,2021.07.16,"발라드, 국내드라마",89510,227
78,나 그댈위해 시 한편을 쓰겠어,케이시,34171026,2021.10.28,발라드,46582,54
79,취기를 빌려,산들,32794652,2020.07.20,발라드,231698,2070
80,Off My Face,JustinBieber,33359309,2021.10.08,POP,166025,282
81,비와 당신,이무진,33589488,2021.06.18,"록/메탈, 국내드라마",112484,546
82,너와 나의 Memories,"염따,TOIL,쿤타,베이식,365LIT,황지상,송민영",34215820,2021.11.06,랩/힙합,41637,390
83,오늘도 빛나는 너에게,마크툽,31853557,2019.06.09,"R&B/Soul, 인디음악",277897,1105
84,SCIENTIST,TWICE,34254823,2021.11.12,댄스,43314,771
85,그날에 나는 맘이 편했을까,이예준,33107649,2020.12.03,발라드,91465,161
86,ASAP,STAYC,33397561,2021.04.08,댄스,150642,3195
87,다시 사랑한다면,임영웅,33514925,2021.05.25,성인가요/트로트,51644,248
88,그대라는 사치,임영웅,33652821,2021.07.06,발라드,44340,325
89,멜로디,ASHISLAND,33315511,2021.02.25,랩/힙합,146118,643
90,작은 것들을 위한 시,방탄소년단,31737197,2019.04.12,댄스,441846,8710
91,봄날,방탄소년단,30244931,2017.02.13,랩/힙합,542938,12939
92,에잇,아이유,32578498,2020.05.06,록/메탈,391747,10043
93,Savage Love,"Jawsh685,JasonDerulo,BTS",32962258,2020.10.02,POP,203159,2158
94,다음생이 있다면 당신을 만나서 다시 사랑할래요,임재현,34225244,2021.11.08,발라드,24471,40
95,별빛 같은 나의 사랑아,임영웅,33337651,2021.03.09,성인가요/트로트,76820,3254
96,잊었니,임영웅,33606505,2021.06.22,성인가요/트로트,42509,245
97,선물을 고르며,자이언티,34456457,2021.12.23,R&B/Soul,12733,72
98,Life Goes On,방탄소년단,33077234,2020.11.20,랩/힙합,243718,5447
99,Step Back,GOTthebeat,34494149,2022.01.03,댄스,98096,1419
100,언덕나무,이승윤,34495462,2022.01.04,"발라드, 국내드라마",65923,778
101,그대 손 놓아요,이선희,34490292,2022.01.01,"발라드, 국내드라마",16528,131
102,죽을 만큼 아파서 ),MC몽,2733249,2010.06.24,랩/힙합,95240,336
103,abcdefu,GAYLE,33808429,2021.08.13,POP,104953,267
104,우리들의 블루스,임영웅,34908740,2022.05.02,발라드,91617,3814
105,사랑이 아니었다고 말하지 마요,이예준,34513916,2022.01.09,발라드,31666,66
106,여름비,샘김,34514465,2022.01.10,"포크/블루스, 국내드라마",42987,114
107,아직도 좋아해,양요섭,34520264,2022.01.11,"발라드, 국내드라마",16045,88
108,Can`t Control Myself,태연,34540831,2022.01.17,발라드,77524,572
109,호랑수월가,탑현,34535898,2022.01.15,발라드,87601,544
110,DM,프로미스나인,34539150,2022.01.17,댄스,61340,1245
111,오묘해,휘인,34536107,2022.01.16,R&B/Soul,20491,333
112,눈이 오던 날,기리보이,34533308,2022.01.14,랩/힙합,34014,151
113,숨 좀 쉬자,진진&라키,34538694,2022.01.17,댄스,6435,42
114,SMILEY,YENA,34538515,2022.01.17,댄스,143400,1237
115,행복하게 해줄게,장범준,34541850,2022.01.18,"포크/블루스, 국내드라마",14233,73
116,깨우지 마,"MC몽,소유",34553700,2022.01.21,랩/힙합,11016,105
117,연애소설,규현,34569071,2022.01.25,발라드,8042,63
118,Because,ASHISLAND,34564047,2022.01.25,랩/힙합,53851,208
119,Good Night,쿠기,34562040,2022.01.24,랩/힙합,54007,145
120,Feelin` Like,펜타곤,34561031,2022.01.24,댄스,7392,139
121,Child,마크,34599641,2022.02.04,랩/힙합,73387,2387
122,검정색하트,TOIL,34588190,2022.01.30,랩/힙합,66027,165
123,WA DA DA,Kep1er,34491913,2022.01.03,댄스,40367,616
124,너 아니면 안돼,먼데이키즈,34592758,2022.02.03,발라드,21780,57
125,언제나 사랑해,케이시,34599917,2022.02.07,발라드,69498,181
126,대낮에 한 이별,"선예,임슬옹",34596035,2022.02.04,발라드,14456,28
127,강변북로,황인욱,34598904,2022.02.06,발라드,15848,85
128,Stay Alive,정국,34630759,2022.02.11,발라드,58996,1033
129,잊을 수 있을까,노을,34622559,2022.02.10,발라드,22717,47
130,전복 먹으러 갈래,영탁,34622658,2022.02.10,성인가요/트로트,14948,2093
131,INVU,태연,34626109,2022.02.14,댄스,137857,1316
132,그래서 그래,에픽하이,34634791,2022.02.14,랩/힙합,24522,151
133,"너, 너 )",휘인,34632789,2022.02.13,발라드,44363,140
134,그런 밤,태연,34626110,2022.02.14,발라드,31163,350
135,Dilemma,에이핑크,34636290,2022.02.14,댄스,18422,356
136,직진,TREASURE,34643252,2022.02.15,댄스,24476,385
137,어른아이,태연,34626113,2022.02.14,댄스,21062,165
138,Set Myself On Fire,태연,34626112,2022.02.14,발라드,18515,179
139,Timeless,태연,34626116,2022.02.14,댄스,21259,157
140,아무렇지 않은 척,빅마마,34625548,2022.02.10,발라드,8782,43
141,노래,비투비,34667573,2022.02.21,발라드,41767,834
142,RUN2U,STAYC,34668619,2022.02.21,댄스,85470,1308
143,사랑인가 봐,멜로망스,34657844,2022.02.18,"발라드, 국내드라마",184481,256
144,듣고 싶을까,MSG워너비,34701627,2022.02.26,발라드,88466,527
145,어제처럼,폴킴,34701996,2022.02.27,발라드,45263,120
146,Stronger,KellyClarkson,34701816,2022.02.26,"랩/힙합, 국내드라마",84573,364
147,"손을 잡는다거나, 같이 걷는다거나",적재,34694005,2022.02.27,발라드,31796,67
148,Tiny Riot,SamRyder,33375439,2021.09.24,POP,70902,149
149,GANADARA,박재범,34752700,2022.03.11,R&B/Soul,132064,642
150,내 생에 아름다운,이예준,34726097,2022.03.06,발라드,31722,47
151,Starlight,태일,34632361,2022.02.13,"록/메탈, 국내드라마",82642,1034
152,겨울봄,이세계아이돌,34748940,2022.03.11,발라드,35098,851
153,Switch,김우석,34726189,2022.03.07,댄스,4042,50
154,"아주, 천천히",비비,34662306,2022.02.20,"발라드, 국내드라마",41455,139
155,TOMBOY,아이들,34754292,2022.03.14,록/메탈,235575,3619
156,WHO,문빈&산하,34757775,2022.03.15,댄스,12918,138
157,Thank You,브레이브걸스,34754767,2022.03.14,댄스,12842,437
158,사랑인걸,한동근,34752959,2022.03.13,발라드,39792,72
159,꽃,박봄,34748459,2022.03.11,발라드,20390,146
160,With,"김태리,남주혁,보나,최현욱,이주명",34752772,2022.03.13,"록/메탈, 국내드라마",43068,304
161,VOYAGER,기현,34758067,2022.03.15,록/메탈,33609,609
162,우린 어떠한 별보다 빛날 거야,이하이,34753327,2022.03.14,"R&B/Soul, 국내드라마",16832,22
163,O.O,NMIXX,34677112,2022.02.22,댄스,57768,1429
164,Feel My Rhythm,레드벨벳,34772475,2022.03.21,댄스,150207,1933
165,DAYDREAM,하이라이트,34773088,2022.03.21,댄스,38335,734
166,MANIAC,StrayKids,34769205,2022.03.18,일렉트로니카,41060,657
167,벚꽃이 피면 우리 그만 헤어져,벤,34774431,2022.03.22,발라드,18073,63
168,늦은 후회,조현아,34768543,2022.03.18,발라드,12987,28
169,MY BAG,아이들,34754299,2022.03.14,랩/힙합,88216,578
170,"스물다섯, 스물하나",자우림,4276080,2013.10.14,록/메탈,216700,746
171,소주 한 잔,양다일,34768822,2022.03.20,발라드,7551,29
172,버퍼링,NCTDREAM,34808759,2022.03.28,댄스,96557,3393
173,Real Love,오마이걸,34808386,2022.03.28,댄스,45490,811
174,북극성,NCTDREAM,34808767,2022.03.28,R&B/Soul,95764,654
175,내가 아니라도,주호,34787226,2022.03.25,발라드,98848,199
176,벚꽃 엔딩,버스커버스커,3753304,2012.03.29,록/메탈,334858,2271
177,너를 위한 단어,NCTDREAM,34808761,2022.03.28,R&B/Soul,49838,237
178,Arcade,NCTDREAM,34808760,2022.03.28,댄스,46951,222
179,봄 사랑 벚꽃 말고,"HIGH4,아이유",4579468,2014.04.08,발라드,221435,419
180,봄여름가을겨울,BIGBANG,34845949,2022.04.05,록/메탈,296237,5217
181,LOVE DIVE,IVE,34847378,2022.04.05,댄스,234627,2734
182,아무래도 난,주시크,34817660,2022.03.30,"R&B/Soul, 인디음악",83949,78
183,그녀를 찾아주세요,윤민수,34840251,2022.04.03,발라드,7327,27
184,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,32003395,2019.08.23,"록/메탈, 국내드라마",312452,1468
185,우연히 봄,"로꼬,유주",5650996,2015.04.08,"발라드, 랩/힙합, 국내드라마",163755,745
186,DICE,온유,34870499,2022.04.11,댄스,11426,217
187,LOVE me,BEO,34875621,2022.04.12,랩/힙합,141125,473
188,That`s Hilarious,CharliePuth,34864406,2022.10.07,POP,160662,293
189,너의 번호를 누르고,김나영,34875798,2022.04.12,발라드,22994,55
190,나는 트로트가 싫어요,임창정,34190739,2021.11.01,댄스,36401,197
191,Darl ing,세븐틴,34904578,2022.04.15,댄스,100113,1031
192,친구라도 될 걸 그랬어,HYNN,34865551,2022.04.08,발라드,12530,25
193,Love story,볼빨간사춘기,34930368,2022.04.20,"인디음악, 포크/블루스",114476,301
194,ZOOM,제시,34883833,2022.04.13,랩/힙합,51914,198
195,마지막 너의 인사,헤이즈,34907218,2022.04.16,"발라드, 국내드라마",27950,87
196,끝사랑,임영웅,33630420,2021.06.29,성인가요/트로트,40000,176
197,니 소식2,송하예,34906605,2022.04.16,발라드,10848,24
198,With you,"지민,하성운",34943241,2022.04.24,"발라드, 국내드라마",72172,2179
199,정이라고 하자,BIGNaughty,34927767,2022.04.20,R&B/Soul,208872,767
200,나의 X에게,경서,34943312,2022.04.24,발라드,142455,339
201,That That,싸이,34997078,2022.04.29,댄스,134074,1251
202,LOVE,몬스타엑스,33032093,2020.11.02,랩/힙합,44031,962
203,봄 to 러브,10cm,34942194,2022.04.23,"록/메탈, 국내드라마",41560,64
204,그대가 있기에,노을,34938975,2022.04.21,발라드,11295,29
205,다시 만날 수 있을까,임영웅,35008524,2022.05.02,발라드,74073,2271
206,무지개,임영웅,35008525,2022.05.02,록/메탈,62155,834
207,아버지,임영웅,35008527,2022.05.02,발라드,51209,571
208,사랑해 진짜,임영웅,35008531,2022.05.02,포크/블루스,48036,519
209,손이 참 곱던 그대,임영웅,35008526,2022.05.02,재즈,46999,464
210,A bientot,임영웅,35008528,2022.05.02,랩/힙합,48883,791
211,연애편지,임영웅,35008532,2022.05.02,포크/블루스,46105,528
212,인생찬가,임영웅,35008534,2022.05.02,발라드,47713,516
213,사랑역,임영웅,35008529,2022.05.02,성인가요/트로트,42197,402
214,사랑해요 그대를,임영웅,35008533,2022.05.02,성인가요/트로트,41955,402
215,보금자리,임영웅,35008530,2022.05.02,성인가요/트로트,45486,403
216,Celeb,싸이,34997079,2022.04.29,댄스,21571,263
217,감동이야,싸이,34997080,2022.04.29,랩/힙합,18892,122
218,FEARLESS,LESSERAFIM,35009233,2022.05.02,댄스,109548,1828
219,초대,멜로망스,35014621,2022.05.03,"발라드, 인디음악",26803,86
220,밤이 깊었네,싸이,34997081,2022.04.29,랩/힙합,8226,45
221,Good Boy Gone Bad,투모로우바이투게더,35058034,2022.05.09,랩/힙합,79958,1421
222,초록을거머쥔우리는,잔나비,35060827,2022.05.10,"인디음악, 록/메탈",34028,283
223,내 곁에,태연,35044105,2022.05.08,"발라드, 국내드라마",15562,76
224,Candy Sugar Pop,아스트로,35142365,2022.05.16,댄스,13988,164
225,팡파레,다비치,35145136,2022.05.16,발라드,45392,131
226,미친 것처럼,VOS,35126568,2022.05.15,발라드,32774,56
227,Happy Song,멜로망스,35127354,2022.05.14,"포크/블루스, 국내드라마",20066,52
228,YOU AND I,WSG워너비조별경연,35127336,2022.05.14,발라드,13216,95
229,Upside Down,강다니엘,35205065,2022.05.24,댄스,9516,263
230,HOT,세븐틴,35223429,2022.05.27,랩/힙합,120468,2545
231,늦은 밤 헤어지긴 너무 아쉬워,케이시,35177030,2022.05.19,발라드,60704,54
232,NANANA,GOT7,35201841,2022.05.23,댄스,5778,91
233,물고기,백예린,35203226,2022.05.24,록/메탈,44202,154
234,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,4848555,2014.08.28,"인디음악, 록/메탈",184075,491
