,music,singer,music_id,release_date,category,music_like,comment_count
0,VVS,"미란이,먼치맨,KhundiPanda,머쉬베놈",33077590,2020.11.21,랩/힙합,208443,4492
1,밤하늘의 별을,경서,33061995,2020.11.14,발라드,219525,3193
2,Dynamite,방탄소년단,32872978,2020.08.24,댄스,451204,19203
3,잠이 오질 않네요,장범준,33013877,2020.10.24,발라드,165521,900
4,내일이 오면 ),릴보이,33115807,2020.12.05,랩/힙합,132895,1639
5,Lovesick Girls,BLACKPINK,32961718,2020.10.02,댄스,231313,3596
6,힘든 건 사랑이 아니다,임창정,32998018,2020.10.19,발라드,115675,753
7,취기를 빌려,산들,32794652,2020.07.20,발라드,231698,2070
8,ON,방탄소년단,33077234,2020.11.20,랩/힙합,243718,5447
9,CREDIT,릴보이,33150997,2020.12.19,랩/힙합,84091,975
10,이제 나만 믿어요,임영웅,32508053,2020.04.03,성인가요/트로트,166777,6011
11,ON AIR,릴보이,33150993,2020.12.19,랩/힙합,53533,592
12,오래된 노래,스탠딩에그,3894276,2012.09.04,"인디음악, 포크/블루스",256176,605
13,Savage Love,"Jawsh685,JasonDerulo,BTS",32962258,2020.10.02,POP,203156,2158
14,Achoo,미란이,33115804,2020.12.05,랩/힙합,68243,1038
15,내 마음이 움찔했던 순간,규현,32871975,2020.08.23,발라드,121023,477
16,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU,32061975,2019.09.25,발라드,404157,2457
17,나랑 같이 걸을래,적재,33011180,2020.10.23,발라드,142457,299
18,에잇,아이유,32578498,2020.05.06,록/메탈,391743,10043
19,When We Disco,박진영,32853712,2020.08.12,댄스,82461,587
20,All I Want For Christmas Is You,MariahCarey,33077591,2020.11.21,랩/힙합,76965,3062
21,뿌리,KhundiPanda,33115806,2020.12.05,랩/힙합,66272,1120
22,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,32003395,2019.08.23,"록/메탈, 국내드라마",312455,1468
23,딩가딩가,마마무,33001672,2020.10.20,댄스,70610,600
24,악역,스윙스,33133804,2020.12.12,랩/힙합,41960,505
25,혼술하고 싶은 밤,벤,33104090,2020.12.02,발라드,53742,168
26,"모든 날, 모든 순간",폴킴,30962526,2018.03.20,"발라드, 국내드라마",420737,1074
27,Santa Tell Me,ArianaGrande,5475060,2014.11.24,POP,231749,819
28,늦은 밤 너의 집 앞 골목길에서,노을,32156286,2019.11.07,발라드,207834,1467
29,What Do I Call You,태연,33139117,2020.12.15,R&B/Soul,99517,1089
30,Dolphin,오마이걸,32559782,2020.04.27,댄스,202890,3446
31,DON`T TOUCH ME,환불원정대,32978341,2020.10.10,댄스,157309,2364
32,How You Like That,BLACKPINK,32720013,2020.06.26,댄스,201506,3884
33,Blueming,아이유,32183386,2019.11.18,록/메탈,353752,2732
34,Snowman,Sia,30717645,2022.12.30,POP,245824,637
35,I CAN`T STOP ME,TWICE,33016659,2020.10.26,댄스,71571,2234
36,아로하,조정석,32491274,2020.03.27,"발라드, 국내드라마",244816,1363
37,METEOR,창모,32224272,2019.11.29,랩/힙합,297384,4649
38,미리 메리 크리스마스,아이유,3053259,2010.12.09,댄스,170815,1083
39,어떻게 지내,오반,32438894,2020.03.05,"랩/힙합, 인디음악",197742,1988
40,우린 어쩌다 헤어진 걸까,허각,33164083,2020.12.28,발라드,50295,103
41,고독하구만,머쉬베놈,33133799,2020.12.12,랩/힙합,36888,298
42,작은 것들을 위한 시,방탄소년단,31737197,2019.04.12,댄스,441847,8710
43,마리아,화사,32725013,2020.06.29,댄스,162227,1943
