,music,singer,music_id,release_date,category,music_like,comment_count
0,Beautiful Liar,몬스타엑스,36014317,2023.01.09,댄스,35078,1575
1,VIBE,태양,36034936,2023.01.13,댄스,96041,1775
2,Dangerously,CharliePuth,8037843,2016.11.11,POP,160559,252
3,눈의 꽃,마크툽,36010484,2023.01.08,"R&B/Soul, 인디음악",7212,74
4,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU,32061975,2019.09.25,발라드,404155,2457
5,Permission to Dance,방탄소년단,33666269,2021.07.09,댄스,222600,4366
6,마지막 사랑,신예영,36033536,2023.01.12,발라드,25191,90
7,사랑해도 될까요,양다일,36040619,2023.01.15,발라드,16917,36
8,가슴으로 운다,김연지,36026650,2023.01.11,발라드,11960,50
9,Love War,YENA,36040047,2023.01.16,R&B/Soul,31632,438
10,니 번호가 뜨는 일,이예준,36046168,2023.01.17,발라드,21292,53
11,Stamp On It,GOTthebeat,35993850,2023.01.16,댄스,14737,506
12,희재,성시경,418168,2003.02.01,"발라드, 국내영화",137001,333
13,당신을 만나,"김호중,송가인",36065180,2023.01.25,발라드,16339,213
14,네가 보고 싶은 건 자연스러운 거겠지,신예영,36062700,2023.01.24,발라드,24160,121
15,Sugar Rush Ride,투모로우바이투게더,36078777,2023.01.27,댄스,101254,5756
16,그중에 그대를 만나,김호중,35667692,2022.09.24,"발라드, 국내드라마",19774,252
17,꿈의 거처,이승윤,36076998,2023.01.26,록/메탈,12293,138
18,나의 목소리로,김호중,35690912,2022.10.02,발라드,18700,320
19,손을 마주 잡고,BIGNaughty,36048470,2023.01.18,"R&B/Soul, 국내드라마",18255,75
20,Ay-Yo,NCT127,36079879,2023.01.30,댄스,57559,7266
21,친구로 지내다 보면,BIGNaughty,36081382,2023.01.29,R&B/Soul,40154,269
22,Devil by the Window,투모로우바이투게더,36078776,2023.01.27,댄스,62851,495
23,혼자서 걸어요,태연,36100714,2023.02.02,발라드,25214,229
24,네버랜드를 떠나며,투모로우바이투게더,36078780,2023.01.27,록/메탈,60641,588
25,Tinnitus,투모로우바이투게더,36078779,2023.01.27,R&B/Soul,54254,337
26,Happy Fools,투모로우바이투게더,36078778,2023.01.27,랩/힙합,54011,334
27,The Drum,AlanWalker,34929349,2022.06.17,일렉트로니카,40255,79
28,파이팅 해야지,부석순,36110996,2023.02.06,댄스,151049,4397
29,7시에 들어줘,부석순,36110998,2023.02.06,R&B/Soul,60138,528
30,LUNCH,부석순,36110997,2023.02.06,댄스,42600,206
31,우리가 맞다는 대답을 할 거예요,10cm,36109370,2023.02.05,"인디음악, 포크/블루스",14529,71
32,Kill Bill,SZA,35911191,2022.12.09,R&B/Soul,38092,95
33,Poppy,STAYC,36105549,2023.02.03,댄스,40690,496
34,Teddy Bear,STAYC,36105548,2023.02.14,댄스,86896,1658
35,Killer,키,36139862,2023.02.13,댄스,7406,164
36,Yesterday,박재범,36136159,2023.02.13,R&B/Soul,22298,89
37,Endless,허각,36124331,2023.02.09,록/메탈,8845,30
38,지금 고백합니다,MSG워너비,36133539,2023.02.11,발라드,6457,121
39,한 페이지가 될 수 있게,DAY6,31927275,2019.07.15,록/메탈,187174,2244
40,Left and Right,"CharliePuth,정국,방탄소년단",35331586,2022.06.24,POP,115592,987
41,ROAR,더보이즈,36182838,2023.02.20,댄스,25097,1552
42,풍등,이찬원,36181007,2023.02.20,성인가요/트로트,13176,218
43,심,DK,36180700,2023.02.19,록/메탈,42224,414
44,NIGHT DANCER,imase,35535827,2022.08.19,J-POP,84092,211
45,건물 사이에 피어난 장미,H1KEY,36001290,2023.01.05,댄스,64436,1090
46,이젠 안녕,투모로우바이투게더,36191613,2023.02.22,발라드,47472,622
47,세상에 없는 계절,임재현,36082135,2023.01.29,"발라드, 인디음악",14270,44
48,사랑하기 싫어,지아,36206208,2023.02.24,발라드,32988,293
49,너와 함께,김민석,36205780,2023.02.26,"발라드, 인디음악",16184,64
50,걸음을 멈추는 날,나얼,36216989,2023.02.27,발라드,12885,170
51,on the street,"jhope,JCole",36241824,2023.03.03,랩/힙합,49601,1398
52,사랑이라 믿었던 것들은,BIGNaughty,36224655,2023.02.28,R&B/Soul,47871,240
53,나비무덤,포맨,36235518,2023.03.01,발라드,19153,92
54,O,온유,36247336,2023.03.06,R&B/Soul,6558,154
55,CHRISTIAN,ZiorPark,36145589,2023.02.16,록/메탈,70519,462
56,혼자가 아닌 나,정효빈,36235272,2023.03.01,발라드,14540,48
57,Nostalgia,우디,36245034,2023.03.06,일렉트로니카,38966,250
58,Rover,카이,36269721,2023.03.13,댄스,18906,296
59,Set Me Free Pt.2,지민,36294096,2023.03.17,랩/힙합,50996,1625
60,Expectations,"AnneMarie,민니아이들,아이들",36265974,2023.03.12,발라드,9475,64
61,SET ME FREE,TWICE,36263564,2023.03.10,댄스,16218,412
62,55,코드쿤스트,36254943,2023.03.08,R&B/Soul,15392,151
63,Like Crazy,지민,36313117,2023.03.24,댄스,58753,2533
64,결국엔 너에게 닿아서,WSG워너비,36291745,2023.03.17,발라드,15546,197
65,너를 보는게 지친 하루에,송하예,36294584,2023.03.19,발라드,21779,69
66,되돌리다,먼데이키즈,36296186,2023.03.19,발라드,11558,40
67,Love Me Like This,NMIXX,36266615,2023.03.20,댄스,45478,1543
68,Face-off,지민,36313115,2023.03.24,랩/힙합,30552,273
69,Kitsch,IVE,36318125,2023.04.10,댄스,122957,2124
70,밤이 무서워요,주주시크릿,36312416,2023.03.25,댄스,28156,189
71,꽃,지수,36331121,2023.03.31,댄스,97777,1588
72,벚꽃 엔딩,버스커버스커,3753304,2012.03.29,록/메탈,334855,2271
73,봄 사랑 벚꽃 말고,"HIGH4,아이유",4579468,2014.04.08,발라드,221432,419
74,"Young, Dumb, Stupid",NMIXX,36266614,2023.03.20,댄스,29820,532
75,아모르 파티,이홍기,36303189,2023.03.22,성인가요/트로트,9372,124
76,Sour & Sweet,뱀뱀,5650996,2015.04.08,"발라드, 랩/힙합, 국내드라마",163751,745
77,Zero,NewJeans,36337593,2023.04.03,댄스,42191,843
78,사람 Pt.2,AgustD,36351997,2023.04.07,R&B/Soul,64240,1001
79,That’s Not How This Works,CharliePuth,36322781,2023.03.31,POP,33182,157
80,사랑하지 않아서 그랬어,임한별,36334401,2023.04.02,발라드,18542,104
81,발걸음,DK,36325563,2023.03.30,발라드,10567,57
82,I AM,IVE,31709523,2019.04.02,"인디음악, 포크/블루스",194071,980
83,Cupid,FIFTYFIFTY,36206259,2023.02.24,댄스,68160,976
84,Say My Name,SayYes,36344975,2023.04.06,댄스,38165,1347
85,Blue Blood,IVE,36356992,2023.04.10,댄스,21259,249
86,가질 수 없는 너,안녕,36348051,2023.04.06,발라드,13935,30
87,빙글빙글,헤이즈,36338239,2023.04.05,댄스,11493,274
88,Lips,IVE,36356994,2023.04.10,댄스,17749,162
89,Perfume,NCT도재정,36374470,2023.04.17,R&B/Soul,46250,2096
90,FRIEND THE END,볼빨간사춘기,36371558,2023.04.16,"인디음악, 포크/블루스",31377,187
91,Chase Love Hard,볼빨간사춘기,36371557,2023.04.16,"인디음악, 포크/블루스",13421,116
92,빛이 나는 너에게,던,36365073,2023.04.13,R&B/Soul,42221,175
93,사랑이 이별이 돼 가는 모습이,볼빨간사춘기,36371560,2023.04.16,"발라드, 인디음악",9275,56
94,Ai Wo Tsutaetaidatoka,aimyon,30633420,2017.09.15,J-POP,54799,140
95,해금,AgustD,36388567,2023.04.21,랩/힙합,30528,633
96,다시 사랑한다면,한동근,36350347,2023.04.11,발라드,9766,19
97,손오공,세븐틴,36391236,2023.04.24,댄스,101497,2100
98,F*ck My Life,세븐틴,36391235,2023.04.24,랩/힙합,70402,488
99,헤어지자 말해요,박재정,36382580,2023.04.20,발라드,25520,528
100,먼지,세븐틴,36391239,2023.04.24,R&B/Soul,51847,347
101,April shower,세븐틴,36391240,2023.04.24,R&B/Soul,46961,198
102,Fire,세븐틴,36391237,2023.04.24,랩/힙합,45508,168
103,I Don`t Understand But I Luv U,세븐틴,36391238,2023.04.24,R&B/Soul,46746,197
104,나의 마음에,태양,36391318,2023.04.25,발라드,18571,308
105,KNOCK,이채연,36359275,2023.04.12,댄스,23185,762
106,When I Get Old,"Christopher,청하",35738070,2022.10.20,POP,38365,76
107,UNFORGIVEN,LESSERAFIM,36411342,2023.05.01,댄스,69556,1192
108,물론,허각,36404853,2023.04.28,발라드,17345,66
109,나의 바람,비투비,36414423,2023.05.02,댄스,29084,776
110,Heaven,임재현,36394038,2023.04.25,"발라드, 국내드라마",16137,41
111,안녕이라고 말하지마,VOS,36410735,2023.04.30,발라드,7537,22
112,"이브, 프시케 그리고 푸른 수염의 아내",LESSERAFIM,36411344,2023.05.01,댄스,14849,264
113,No-Return,LESSERAFIM,36411343,2023.05.01,댄스,14573,122
