year,week_num,start_date,end_date,rank,music,singer,album
2022,28,2022.07.03,2022.07.09,1,LOVE DIVE,IVE (아이브),LOVE DIVE
2022,28,2022.07.03,2022.07.09,2,POP!,나연 (TWICE),IM NAYEON
2022,28,2022.07.03,2022.07.09,3,TOMBOY,(여자)아이들,I NEVER DIE
2022,28,2022.07.03,2022.07.09,4,That That (prod. & feat. SUGA of BTS),싸이 (Psy),싸다9
2022,28,2022.07.03,2022.07.09,5,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
2022,28,2022.07.03,2022.07.09,6,사랑인가 봐,멜로망스(Melomance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
2022,28,2022.07.03,2022.07.09,7,나의 X에게,경서,나의 X에게
2022,29,2022.07.10,2022.07.16,1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2022,28,2022.07.03,2022.07.09,8,That That (prod. & feat. SUGA of BTS),싸이 (Psy),싸다9
2022,29,2022.07.10,2022.07.16,2,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
2022,28,2022.07.03,2022.07.09,9,나의 X에게,경서,나의 X에게
2022,29,2022.07.10,2022.07.16,3,LOVE DIVE,IVE (아이브),LOVE DIVE
2022,28,2022.07.03,2022.07.09,10,사랑인가 봐,멜로망스(Melomance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
2022,29,2022.07.10,2022.07.16,4,POP!,나연 (TWICE),IM NAYEON
2022,28,2022.07.03,2022.07.09,11,Girls,aespa,Girls - The 2nd Mini Album
2022,29,2022.07.10,2022.07.16,5,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집
2022,28,2022.07.03,2022.07.09,12,우리들의 블루스,임영웅,IM HERO
2022,29,2022.07.10,2022.07.16,6,TOMBOY,(여자)아이들,I NEVER DIE
2022,28,2022.07.03,2022.07.09,13,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2022,29,2022.07.10,2022.07.16,7,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
2022,28,2022.07.03,2022.07.09,14,다시 만날 수 있을까,임영웅,IM HERO
2022,30,2022.07.17,2022.07.23,1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2022,29,2022.07.10,2022.07.16,8,That That (prod. & feat. SUGA of BTS),싸이 (Psy),싸다9
2022,28,2022.07.03,2022.07.09,15,그라데이션,10cm,5.3
2022,30,2022.07.17,2022.07.23,2,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
2022,29,2022.07.10,2022.07.16,9,나의 X에게,경서,나의 X에게
2022,28,2022.07.03,2022.07.09,16,무지개,임영웅,IM HERO
2022,30,2022.07.17,2022.07.23,3,LOVE DIVE,IVE (아이브),LOVE DIVE
2022,29,2022.07.10,2022.07.16,10,사랑인가 봐,멜로망스(Melomance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
2022,28,2022.07.03,2022.07.09,17,LOVE me,BE`O (비오),LOVE me
2022,30,2022.07.17,2022.07.23,4,_WORLD,세븐틴,4th Album Repackage `SECTOR 17`
2022,29,2022.07.10,2022.07.16,11,Girls,aespa,Girls - The 2nd Mini Album
2022,28,2022.07.03,2022.07.09,18,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
2022,30,2022.07.17,2022.07.23,5,POP!,나연 (TWICE),IM NAYEON
2022,29,2022.07.10,2022.07.16,12,우리들의 블루스,임영웅,IM HERO
2022,28,2022.07.03,2022.07.09,19,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2022,30,2022.07.17,2022.07.23,6,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
2022,29,2022.07.10,2022.07.16,13,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집
2022,28,2022.07.03,2022.07.09,20,Love story,볼빨간사춘기,Seoul
2022,32,2022.07.31,2022.08.06,1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2022,30,2022.07.17,2022.07.23,7,That That (prod. & feat. SUGA of BTS),싸이 (Psy),싸다9
2022,29,2022.07.10,2022.07.16,14,Attention,NewJeans,NewJeans 1st EP `New Jeans`
2022,28,2022.07.03,2022.07.09,21,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집
2022,32,2022.07.31,2022.08.06,2,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
2022,30,2022.07.17,2022.07.23,8,Girls,aespa,Girls - The 2nd Mini Album
2022,29,2022.07.10,2022.07.16,15,다시 만날 수 있을까,임영웅,IM HERO
2022,28,2022.07.03,2022.07.09,22,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
2022,32,2022.07.31,2022.08.06,3,LOVE DIVE,IVE (아이브),LOVE DIVE
2022,30,2022.07.17,2022.07.23,9,나의 X에게,경서,나의 X에게
2022,29,2022.07.10,2022.07.16,16,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
2022,28,2022.07.03,2022.07.09,23,내가 아니라도,주호,내가 아니라도
2022,31,2022.07.24,2022.07.30,1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2022,32,2022.07.31,2022.08.06,4,POP!,나연 (TWICE),IM NAYEON
2022,30,2022.07.17,2022.07.23,10,사랑인가 봐,멜로망스(Melomance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
2022,29,2022.07.10,2022.07.16,17,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
2022,28,2022.07.03,2022.07.09,24,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
2022,31,2022.07.24,2022.07.30,2,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
2022,32,2022.07.31,2022.08.06,5,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
2022,30,2022.07.17,2022.07.23,11,우리들의 블루스,임영웅,IM HERO
2022,29,2022.07.10,2022.07.16,18,LOVE me,BE`O (비오),LOVE me
2022,28,2022.07.03,2022.07.09,25,취중고백,김민석,취중고백
2022,34,2022.08.14,2022.08.20,1,Attention,NewJeans,NewJeans 1st EP `New Jeans`
2022,31,2022.07.24,2022.07.30,3,Hype boy,NewJeans,NewJeans 1st EP `New Jeans`
2022,32,2022.07.31,2022.08.06,6,SNEAKERS,ITZY (있지),CHECKMATE
2022,30,2022.07.17,2022.07.23,12,TOMBOY,(여자)아이들,I NEVER DIE
2022,29,2022.07.10,2022.07.16,19,우리들의 블루스,임영웅,IM HERO
2022,28,2022.07.03,2022.07.09,26,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
2022,34,2022.08.14,2022.08.20,2,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2022,31,2022.07.24,2022.07.30,4,LOVE DIVE,IVE (아이브),LOVE DIVE
2022,32,2022.07.31,2022.08.06,7,FOREVER 1,소녀시대,FOREVER 1 - The 7th Album
2022,30,2022.07.17,2022.07.23,13,그라데이션,10cm,5.3
2022,29,2022.07.10,2022.07.16,20,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
2022,28,2022.07.03,2022.07.09,27,취중고백,김민석,취중고백
2022,35,2022.08.21,2022.08.27,1,Attention,NewJeans,NewJeans 1st EP `New Jeans`
2022,34,2022.08.14,2022.08.20,3,After LIKE,IVE (아이브),After LIKE
2022,31,2022.07.24,2022.07.30,5,FOREVER 1,소녀시대,FOREVER 1 - The 7th Album
2022,32,2022.07.31,2022.08.06,8,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
2022,30,2022.07.17,2022.07.23,14,그라데이션,10cm,5.3
2022,29,2022.07.10,2022.07.16,21,Love story,볼빨간사춘기,Seoul
2022,28,2022.07.03,2022.07.09,28,That`s Hilarious,Charlie Puth,That`s Hilarious
2022,35,2022.08.21,2022.08.27,2,Pink Venom,BLACKPINK,Pink Venom
