album,end_date,music,rank,singer,start_date,week_num,year
WSG워너비 1집,2022.08.13,그때 그 순간 그대로 (그그그),1,WSG워너비 (가야G),2022.08.07,33,2022
NewJeans 1st EP `New Jeans`,2022.08.13,Attention,2,NewJeans,2022.08.07,33,2022
WSG워너비 1집,2022.08.13,보고싶었어,3,WSG워너비 (4FIRE),2022.08.07,33,2022
LOVE DIVE,2022.08.13,LOVE DIVE,4,IVE (아이브),2022.08.07,33,2022
CHECKMATE,2022.08.13,SNEAKERS,5,ITZY (있지),2022.08.07,33,2022
IM NAYEON,2022.08.13,POP!,6,나연 (TWICE),2022.08.07,33,2022
NewJeans 1st EP `New Jeans`,2022.08.13,Hype boy,7,NewJeans,2022.08.07,33,2022
정이라고 하자,2022.08.13,정이라고 하자 (Feat. 10CM),8,BIG Naughty (서동현),2022.08.07,33,2022
IM HERO,2022.08.13,우리들의 블루스,9,임영웅,2022.08.07,33,2022
NewJeans 1st EP `New Jeans`,2022.08.20,Attention,1,NewJeans,2022.08.14,34,2022
나의 X에게,2022.08.13,나의 X에게,10,경서,2022.08.07,33,2022
WSG워너비 1집,2022.08.20,그때 그 순간 그대로 (그그그),2,WSG워너비 (가야G),2022.08.14,34,2022
싸다9,2022.08.13,That That (prod. & feat. SUGA of BTS),11,싸이 (Psy),2022.08.07,33,2022
NewJeans 1st EP `New Jeans`,2022.08.20,Hype boy,3,NewJeans,2022.08.14,34,2022
I NEVER DIE,2022.08.13,TOMBOY,12,(여자)아이들,2022.08.07,33,2022
LOVE DIVE,2022.08.20,LOVE DIVE,4,IVE (아이브),2022.08.14,34,2022
5.3,2022.08.13,그라데이션,13,10cm,2022.08.07,33,2022
WSG워너비 1집,2022.08.20,보고싶었어,5,WSG워너비 (4FIRE),2022.08.14,34,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.08.13,사랑인가 봐,14,멜로망스(Melomance),2022.08.07,33,2022
CHECKMATE,2022.08.20,SNEAKERS,6,ITZY (있지),2022.08.14,34,2022
NewJeans 1st EP `New Jeans`,2022.08.13,Cookie,15,NewJeans,2022.08.07,33,2022
FOREVER 1 - The 7th Album,2022.08.20,FOREVER 1,7,소녀시대,2022.08.14,34,2022
Girls - The 2nd Mini Album,2022.08.13,도깨비불 (Illusion),16,aespa,2022.08.07,33,2022
IM NAYEON,2022.08.20,POP!,8,나연 (TWICE),2022.08.14,34,2022
Girls - The 2nd Mini Album,2022.08.13,Girls,17,aespa,2022.08.07,33,2022
정이라고 하자,2022.08.20,정이라고 하자 (Feat. 10CM),9,BIG Naughty (서동현),2022.08.14,34,2022
NewJeans 1st EP `New Jeans`,2022.08.27,Attention,1,NewJeans,2022.08.21,35,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.08.13,사랑인가 봐,18,멜로망스(Melomance),2022.08.07,33,2022
IM NAYEON,2022.08.20,POP!,10,나연 (TWICE),2022.08.14,34,2022
Pink Venom,2022.08.27,Pink Venom,2,BLACKPINK,2022.08.21,35,2022
Girls - The 2nd Mini Album,2022.08.13,Girls,19,aespa,2022.08.07,33,2022
NewJeans 1st EP `New Jeans`,2022.08.20,Cookie,11,NewJeans,2022.08.14,34,2022
After LIKE,2022.08.27,After LIKE,3,IVE (아이브),2022.08.21,35,2022
FEARLESS,2022.08.13,FEARLESS,20,LE SSERAFIM (르세라핌),2022.08.07,33,2022
정이라고 하자,2022.08.20,정이라고 하자 (Feat. 10CM),12,BIG Naughty (서동현),2022.08.14,34,2022
NewJeans 1st EP `New Jeans`,2022.08.27,Hype boy,4,NewJeans,2022.08.21,35,2022
Seoul,2022.08.13,Love story,21,볼빨간사춘기,2022.08.07,33,2022
나의 X에게,2022.08.20,나의 X에게,13,경서,2022.08.14,34,2022
