,year,week_num,start_date,end_date,rank,music,singer,album
0,2018,52,2018.12.23,2018.12.29,1,180도,벤 (Ben),180˚
1,2018,52,2018.12.23,2018.12.29,2,MILLIONS,위너(WINNER),MILLIONS
2,2018,52,2018.12.23,2018.12.29,3,아낙네,MINO (송민호),XX
3,2018,52,2018.12.23,2018.12.29,4,SOLO,제니 (JENNIE),SOLO
4,2018,52,2018.12.23,2018.12.29,5,너를 만나,폴킴,너를 만나
5,2018,52,2018.12.23,2018.12.29,6,첫눈에,헤이즈 (Heize),첫눈에
6,2018,52,2018.12.23,2018.12.29,7,신용재,하은,신용재
7,2018,52,2018.12.23,2018.12.29,8,YES or YES,TWICE,YES or YES
8,2018,52,2018.12.23,2018.12.29,9,Love Shot,EXO,LOVE SHOT - The 5th Album Repackage
9,2018,52,2018.12.23,2018.12.29,10,Santa Tell Me,Ariana Grande,Santa Tell Me
10,2018,52,2018.12.23,2018.12.29,11,내 생에 아름다운,케이윌 (K.Will),뷰티 인사이드 OST Part.4
11,2018,52,2018.12.23,2018.12.29,12,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
12,2018,52,2018.12.23,2018.12.29,13,가을 타나 봐,바이브 (Vibe),가을 타나 봐
13,2018,52,2018.12.23,2018.12.29,14,삐삐,아이유 (IU),삐삐
14,2018,52,2018.12.23,2018.12.29,15,Snowman,Sia,Snowman
15,2018,52,2018.12.23,2018.12.29,16,"thank u, next",Ariana Grande,"thank u, next"
16,2018,52,2018.12.23,2018.12.29,17,고백,양다일,고백
17,2018,52,2018.12.23,2018.12.29,18,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
18,2018,52,2018.12.23,2018.12.29,19,아름답고도 아프구나,비투비 (BTOB),HOUR MOMENT
19,2018,52,2018.12.23,2018.12.29,20,하루도 그대를 사랑하지 않은 적이 없었다,임창정,하루도 그대를 사랑하지 않은 적이 없었다
20,2018,52,2018.12.23,2018.12.29,21,Way Back Home,숀 (SHAUN),Take
21,2018,52,2018.12.23,2018.12.29,22,열애중,벤 (Ben),RECIPE
22,2018,52,2018.12.23,2018.12.29,23,Tempo,EXO,DON`T MESS UP MY TEMPO - The 5th Album
23,2018,52,2018.12.23,2018.12.29,24,흔한 이별,허각,흔한 이별
24,2018,52,2018.12.23,2018.12.29,25,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Real
25,2018,52,2018.12.23,2018.12.29,26,동화 (Feat. 아이유),김동률,동화
26,2018,52,2018.12.23,2018.12.29,27,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX)",Jelly Christmas 2012 Heart Project
27,2018,52,2018.12.23,2018.12.29,28,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피 (Loopy)",쇼미더머니 777 Episode 1
28,2018,52,2018.12.23,2018.12.29,29,이별하러 가는 길,임한별,이별하러 가는 길
29,2018,52,2018.12.23,2018.12.29,30,알았다면,장덕철,알았다면
30,2018,52,2018.12.23,2018.12.29,31,봄바람,Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
31,2018,52,2018.12.23,2018.12.29,32,IDOL,방탄소년단,LOVE YOURSELF 結 `Answer`
32,2018,52,2018.12.23,2018.12.29,33,Wind flower,마마무 (Mamamoo),BLUE;S
33,2018,52,2018.12.23,2018.12.29,34,지나오다,닐로 (Nilo),About You
34,2018,52,2018.12.23,2018.12.29,35,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,SQUARE UP
