,year,week_num,start_date,end_date,rank,music,singer,album
0,2019,50,2019.12.08,2019.12.14,1,Blueming,아이유 (IU),Love poem
1,2019,50,2019.12.08,2019.12.14,2,Square (2017),백예린,Every letter I sent you.
2,2019,50,2019.12.08,2019.12.14,3,첫 겨울이니까,"성시경, 아이유 (IU)",첫 겨울이니까
3,2019,50,2019.12.08,2019.12.14,4,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
4,2019,50,2019.12.08,2019.12.14,5,나의 오랜 연인에게,다비치,나의 오랜 연인에게
5,2019,50,2019.12.08,2019.12.14,6,Into the Unknown,"Idina Menzel, AURORA",Frozen 2 (겨울왕국 2 OST)
6,2019,50,2019.12.08,2019.12.14,7,십이월 이십오일의 고백,정승환,십이월 이십오일의 고백
7,2019,50,2019.12.08,2019.12.14,8,Love poem,아이유 (IU),Love poem
8,2019,50,2019.12.08,2019.12.14,9,"아마두 (Feat. 우원재, 김효은, 넉살, Huckleberry P)","염따 (YumDDa), 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉 (Simon Dominic)",Dingo X DAMOIM (Part 2)
9,2019,50,2019.12.08,2019.12.14,10,HIP,마마무 (Mamamoo),reality in BLACK
10,2019,50,2019.12.08,2019.12.14,11,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
11,2019,50,2019.12.08,2019.12.14,12,헤어진 우리가 지켜야 할 것들,"김나영, 양다일",헤어진 우리가 지켜야 할 것들
12,2019,50,2019.12.08,2019.12.14,13,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
13,2019,50,2019.12.08,2019.12.14,14,이 번호로 전화해줘,바이브 (Vibe),이 번호로 전화해줘
14,2019,50,2019.12.08,2019.12.14,15,Show Yourself,"Idina Menzel, Evan Rachel Wood",Frozen 2 (겨울왕국 2 OST)
15,2019,50,2019.12.08,2019.12.14,16,조금 취했어 (Prod. 2soo),임재현,조금 취했어
16,2019,50,2019.12.08,2019.12.14,17,시간의 바깥,아이유 (IU),Love poem
17,2019,50,2019.12.08,2019.12.14,18,새 사랑,송하예,새 사랑
18,2019,50,2019.12.08,2019.12.14,19,안녕,폴킴,호텔 델루나 OST Part.10
19,2019,50,2019.12.08,2019.12.14,20,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어
20,2019,50,2019.12.08,2019.12.14,21,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8
21,2019,50,2019.12.08,2019.12.14,22,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
22,2019,50,2019.12.08,2019.12.14,23,METEOR,창모 (CHANGMO),Boyhood
23,2019,50,2019.12.08,2019.12.14,24,Popo (How deep is our love?),백예린,Every letter I sent you.
24,2019,50,2019.12.08,2019.12.14,25,Obsession,EXO,OBSESSION - The 6th Album
25,2019,50,2019.12.08,2019.12.14,26,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album
26,2019,50,2019.12.08,2019.12.14,27,있어줘요,장덕철,있어줘요
27,2019,50,2019.12.08,2019.12.14,28,시든 꽃에 물을 주듯,HYNN(박혜원),시든 꽃에 물을 주듯
28,2019,50,2019.12.08,2019.12.14,29,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
29,2019,50,2019.12.08,2019.12.14,30,Santa Tell Me,Ariana Grande,Santa Tell Me
30,2019,50,2019.12.08,2019.12.14,31,2002,Anne-Marie,Speak Your Mind (Deluxe)
31,2019,50,2019.12.08,2019.12.14,32,포장마차,황인욱,포장마차
32,2019,50,2019.12.08,2019.12.14,33,숨겨진 세상 (Into the Unknown End Credit Ver.) (겨울왕국 2),태연 (TAEYEON),겨울왕국 2 (한국어 버전)
33,2019,50,2019.12.08,2019.12.14,34,니 소식,송하예,니 소식
34,2019,50,2019.12.08,2019.12.14,35,unlucky,아이유 (IU),Love poem
35,2019,50,2019.12.08,2019.12.14,36,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3
36,2019,50,2019.12.08,2019.12.14,37,0310,백예린,Every letter I sent you.
37,2019,50,2019.12.08,2019.12.14,38,이별주,황인욱,이별주
38,2019,50,2019.12.08,2019.12.14,39,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
39,2019,50,2019.12.08,2019.12.14,40,워커홀릭,볼빨간사춘기,Two Five
40,2019,50,2019.12.08,2019.12.14,41,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면
41,2019,50,2019.12.08,2019.12.14,42,기억해줘요 내 모든 날과 그때를,거미,호텔 델루나 OST Part.7
42,2019,50,2019.12.08,2019.12.14,43,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
43,2019,50,2019.12.08,2019.12.14,44,다시 만날까 봐,V.O.S,다시 만날까 봐
44,2019,50,2019.12.08,2019.12.14,45,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼
45,2019,50,2019.12.08,2019.12.14,46,Senorita,"Shawn Mendes, Camila Cabello",Senorita
46,2019,50,2019.12.08,2019.12.14,47,차가워진 이 바람엔 우리가 써있어(Bad Love),HYNN(박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love)
47,2019,50,2019.12.08,2019.12.14,48,Snowman,Sia,Snowman
48,2019,50,2019.12.08,2019.12.14,49,너를 만나,폴킴,너를 만나
49,2019,50,2019.12.08,2019.12.14,50,술이 문제야,"장혜진, 윤민수",술이 문제야
50,2019,50,2019.12.08,2019.12.14,51,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Real
