,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2021,47,2021.11.14,2021.11.20,1,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,,
1,2021,47,2021.11.14,2021.11.20,2,쉬어 (Feat. MINO) (Prod. GRAY),"아넌딜라이트(Anandelight) , unofficialboyy , BE′O (비오) , 지구인 , Mudd the student",쇼미더머니 10 Episode 1,,
2,2021,47,2021.11.14,2021.11.20,3,strawberry moon,아이유 (IU),strawberry moon,,
3,2021,47,2021.11.14,2021.11.20,4,Wake Up (Prod. 코드 쿤스트),"개코 , Ourealgoat (아우릴고트) , SINCE , 안병웅 , Tabber , 조광일",쇼미더머니 10 Episode 1,,
4,2021,47,2021.11.14,2021.11.20,5,Savage,aespa,Savage - The 1st Mini Album,,
5,2021,47,2021.11.14,2021.11.20,6,신호등,이무진,신호등,,
6,2021,47,2021.11.14,2021.11.20,7,Stay,"The Kid LAROI, Justin Bieber",Stay,,
7,2021,47,2021.11.14,2021.11.20,8,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),,
8,2021,47,2021.11.14,2021.11.20,9,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,,
9,2021,47,2021.11.14,2021.11.20,10,Next Level,aespa,Next Level,,
10,2021,47,2021.11.14,2021.11.20,11,TROUBLE (Prod. Slom),"Don Mills , Northfacegawd , sokodomo , Khakii (카키) , A-Chess (에이체스)",쇼미더머니 10 Episode 1,,
11,2021,47,2021.11.14,2021.11.20,12,너와 나의 Memories,"염따 (YumDDa), TOIL, 쿤타, 베이식 (Basick), 365LIT, 황지상 (HWANG JI SANG), 송민영",쇼미더머니 10 Episode 1,,
12,2021,47,2021.11.14,2021.11.20,13,너를 생각해,주시크 (Joosiq),너를 생각해,,
13,2021,47,2021.11.14,2021.11.20,14,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO(파테코)",OHAYO MY NIGHT,,
14,2021,47,2021.11.14,2021.11.20,15,My Universe,"Coldplay, 방탄소년단",My Universe,,
15,2021,47,2021.11.14,2021.11.20,16,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,,
16,2021,47,2021.11.14,2021.11.20,17,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,,
17,2021,47,2021.11.14,2021.11.20,18,Permission to Dance,방탄소년단,Butter / Permission to Dance,,
18,2021,47,2021.11.14,2021.11.20,19,Weekend,태연 (TAEYEON),Weekend,,
19,2021,47,2021.11.14,2021.11.20,20,Butter,방탄소년단,Butter,,
20,2021,47,2021.11.14,2021.11.20,21,Bad Habits,Ed Sheeran,Bad Habits,,
21,2021,47,2021.11.14,2021.11.20,22,가시 (Prod. 코드 쿤스트),"조광일, 개코, 저스디스 (JUSTHIS)",쇼미더머니 10 Episode 2,,
