year,week_num,start_date,end_date,rank,music,singer,album
2014,49,2014.11.30,2014.12.06,1,HAPPY TOGETHER,박효신,HAPPY TOGETHER
2014,49,2014.11.30,2014.12.06,2,LUV,에이핑크 (Apink),Pink LUV
2014,49,2014.11.30,2014.12.06,3,시간아 천천히,이진아,K팝 스타 시즌4 `시간아 천천히`
2014,49,2014.11.30,2014.12.06,4,세 사람 (With 성시경),토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,5,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),The 1st Mini Album `광화문에서 (At Gwanghwamun)`
2014,49,2014.11.30,2014.12.06,6,GOOD BOY,GD X TAEYANG,GOOD BOY
2014,49,2014.11.30,2014.12.06,7,위아래,EXID,위아래
2014,50,2014.12.07,2014.12.13,1,잊지 말기로 해,"성시경, 권진아",Winter Wonderland
2014,49,2014.11.30,2014.12.06,8,"이리와봐 (Feat. Dok2, BOBBY)",MASTA WU,이리와봐
2014,50,2014.12.07,2014.12.13,2,LUV,에이핑크 (Apink),Pink LUV
2014,49,2014.11.30,2014.12.06,9,GOOD BOY,GD X TAEYANG,GOOD BOY
2014,50,2014.12.07,2014.12.13,3,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),The 1st Mini Album `광화문에서 (At Gwanghwamun)`
2014,49,2014.11.30,2014.12.06,10,사뿐사뿐 (Like a Cat),AOA,사뿐사뿐
2014,50,2014.12.07,2014.12.13,4,HAPPY TOGETHER,박효신,HAPPY TOGETHER
2014,49,2014.11.30,2014.12.06,11,나는 달라 (Feat. BOBBY),HI SUHYUN,나는 달라
2014,50,2014.12.07,2014.12.13,5,위아래,EXID,위아래
2014,49,2014.11.30,2014.12.06,12,시간아 천천히,이진아,K팝 스타 시즌4 `시간아 천천히`
2014,50,2014.12.07,2014.12.13,6,세 사람 (With 성시경),토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,13,지워 (Feat. 아이언),"효린, 주영",지워
2014,50,2014.12.07,2014.12.13,7,니가 모르게 (You Don`t Know),로꼬 (LOCO),LOCOMOTIVE
2014,49,2014.11.30,2014.12.06,14,엄마로 산다는 것은,이설아,K팝 스타 시즌4 `엄마로 산다는 것은`
2014,51,2014.12.14,2014.12.20,1,사랑에 빠지고 싶다,정승환,K팝 스타 시즌4 `사랑에 빠지고 싶다`
2014,50,2014.12.07,2014.12.13,8,Problem (Feat. Iggy Azalea),Ariana Grande,Problem
2014,49,2014.11.30,2014.12.06,15,니가 모르게 (You Don`t Know),로꼬 (LOCO),LOCOMOTIVE
2014,51,2014.12.14,2014.12.20,2,Angel,"윤미래, 타이거JK, 비지",Angel
2014,50,2014.12.07,2014.12.13,9,GOOD BOY,GD X TAEYANG,GOOD BOY
2014,49,2014.11.30,2014.12.06,16,나는 달라 (Feat. BOBBY),HI SUHYUN,나는 달라
2014,51,2014.12.14,2014.12.20,3,LUV,에이핑크 (Apink),Pink LUV
2014,50,2014.12.07,2014.12.13,10,Love Is You,"케이윌(K.will), 씨스타, 정기고(Junggigo), 매드 클라운(Mad Clown), 보이프렌드, 주영",Starship Planet 2014 (스타쉽플래닛)
2014,49,2014.11.30,2014.12.06,17,사랑에 빠지고 싶다,김조한,사랑에 빠지고 싶다
2014,51,2014.12.14,2014.12.20,4,잊지 말기로 해,"성시경, 권진아",Winter Wonderland
2014,50,2014.12.07,2014.12.13,11,세 사람 (With 성시경),토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,18,지워 (Feat. 아이언),"효린, 주영",지워
2014,51,2014.12.14,2014.12.20,5,위아래,EXID,위아래
2014,50,2014.12.07,2014.12.13,12,HAPPY TOGETHER,박효신,HAPPY TOGETHER
2014,49,2014.11.30,2014.12.06,19,Winter Wonderland,성시경,Winter Wonderland
2014,51,2014.12.14,2014.12.20,6,싱숭생숭 (SsSs),"다이나믹 듀오 (Dynamic Duo), 박정현",싱숭생숭 (SsSs)
2014,50,2014.12.07,2014.12.13,13,사뿐사뿐 (Like a Cat),AOA,사뿐사뿐
2014,49,2014.11.30,2014.12.06,20,시간아 천천히,이진아,K팝 스타 시즌4 `시간아 천천히`
2014,52,2014.12.21,2014.12.27,1,사랑에 빠지고 싶다,정승환,K팝 스타 시즌4 `사랑에 빠지고 싶다`
2014,51,2014.12.14,2014.12.20,7,잊지 말기로 해,"성시경, 권진아",Winter Wonderland
2014,50,2014.12.07,2014.12.13,14,HAPPY TOGETHER,박효신,HAPPY TOGETHER
2014,49,2014.11.30,2014.12.06,21,시간아 천천히,이진아,K팝 스타 시즌4 `시간아 천천히`
2014,52,2014.12.21,2014.12.27,2,마음대로,이진아,K팝 스타 시즌4 `마음대로`
2014,51,2014.12.14,2014.12.20,8,GOOD BOY,GD X TAEYANG,GOOD BOY
2014,50,2014.12.07,2014.12.13,15,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX)",Jelly Christmas 2012 Heart Project
2014,49,2014.11.30,2014.12.06,22,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Real
2014,52,2014.12.21,2014.12.27,3,LUV,에이핑크 (Apink),Pink LUV
2014,51,2014.12.14,2014.12.20,9,청춘연가,넬 (Nell),청춘연가
2014,50,2014.12.07,2014.12.13,16,하나뿐인 사람,케이윌 (K.will),피노키오 OST Part 5
2014,49,2014.11.30,2014.12.06,23,사랑에 빠지고 싶다,김조한,사랑에 빠지고 싶다
2014,52,2014.12.21,2014.12.27,4,Angel,"윤미래, 타이거JK, 비지",Angel
2014,51,2014.12.14,2014.12.20,10,Problem (Feat. Iggy Azalea),Ariana Grande,Problem
2014,50,2014.12.07,2014.12.13,17,니가 모르게 (You Don`t Know),로꼬 (LOCO),LOCOMOTIVE
2014,49,2014.11.30,2014.12.06,24,12시 30분,비스트 (Beast),Time
2014,52,2014.12.21,2014.12.27,5,위아래,EXID,위아래
2014,51,2014.12.14,2014.12.20,11,싱숭생숭 (SsSs),"다이나믹 듀오 (Dynamic Duo), 박정현",싱숭생숭 (SsSs)
2014,50,2014.12.07,2014.12.13,18,나는 달라 (Feat. BOBBY),HI SUHYUN,나는 달라
2014,49,2014.11.30,2014.12.06,25,쓰담쓰담,10cm,3.0
2014,47,2014.11.16,2014.11.22,1,나는 달라 (Feat. BOBBY),HI SUHYUN,나는 달라
2014,47,2014.11.16,2014.11.22,2,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),The 1st Mini Album `광화문에서 (At Gwanghwamun)`
2014,47,2014.11.16,2014.11.22,3,내가 그리웠니 (Feat. 진실 of Mad Soul Child),MC몽,MISS ME OR DISS ME
2014,47,2014.11.16,2014.11.22,4,내 생애 가장 행복한 시간 (Feat. 허각),MC몽,MISS ME OR DISS ME
2014,47,2014.11.16,2014.11.22,5,사뿐사뿐 (Like a Cat),AOA,사뿐사뿐
2014,47,2014.11.16,2014.11.22,6,죽을만큼 아파서 Part 2 (Feat. 스웨덴세탁소),MC몽,MISS ME OR DISS ME
2014,47,2014.11.16,2014.11.22,7,12시 30분,비스트 (Beast),Time
2014,48,2014.11.23,2014.11.29,1,세 사람 (With 성시경),토이 (Toy),Da Capo
2014,48,2014.11.23,2014.11.29,2,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),The 1st Mini Album `광화문에서 (At Gwanghwamun)`
2014,48,2014.11.23,2014.11.29,3,U & I (With Crush & 빈지노),토이 (Toy),Da Capo
2014,48,2014.11.23,2014.11.29,4,나는 달라 (Feat. BOBBY),HI SUHYUN,나는 달라
2014,48,2014.11.23,2014.11.29,5,GOOD BOY,GD X TAEYANG,GOOD BOY
2014,48,2014.11.23,2014.11.29,6,인생은 아름다워 (With 다이나믹듀오 & Zion. T & Crush),토이 (Toy),Da Capo
2014,48,2014.11.23,2014.11.29,7,사뿐사뿐 (Like a Cat),AOA,사뿐사뿐
2014,48,2014.11.23,2014.11.29,8,너의 바다에 머무네 (With 김동률),토이 (Toy),Da Capo
2014,48,2014.11.23,2014.11.29,9,"Goodbye sun, Goodbye moon (With 이수현 of 악동뮤지션)",토이 (Toy),Da Capo
2014,48,2014.11.23,2014.11.29,10,그녀가 말했다 (With 권진아),토이 (Toy),Da Capo
2014,48,2014.11.23,2014.11.29,11,Reset (With 이적),토이 (Toy),Da Capo
2014,48,2014.11.23,2014.11.29,12,쓰담쓰담,10cm,3.0
2014,48,2014.11.23,2014.11.29,13,내가 그리웠니 (Feat. 진실 of Mad Soul Child),MC몽,MISS ME OR DISS ME
2014,48,2014.11.23,2014.11.29,14,지워 (Feat. 아이언),"효린, 주영",지워
2014,48,2014.11.23,2014.11.29,15,내 생애 가장 행복한 시간 (Feat. 허각),MC몽,MISS ME OR DISS ME
2014,48,2014.11.23,2014.11.29,16,피아니시모 (With 김예림),토이 (Toy),Da Capo
2014,48,2014.11.23,2014.11.29,17,12시 30분,비스트 (Beast),Time
2014,48,2014.11.23,2014.11.29,18,헤픈엔딩 (Feat. 조원선 of 롤러코스터),에픽하이 (EPIK HIGH),신발장
2014,48,2014.11.23,2014.11.29,19,그리워라,10cm,3.0
2014,48,2014.11.23,2014.11.29,20,우리,토이 (Toy),Da Capo
2014,48,2014.11.23,2014.11.29,21,죽을만큼 아파서 Part 2 (Feat. 스웨덴세탁소),MC몽,MISS ME OR DISS ME
2014,48,2014.11.23,2014.11.29,22,취한 밤,토이 (Toy),Da Capo
2014,48,2014.11.23,2014.11.29,23,언제쯤이면 (Duet.아이유),윤현상,피아노포르테 (Pianoforte)
2014,48,2014.11.23,2014.11.29,24,언제나 타인 (With 선우정아),토이 (Toy),Da Capo
2014,48,2014.11.23,2014.11.29,25,하지하지마,GOT7,Identify
2014,48,2014.11.23,2014.11.29,26,도망가자 (Feat. 린),MC몽,MISS ME OR DISS ME
2014,48,2014.11.23,2014.11.29,27,마음 단단히 먹어 (Feat. 에일리),MC몽,MISS ME OR DISS ME
2014,48,2014.11.23,2014.11.29,28,산다는 건 (Cheer Up),홍진영,인생노트 (LIFE NOTE)
2014,48,2014.11.23,2014.11.29,29,"집 밥 (Feat. 긱스, 이희선여사)",김범수,HIM
2014,48,2014.11.23,2014.11.29,30,아무도 모른다 (Inst.),토이 (Toy),Da Capo
