year,week_num,start_date,end_date,rank,music,singer,album
2021,01,2020.12.27,2021.01.02,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1
2021,01,2020.12.27,2021.01.02,2,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
2021,01,2020.12.27,2021.01.02,3,Dynamite,방탄소년단,Dynamite
2021,01,2020.12.27,2021.01.02,4,잠이 오질 않네요,장범준,잠이 오질 않네요
2021,01,2020.12.27,2021.01.02,5,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3
2021,01,2020.12.27,2021.01.02,6,Lovesick Girls,BLACKPINK,THE ALBUM
2021,01,2020.12.27,2021.01.02,7,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
2021,01,2020.12.27,2021.01.02,8,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들) OST
2021,01,2020.12.27,2021.01.02,9,Life Goes On,방탄소년단,BE
2021,01,2020.12.27,2021.01.02,10,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),쇼미더머니 9 Final
2021,01,2020.12.27,2021.01.02,11,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
2021,01,2020.12.27,2021.01.02,12,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI),쇼미더머니 9 Final
2021,01,2020.12.27,2021.01.02,13,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래
2021,01,2020.12.27,2021.01.02,14,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS",Savage Love (Laxed - Siren Beat) (BTS Remix)
2021,01,2020.12.27,2021.01.02,15,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (Mirani),쇼미더머니 9 Episode 3
2021,01,2020.12.27,2021.01.02,16,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST
2021,02,2021.01.03,2021.01.09,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1
2021,01,2020.12.27,2021.01.02,17,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
2021,02,2021.01.03,2021.01.09,2,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
2021,01,2020.12.27,2021.01.02,18,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (Mirani),쇼미더머니 9 Episode 3
2021,02,2021.01.03,2021.01.09,3,Dynamite,방탄소년단,Dynamite
2021,01,2020.12.27,2021.01.02,19,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),에잇
2021,02,2021.01.03,2021.01.09,4,잠이 오질 않네요,장범준,잠이 오질 않네요
2021,01,2020.12.27,2021.01.02,20,When We Disco (Duet with 선미),박진영,When We Disco
2021,02,2021.01.03,2021.01.09,5,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3
2021,01,2020.12.27,2021.01.02,21,혼술하고 싶은 밤,벤 (Ben),혼술하고 싶은 밤
2021,02,2021.01.03,2021.01.09,6,Lovesick Girls,BLACKPINK,THE ALBUM
2021,01,2020.12.27,2021.01.02,22,Freak (Prod. Slom),"릴보이 (lIlBOI) , 원슈타인 (Wonstein) , Chillin Homie , 스카이민혁 (Skyminhyuk)",쇼미더머니 9 Episode 1
2021,02,2021.01.03,2021.01.09,7,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
2021,01,2020.12.27,2021.01.02,23,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
2021,02,2021.01.03,2021.01.09,8,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들) OST
2021,01,2020.12.27,2021.01.02,24,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga)
2021,02,2021.01.03,2021.01.09,9,Life Goes On,방탄소년단,BE
2021,01,2020.12.27,2021.01.02,25,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
2021,02,2021.01.03,2021.01.09,10,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),쇼미더머니 9 Final
2021,03,2021.01.10,2021.01.16,1,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
2021,01,2020.12.27,2021.01.02,26,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
2021,02,2021.01.03,2021.01.09,11,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),쇼미더머니 9 Final
2021,03,2021.01.10,2021.01.16,2,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1
2021,01,2020.12.27,2021.01.02,27,딩가딩가 (Dingga),마마무 (Mamamoo),딩가딩가 (Dingga)
2021,02,2021.01.03,2021.01.09,12,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래
2021,03,2021.01.10,2021.01.16,3,Dynamite,방탄소년단,Dynamite
2021,01,2020.12.27,2021.01.02,28,How You Like That,BLACKPINK,How You Like That
2021,02,2021.01.03,2021.01.09,13,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, BTS",Savage Love (Laxed - Siren Beat) (BTS Remix)
2021,03,2021.01.10,2021.01.16,4,화(火花),(여자)아이들,I burn
2021,01,2020.12.27,2021.01.02,29,Freak (Prod. Slom),"릴보이 (lIlBOI) , 원슈타인 (Wonstein) , Chillin Homie , 스카이민혁 (Skyminhyuk)",쇼미더머니 9 Episode 1
2021,02,2021.01.03,2021.01.09,14,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST
2021,03,2021.01.10,2021.01.16,5,잠이 오질 않네요,장범준,잠이 오질 않네요
2021,01,2020.12.27,2021.01.02,30,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda,쇼미더머니 9 Episode 3
2021,02,2021.01.03,2021.01.09,15,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST
2021,03,2021.01.10,2021.01.16,6,Lovesick Girls,BLACKPINK,THE ALBUM
2021,01,2020.12.27,2021.01.02,31,METEOR,창모 (CHANGMO),Boyhood
2021,02,2021.01.03,2021.01.09,16,에잇 (Prod.&Feat. SUGA of BTS),아이유 (IU),에잇
2021,03,2021.01.10,2021.01.16,7,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들) OST
2021,01,2020.12.27,2021.01.02,32,나로 바꾸자 (duet with JYP),비 (Rain),나로 바꾸자 (duet with JYP)
2021,02,2021.01.03,2021.01.09,17,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
2021,04,2021.01.17,2021.01.23,1,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
2021,03,2021.01.10,2021.01.16,8,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
2021,01,2020.12.27,2021.01.02,33,어떻게 지내,오반 (OVAN),어떻게 지내
2021,02,2021.01.03,2021.01.09,18,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
2021,04,2021.01.17,2021.01.23,2,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM)",쇼미더머니 9 Episode 1
2021,03,2021.01.10,2021.01.16,9,Life Goes On,방탄소년단,BE
2021,01,2020.12.27,2021.01.02,34,사실 나는 (Feat.전건호),경서예지,사실 나는
2021,02,2021.01.03,2021.01.09,19,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),쇼미더머니 9 Final
2021,04,2021.01.17,2021.01.23,3,Dynamite,방탄소년단,Dynamite
2021,03,2021.01.10,2021.01.16,10,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),쇼미더머니 9 Episode 3
2021,01,2020.12.27,2021.01.02,35,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI),쇼미더머니 9 Final
2021,02,2021.01.03,2021.01.09,20,혼술하고 싶은 밤,벤 (Ben),혼술하고 싶은 밤
2021,04,2021.01.17,2021.01.23,4,잠이 오질 않네요,장범준,잠이 오질 않네요
