,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
0,2023,15,2023.04.09,2023.04.15,1,Kitsch,IVE (아이브),Kitsch,,
1,2023,15,2023.04.09,2023.04.15,2,I AM,IVE (아이브),I`ve IVE,,
2,2023,15,2023.04.09,2023.04.15,3,꽃,지수 (JISOO),ME,,
3,2023,15,2023.04.09,2023.04.15,4,Ditto,NewJeans,NewJeans `OMG`,,
4,2023,15,2023.04.09,2023.04.15,5,Hype boy,NewJeans,NewJeans 1st EP `New Jeans`,,
5,2023,15,2023.04.09,2023.04.15,6,OMG,NewJeans,NewJeans `OMG`,,
6,2023,15,2023.04.09,2023.04.15,7,Teddy Bear,STAYC(스테이씨),Teddy Bear,,
7,2023,15,2023.04.09,2023.04.15,8,사건의 지평선,윤하,YOUNHA 6th Album Repackage `END THEORY : Final Edition`,,
8,2023,15,2023.04.09,2023.04.15,9,London Boy,임영웅,Polaroid,,
9,2023,15,2023.04.09,2023.04.15,10,Polaroid,임영웅,Polaroid,,
10,2023,15,2023.04.09,2023.04.15,11,Like Crazy,지민,FACE,,
11,2023,15,2023.04.09,2023.04.15,12,Love Me Like This,NMIXX,expergo,,
12,2023,15,2023.04.09,2023.04.15,13,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1,,
13,2023,15,2023.04.09,2023.04.15,14,사람 Pt.2 (feat. 아이유),Agust D,사람 Pt.2,,
14,2023,15,2023.04.09,2023.04.15,15,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album `SECOND WIND`,,
15,2023,15,2023.04.09,2023.04.15,16,Attention,NewJeans,NewJeans 1st EP `New Jeans`,,
16,2023,15,2023.04.09,2023.04.15,17,심(心),DK,심(心),,
17,2023,15,2023.04.09,2023.04.15,18,After LIKE,IVE (아이브),After LIKE,,
18,2023,15,2023.04.09,2023.04.15,19,밤이 무서워요 (Lonely Night),주주 시크릿,밤이 무서워요 (Lonely Night),,
19,2023,15,2023.04.09,2023.04.15,20,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE,,
20,2023,15,2023.04.09,2023.04.15,21,Zero,NewJeans,Zero,,
21,2023,15,2023.04.09,2023.04.15,22,I Don`t Think That I Like Her,Charlie Puth,CHARLIE,,
22,2023,15,2023.04.09,2023.04.15,23,NIGHT DANCER,imase,NIGHT DANCER,,
23,2023,15,2023.04.09,2023.04.15,24,LOVE DIVE,IVE (아이브),LOVE DIVE,,
24,2023,15,2023.04.09,2023.04.15,25,Nostalgia,우디 (Woody),Nostalgia,,
25,2023,15,2023.04.09,2023.04.15,26,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY,H1-KEY 1st Mini Album [Rose Blossom],,
26,2023,15,2023.04.09,2023.04.15,27,Dangerously,Charlie Puth,Nine Track Mind (Deluxe),,
27,2023,15,2023.04.09,2023.04.15,28,사랑인가 봐,멜로망스(Melomance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),,
28,2023,15,2023.04.09,2023.04.15,29,너를 보는게 지친 하루에,송하예,너를 보는게 지친 하루에,,
29,2023,15,2023.04.09,2023.04.15,30,사랑하기 싫어,지아 (Zia),사랑하기 싫어,,
30,2023,15,2023.04.09,2023.04.15,31,너의 모든 순간,성시경,별에서 온 그대 OST Part 7,,
31,2023,15,2023.04.09,2023.04.15,32,Cupid,FIFTY FIFTY,The Beginning: Cupid,,
32,2023,15,2023.04.09,2023.04.15,33,Candy,NCT DREAM,Candy - Winter Special Mini Album,,
33,2023,15,2023.04.09,2023.04.15,34,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,,
34,2023,15,2023.04.09,2023.04.15,35,Set Me Free Pt.2,지민,Set Me Free Pt.2,,
35,2023,15,2023.04.09,2023.04.15,36,That`s Hilarious,Charlie Puth,That`s Hilarious,,
36,2023,15,2023.04.09,2023.04.15,37,Monologue,테이 (Tei),Monologue,,
37,2023,15,2023.04.09,2023.04.15,38,Nxde,(여자)아이들,I love,,
38,2023,15,2023.04.09,2023.04.15,39,Stay,"The Kid LAROI, Justin Bieber",Stay,,
39,2023,15,2023.04.09,2023.04.15,40,결국엔 너에게 닿아서,WSG워너비 (가야G),결국엔 너에게 닿아서,,
40,2023,15,2023.04.09,2023.04.15,41,Say I Love You,우디(Woody),Say I Love You (Re : WIND 4MEN Vol.04),,
41,2023,15,2023.04.09,2023.04.15,42,VIBE (feat. Jimin of BTS),태양,VIBE,,
42,2023,15,2023.04.09,2023.04.15,43,취중고백,김민석,취중고백,,
43,2023,15,2023.04.09,2023.04.15,44,그라데이션,10cm,5.3,,
44,2023,15,2023.04.09,2023.04.15,45,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),,
45,2023,15,2023.04.09,2023.04.15,46,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자,,
46,2023,15,2023.04.09,2023.04.15,47,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS,,
47,2023,15,2023.04.09,2023.04.15,48,오르트구름,윤하,YOUNHA 6th Album `END THEORY`,,
48,2023,15,2023.04.09,2023.04.15,49,해요 (2022),#안녕,해요 (2022),,
49,2023,15,2023.04.09,2023.04.15,50,"Young, Dumb, Stupid",NMIXX,expergo,,
50,2023,15,2023.04.09,2023.04.15,51,Cookie,NewJeans,NewJeans 1st EP `New Jeans`,,
51,2023,15,2023.04.09,2023.04.15,52,Shut Down,BLACKPINK,BORN PINK,,
52,2023,15,2023.04.09,2023.04.15,53,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear,,
53,2023,15,2023.04.09,2023.04.15,54,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),,
54,2023,15,2023.04.09,2023.04.15,55,내가 아니라도,주호,내가 아니라도,,
55,2023,15,2023.04.09,2023.04.15,56,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집,,
56,2023,15,2023.04.09,2023.04.15,57,ELEVEN,IVE (아이브),ELEVEN,,
57,2023,15,2023.04.09,2023.04.15,58,Say My Name,Say Yes!,BOYS PLANET - ARTIST BATTLE,,
58,2023,15,2023.04.09,2023.04.15,59,TOMBOY,(여자)아이들,I NEVER DIE,,
59,2023,15,2023.04.09,2023.04.15,60,Unholy,"Sam Smith, Kim Petras",Unholy,,
60,2023,15,2023.04.09,2023.04.15,61,Blue Blood,IVE (아이브),I`ve IVE,,
61,2023,15,2023.04.09,2023.04.15,62,나비무덤,포맨 (4MEN),나비무덤,,
62,2023,15,2023.04.09,2023.04.15,63,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,That’s Not How This Works,,
63,2023,15,2023.04.09,2023.04.15,64,Pink Venom,BLACKPINK,Pink Venom,,
64,2023,15,2023.04.09,2023.04.15,65,나의 X에게,경서,나의 X에게,,
65,2023,15,2023.04.09,2023.04.15,66,되돌리다,먼데이 키즈 (Monday Kiz),되돌리다,,
66,2023,15,2023.04.09,2023.04.15,67,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part 3,,
67,2023,15,2023.04.09,2023.04.15,68,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어,,
68,2023,15,2023.04.09,2023.04.15,69,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),호프리스 로맨틱,,
69,2023,15,2023.04.09,2023.04.15,70,봄 사랑 벚꽃 말고,"HIGH4, 아이유 (IU)",봄 사랑 벚꽃 말고,,
70,2023,15,2023.04.09,2023.04.15,71,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3,,
71,2023,15,2023.04.09,2023.04.15,72,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),Rush Hour,,
