Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","20,957,089","Stone Music Entertainment
지니뮤직",,
2,-,"밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","19,752,363","꿈의엔진
Kakao Entertainment",,
3,-,"

Dynamite
방탄소년단 | Dynamite","17,975,278","BIGHIT MUSIC / HYBE
Dreamus",,
4,-,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","15,961,908","버스커버스커
Kakao Entertainment",,
5,-,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))
릴보이 (lIlBOI) | 쇼미더머니 9 Episode 3","14,030,843","Stone Music Entertainment
지니뮤직",,
6,-,"

Lovesick Girls
BLACKPINK | THE ALBUM","13,956,829","YG Entertainment
YG PLUS",,
7,-,"

힘든 건 사랑이 아니다
임창정 | 힘든 건 사랑이 아니다","13,668,937","예스아이엠엔터테인먼트
인터파크",,
8,-,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","13,597,782","TOON STUDIO
Kakao Entertainment",,
9,-,"

Life Goes On
방탄소년단 | BE","13,225,054","BIGHIT MUSIC / HYBE
Dreamus",,
10,-,"CREDIT (Feat. 염따, 기리보이, Zion.T)
릴보이 (lIlBOI) | 쇼미더머니 9 Final","12,036,911","Stone Music Entertainment
지니뮤직",,
11,2,"

오래된 노래
스탠딩 에그(Standing Egg) | 오래된 노래","10,750,844","BORN
Kakao Entertainment",,
12,2,"Savage Love (Laxed - Siren Beat) (BTS Remix)
Jawsh 685, Jason Derulo, BTS | Savage Love (Laxed - Siren Beat) (BTS Remix)","10,694,684","Columbia
Sony Music",,
13,3,"

내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
규현 (KYUHYUN) | 내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST","10,478,074","TOON STUDIO, 느을
Kakao Entertainment",,
14,4,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","10,167,675","TOON STUDIO, 느을
Kakao Entertainment",,
15,76,"

나로 바꾸자 (duet with JYP)
비 (Rain) | 나로 바꾸자 (duet with JYP)","9,957,851","써브라임 아티스트 에이전시, JYP엔터테인먼트
Kakao Entertainment",,
16,4,"ON AIR (Feat. 로꼬, 박재범 & GRAY)
릴보이 (lIlBOI) | 쇼미더머니 9 Final","9,923,162","Stone Music Entertainment
지니뮤직",,
17,-,"

어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
AKMU (악뮤) | 항해","9,902,255","YG Entertainment
YG PLUS",,
18,3,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)
미란이 (Mirani) | 쇼미더머니 9 Episode 3","9,887,585","Stone Music Entertainment
지니뮤직",,
19,-,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","9,542,325","EDAM엔터테인먼트
Kakao Entertainment",,
20,-,"

When We Disco (Duet with 선미)
박진영 | When We Disco","9,428,572","JYP Entertainment
Dreamus",,
21,6,"

혼술하고 싶은 밤
벤 (Ben) | 혼술하고 싶은 밤","9,395,208","메이저나인
지니뮤직",,
22,1,"Freak (Prod. Slom)
릴보이 (lIlBOI) , 원슈타인 (Wonstein) , Chillin Homie , 스카이민혁 (Skyminhyuk) | 쇼미더머니 9 Episode 1","8,867,985","Stone Music Entertainment
지니뮤직",,
23,7,"

늦은 밤 너의 집 앞 골목길에서
노을 | 늦은 밤 너의 집 앞 골목길에서","8,735,170","씨제스엔터테인먼트
Kakao Entertainment",,
24,1,"

딩가딩가 (Dingga)
마마무 (Mamamoo) | 딩가딩가 (Dingga)","8,723,176","RBW
Kakao Entertainment",,
25,1,"흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
장범준 | 멜로가 체질 OST Part 3","8,705,948","Stone Music Entertainment, 삼화네트웍스
지니뮤직, Stone Music Entertainment",,
26,2,"모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","8,698,164","SM Entertainment
Dreamus",,
27,4,"뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom)
Khundi Panda | 쇼미더머니 9 Episode 3","8,525,568","Stone Music Entertainment
지니뮤직",,
28,7,"

Blueming
아이유 (IU) | Love poem","8,256,152","Kakao Entertainment
Kakao Entertainment",,
29,3,"

Dolphin
오마이걸 (OH MY GIRL) | NONSTOP","8,218,428","WM엔터테인먼트
Sony Music",,
30,1,"What Do I Call You
태연 (TAEYEON) | What Do I Call You - The 4th Mini Album","8,171,853","SM Entertainment
Dreamus",,
