Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

사건의 지평선
윤하 | YOUNHA 6th Album Repackage `END THEORY : Final Edition`","26,832,146","C9엔터테인먼트
Kakao Entertainment",,
2,-,"

Hype boy
NewJeans | NewJeans 1st EP `New Jeans`","18,528,844","ADOR
YG PLUS",,
3,1,"

ANTIFRAGILE
LE SSERAFIM (르세라핌) | ANTIFRAGILE","16,689,796","쏘스뮤직
YG PLUS",,
4,1,"

마이웨이 (MY WAY) (Prod. R.Tee)
저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los | 쇼미더머니 11 Episode 1","15,690,841","Stone Music Entertainment
지니뮤직",,
5,-,"

After LIKE
IVE (아이브) | After LIKE","14,933,480","스타쉽엔터테인먼트
Kakao Entertainment",,
6,-,"

Nxde
(여자)아이들 | I love","13,930,852","큐브엔터테인먼트
Kakao Entertainment",,
7,new,"

Candy
NCT DREAM | Candy - Winter Special Mini Album","13,772,116","SM Entertainment
Dreamus",,
8,1,"

새삥 (Prod. ZICO) (Feat. 호미들)
지코 (ZICO) | 스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)","13,361,255","Stone Music Entertainment
지니뮤직",,
9,2,"

Attention
NewJeans | NewJeans 1st EP `New Jeans`","12,806,946","ADOR
YG PLUS",,
10,2,"

London Boy
임영웅 | Polaroid","12,764,574","물고기뮤직
Dreamus",,
11,4,"

Dreamers (Feat. FIFA Sound)
정국, 방탄소년단 | Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","12,663,661","Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
FUGA",,
12,2,"

Polaroid
임영웅 | Polaroid","12,258,047","물고기뮤직
Dreamus",,
13,1,"

LOVE DIVE
IVE (아이브) | LOVE DIVE","11,532,138","스타쉽엔터테인먼트
Kakao Entertainment",,
14,6,"

All I Want For Christmas Is You
Mariah Carey | Merry Christmas (Deluxe Anniversary Edition)","11,025,510","Columbia/Legacy
Sony Music",,
15,1,"

Monologue
테이 (Tei) | Monologue","10,973,224","방구석 캐스팅
Kakao Entertainment",,
16,5,"

Snowman
Sia | Snowman","10,813,153","Monkey Puzzle, Atlantic
Warner Music",,
17,7,"

Santa Tell Me
Ariana Grande | Santa Tell Me","10,318,072","Republic Records, a division of UMG Recordings,Inc
Universal Music",,
18,5,"

WHEN I MOVE
카라 (KARA) | MOVE AGAIN","10,215,002","RBW
Dreamus",,
19,3,"

Rush Hour (Feat. j-hope of BTS)
크러쉬 (CRUSH) | Rush Hour","9,598,475","피네이션
Dreamus",,
20,3,"

Shut Down
BLACKPINK | BORN PINK","9,283,422","YG Entertainment
YG PLUS",,
21,6,"

위하여 (We Higher) (Prod. GroovyRoom)
그루비룸 (GroovyRoom), 릴보이 (lIlBOI), Blase (블라세), 노윤하, Polodared, Chillin Homie, Fleeky Bang | 쇼미더머니 11 Episode 1","8,803,048","Stone Music Entertainment
지니뮤직",,
22,4,"

너의 모든 순간
성시경 | 별에서 온 그대 OST Part 7","8,444,502","SBS 콘텐츠허브
Kakao Entertainment",,
23,5,"

Pink Venom
BLACKPINK | Pink Venom","8,374,563","YG Entertainment
YG PLUS",,
24,17,"

잘가요
주호 | 잘가요","8,222,801","레이벡스
Warner Music",,
25,2,"

사랑은 늘 도망가
임영웅 | 신사와 아가씨 OST Part.2","8,176,459","모스트콘텐츠
NHN벅스",,
26,1,"

해요 (2022)
#안녕 | 해요 (2022)","8,162,076","일팔 프로젝트
지니뮤직",,
27,5,"

딱 10CM만
10cm, BIG Naughty (서동현) | 딱 10CM만","8,016,766","MAGIC STRAWBERRY SOUND, H1GHR MUSIC RECORDS
Kakao Entertainment",,
28,1,"

FEARLESS
LE SSERAFIM (르세라핌) | FEARLESS","7,847,237","쏘스뮤직
YG PLUS",,
29,1,"

그때 그 순간 그대로 (그그그)
WSG워너비 (가야G) | WSG워너비 1집","7,840,402","MBC
Kakao Entertainment",,
30,3,"

자격지심 (Feat. ZICO)
BE`O (비오) | FIVE SENSES","7,759,264","빅플래닛메이드, SWING ENTERTAINMENT, 페임어스 엔터테인먼트
Kakao Entertainment",,
31,1,"

사랑인가 봐
멜로망스(Melomance) | 사랑인가 봐 (사내맞선 OST 스페셜 트랙)","7,633,208","플렉스엠
Kakao Entertainment",,
32,new,"

그 겨울이 잠든 거리에서
경서예지, 전건호 | 그 겨울이 잠든 거리에서 (경서예지 x 전건호)","7,612,748","에버그로우
Kakao Entertainment",,
