Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,81,"

리무진 (Feat. MINO) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Episode 3","39,784,218","Stone Music Entertainment
지니뮤직",,
2,1,"

회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)
sokodomo | 쇼미더머니 10 Episode 2","36,523,333","Stone Music Entertainment
지니뮤직",,
3,88,"

만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL)
베이식(Basick) | 쇼미더머니 10 Episode 3","28,252,821","Stone Music Entertainment
지니뮤직",,
4,2,"

쉬어 (Feat. MINO) (Prod. GRAY)
아넌딜라이트(Anandelight) , unofficialboyy , BE′O (비오) , 지구인 , Mudd the student | 쇼미더머니 10 Episode 1","23,131,411","Stone Music Entertainment
지니뮤직",,
5,2,"

strawberry moon
아이유 (IU) | strawberry moon","20,076,835","EDAM엔터테인먼트
Kakao Entertainment",,
6,2,"

Wake Up (Prod. 코드 쿤스트)
개코 , Ourealgoat (아우릴고트) , SINCE , 안병웅 , Tabber , 조광일 | 쇼미더머니 10 Episode 1","19,883,407","Stone Music Entertainment
지니뮤직",,
7,2,"

Savage
aespa | Savage - The 1st Mini Album","16,942,455","SM Entertainment
Dreamus",,
8,2,"

신호등
이무진 | 신호등","15,665,027","쇼플레이
Kakao Entertainment",,
9,2,"

Stay
The Kid LAROI, Justin Bieber | Stay","15,467,893","Columbia
Sony Music",,
10,2,"

다정히 내 이름을 부르면
경서예지, 전건호 | 다정히 내 이름을 부르면 (경서예지 x 전건호)","14,937,976","에버그로우
Kakao Entertainment",,
11,HOT,"

깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL)
쿤타 (Koonta) | 쇼미더머니 10 Episode 3","14,743,208","Stone Music Entertainment
지니뮤직",,
12,3,"

사랑은 늘 도망가
임영웅 | 신사와 아가씨 OST Part.2","14,278,114","모스트콘텐츠
NHN벅스",,
13,3,"

Next Level
aespa | Next Level","13,396,770","SM Entertainment
Dreamus",,
14,1,"

너를 생각해
주시크 (Joosiq) | 너를 생각해","12,655,222","뮤직레시피
Warner Music",,
15,1,"

OHAYO MY NIGHT
디핵 (D-Hack), PATEKO(파테코) | OHAYO MY NIGHT","12,121,438","NEOKIDZ
YG PLUS",,
16,1,"

My Universe
Coldplay, 방탄소년단 | My Universe","11,797,444","Parlophone UK
Warner Music",,
17,HOT,"

Reset (Feat. 개코, Kid Milli) (Prod. 코드 쿤스트)
SINCE, Tabber | 쇼미더머니 10 Episode 3","11,634,386","Stone Music Entertainment
지니뮤직",,
18,2,"

낙하 (with 아이유)
AKMU (악뮤) | NEXT EPISODE","11,326,135","YG Entertainment
YG PLUS",,
19,7,"

너와 나의 Memories
염따 (YumDDa), TOIL, 쿤타, 베이식 (Basick), 365LIT, 황지상 (HWANG JI SANG), 송민영 | 쇼미더머니 10 Episode 1","11,051,689","Stone Music Entertainment
지니뮤직",,
20,3,"

바라만 본다
MSG워너비(M.O.M) | MSG워너비 1집","10,759,415","유야호
지니뮤직, Stone Music Entertainment",,
21,6,"

문득
BE`O (비오) | Bipolar","10,568,025","페임어스 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
22,2,"

Butter
방탄소년단 | Butter","10,404,025","BIGHIT MUSIC / HYBE
YG PLUS",,
