Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

사건의 지평선
윤하 | YOUNHA 6th Album Repackage `END THEORY : Final Edition`","33,655,946","C9엔터테인먼트
Kakao Entertainment",,
2,3,"

ANTIFRAGILE
LE SSERAFIM (르세라핌) | ANTIFRAGILE","21,646,050","쏘스뮤직
YG PLUS",,
3,1,"

Nxde
(여자)아이들 | I love","20,575,998","큐브엔터테인먼트
Kakao Entertainment",,
4,3,"

Hype boy
NewJeans | NewJeans 1st EP `New Jeans`","19,707,717","ADOR
YG PLUS",,
5,3,"

London Boy
임영웅 | Polaroid","18,939,424","물고기뮤직
Dreamus",,
6,2,"

After LIKE
IVE (아이브) | After LIKE","18,935,220","스타쉽엔터테인먼트
Kakao Entertainment",,
7,1,"

새삥 (Prod. ZICO) (Feat. 호미들)
지코 (ZICO) | 스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)","18,877,773","Stone Music Entertainment
지니뮤직",,
8,5,"

Polaroid
임영웅 | Polaroid","18,430,458","물고기뮤직
Dreamus",,
9,-,"

Rush Hour (Feat. j-hope of BTS)
크러쉬 (CRUSH) | Rush Hour","15,169,065","피네이션
Dreamus",,
10,-,"

Attention
NewJeans | NewJeans 1st EP `New Jeans`","14,992,156","ADOR
YG PLUS",,
11,-,"

Monologue
테이 (Tei) | Monologue","14,478,979","방구석 캐스팅
Kakao Entertainment",,
12,-,"

LOVE DIVE
IVE (아이브) | LOVE DIVE","13,942,303","스타쉽엔터테인먼트
Kakao Entertainment",,
13,-,"

Shut Down
BLACKPINK | BORN PINK","12,994,952","YG Entertainment
YG PLUS",,
14,new,"

Dreamers (Feat. FIFA Sound)
정국, 방탄소년단 | Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","11,670,557","Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
FUGA",,
15,1,"

Pink Venom
BLACKPINK | Pink Venom","11,494,985","YG Entertainment
YG PLUS",,
16,1,"

자격지심 (Feat. ZICO)
BE`O (비오) | FIVE SENSES","11,045,564","빅플래닛메이드, SWING ENTERTAINMENT, 페임어스 엔터테인먼트
Kakao Entertainment",,
17,1,"

딱 10CM만
10cm, BIG Naughty (서동현) | 딱 10CM만","10,559,274","MAGIC STRAWBERRY SOUND, H1GHR MUSIC RECORDS
Kakao Entertainment",,
18,1,"

그때 그 순간 그대로 (그그그)
WSG워너비 (가야G) | WSG워너비 1집","10,031,551","MBC
Kakao Entertainment",,
19,-,"

해요 (2022)
#안녕 | 해요 (2022)","9,707,133","일팔 프로젝트
지니뮤직",,
20,2,"

그라데이션
10cm | 5.3","9,671,794","매직스트로베리사운드
Kakao Entertainment",,
21,-,"

FEARLESS
LE SSERAFIM (르세라핌) | FEARLESS","9,460,479","쏘스뮤직
YG PLUS",,
22,1,"

사랑은 늘 도망가
임영웅 | 신사와 아가씨 OST Part.2","9,446,220","모스트콘텐츠
NHN벅스",,
23,1,"

TOMBOY
(여자)아이들 | I NEVER DIE","9,189,096","큐브엔터테인먼트
Kakao Entertainment",,
24,-,"

사랑인가 봐
멜로망스(Melomance) | 사랑인가 봐 (사내맞선 OST 스페셜 트랙)","9,188,819","플렉스엠
Kakao Entertainment",,
25,1,"

너의 모든 순간
성시경 | 별에서 온 그대 OST Part 7","9,119,343","SBS 콘텐츠허브
Kakao Entertainment",,
26,1,"

나의 X에게
경서 | 나의 X에게","9,031,505","꿈의엔진
Kakao Entertainment",,
27,7,"

우린 그렇게 사랑해서
강민경, 잔나비 | 우린 그렇게 사랑해서","8,914,681","WAKEONE, 페포니뮤직
지니뮤직, Stone Music Entertainment",,
28,-,"

내가 아니라도
주호 | 내가 아니라도","8,889,475","IN A MILLION
Warner Music",,
29,2,"

Cookie
NewJeans | NewJeans 1st EP `New Jeans`","8,796,100","ADOR
YG PLUS",,
30,1,"

정이라고 하자 (Feat. 10CM)
BIG Naughty (서동현) | 정이라고 하자","8,699,162","H1GHR MUSIC
Kakao Entertainment",,
31,-,"

ELEVEN
IVE (아이브) | ELEVEN","8,225,778","스타쉽엔터테인먼트
Kakao Entertainment",,
32,-,"

That`s Hilarious
Charlie Puth | That`s Hilarious","8,189,159","Atlantic Records UK
Warner Music",,
33,3,"

보고싶었어
WSG워너비 (4FIRE) | WSG워너비 1집","8,134,608","MBC
Kakao Entertainment",,
34,1,"

취중고백
김민석 | 취중고백","8,081,109","프로젝트 리본
Warner Music",,
35,1,"

주저하는 연인들을 위해
잔나비 | 전설","7,850,788","페포니 뮤직
Kakao Entertainment",,
36,2,"

첫사랑
백아 | 첫사랑","7,636,402","Baek A
Feel Music",,
37,1,"

다정히 내 이름을 부르면
경서예지, 전건호 | 다정히 내 이름을 부르면 (경서예지 x 전건호)","7,614,083","에버그로우
Kakao Entertainment",,
38,1,"

LOVE me
BE`O (비오) | LOVE me","7,317,491","BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트
Kakao Entertainment",,
39,4,"

FOREVER 1
소녀시대 | FOREVER 1 - The 7th Album","7,234,650","SM Entertainment
Dreamus",,
40,1,"

That That (prod. & feat. SUGA of BTS)
싸이 (Psy) | 싸다9","7,221,479","피네이션
Dreamus",,
41,1,"

떠나보낼 준비해 둘걸 그랬어
임한별 | 떠나보낼 준비해 둘걸 그랬어","7,141,746","오늘의 선곡
Kakao Entertainment",,
42,1,"

내 기쁨은 너가 벤틀리를 끄는 거야
김승민 | PROTOTYPE RESEARCH #0063","6,957,376","뷰티플노이즈
지니뮤직, Stone Music Entertainment",,
43,-,"

도깨비불 (Illusion)
aespa | Girls - The 2nd Mini Album","6,886,941","SM Entertainment
Dreamus",,
44,4,"

고백연습
경서 | 고백연습","6,823,611","꿈의엔진
Kakao Entertainment",,
45,-,"

Stay
The Kid LAROI, Justin Bieber | Stay","6,762,870","Columbia
Sony Music",,
46,1,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","6,742,653","SM Entertainment
Dreamus",,
47,3,"

SNEAKERS
ITZY (있지) | CHECKMATE","6,632,605","JYP Entertainment
Dreamus",,
48,6,"

우리들의 블루스
임영웅 | IM HERO","6,550,509","물고기뮤직
Dreamus",,
49,-,"

Love story
볼빨간사춘기 | Seoul","6,412,473","쇼파르엔터테인먼트
NHN벅스",,
50,1,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","6,385,750","꿈의엔진
Kakao Entertainment",,
51,1,"

새벽에 걸려온 너의 전화는
한동근 | 미련을 말하는","6,352,881","말하는
Kakao Entertainment",,
52,6,"

LAW (Prod. Czaer)
윤미래, 비비(BIBI) | 스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)","6,306,987","Stone Music Entertainment
지니뮤직",,
53,1,"

POP!
나연 (TWICE) | IM NAYEON","6,045,596","JYP Entertainment
Dreamus",,
54,4,"

I Don`t Think That I Like Her
Charlie Puth | CHARLIE","5,937,663","Atlantic Records
Warner Music",,
55,2,"

스티커 사진
21학번 | 스티커 사진","5,937,587","제나두 엔터테인먼트
NHN벅스",,
56,1,"

Feel My Rhythm
레드벨벳(Red Velvet) | `The ReVe Festival 2022 - Feel My Rhythm`","5,842,001","SM Entertainment
Dreamus",,
57,3,"

사랑한다고 말해줘
탑현 | 사랑한다고 말해줘","5,803,371","탑현월드
Kakao Entertainment",,
58,33,"

오르트구름
윤하 | YOUNHA 6th Album `END THEORY`","5,788,201","C9엔터테인먼트
Kakao Entertainment",,
59,3,"

Left and Right (Feat. Jung Kook of BTS)
Charlie Puth, 정국, 방탄소년단 | Left and Right","5,765,295","Atlantic Records
Warner Music",,
60,4,"

드라마
아이유 (IU) | 조각집","5,741,250","EDAM엔터테인먼트
Kakao Entertainment",,
61,4,"

strawberry moon
아이유 (IU) | strawberry moon","5,626,167","EDAM엔터테인먼트
Kakao Entertainment",,
62,1,"

INVU
태연 (TAEYEON) | INVU - The 3rd Album","5,601,721","SM Entertainment
Dreamus",,
63,3,"

봄여름가을겨울 (Still Life)
BIGBANG (빅뱅) | 봄여름가을겨울 (Still Life)","5,522,451","YG Entertainment
YG PLUS",,
64,5,"

다시 만날 수 있을까
임영웅 | IM HERO","5,473,699","물고기뮤직
Dreamus",,
65,2,"

Next Level
aespa | Next Level","5,433,472","SM Entertainment
Dreamus",,
66,-,"

Dynamite
방탄소년단 | Dynamite","5,402,220","BIGHIT MUSIC / HYBE
YG PLUS",,
67,3,"

신호등
이무진 | 신호등","5,286,897","쇼플레이
Kakao Entertainment",,
68,3,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","5,249,901","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
69,6,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","5,084,909","더그루브엔터테인먼트
Kakao Entertainment",,
70,-,"

회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)
sokodomo | 쇼미더머니 10 Episode 2","5,083,481","Stone Music Entertainment
지니뮤직",,
71,new,"

나는 너였다
V.O.S | 나는 너였다","5,031,031","레이벡스
Kakao Entertainment",,
72,2,"

DICE
NMIXX | ENTWURF","5,013,794","JYP Entertainment
Dreamus",,
73,5,"

그래서 그대는
이영현 | 그래서 그대는","4,969,286","방구석 캐스팅
Kakao Entertainment",,
74,3,"

Girls
aespa | Girls - The 2nd Mini Album","4,958,403","SM Entertainment
Dreamus",,
