album,end_date,music,rank,singer,start_date,week_num,year
Kitsch,2023.04.15,Kitsch,1,IVE (아이브),2023.04.09,15,2023
I`ve IVE,2023.04.08,I AM,2,IVE (아이브),2023.04.02,15,2023
ME,2023.04.01,꽃,3,지수 (JISOO),2023.03.26,15,2023
NewJeans `OMG`,2023.03.25,Ditto,4,NewJeans,2023.03.19,15,2023
NewJeans 1st EP `New Jeans`,2023.03.18,Hype boy,5,NewJeans,2023.03.12,15,2023
NewJeans `OMG`,2023.03.11,OMG,6,NewJeans,2023.03.05,15,2023
Teddy Bear,2023.03.04,Teddy Bear,7,STAYC(스테이씨),2023.02.26,15,2023
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.02.25,사건의 지평선,8,윤하,2023.02.19,15,2023
Kitsch,2023.04.15,Kitsch,1,IVE (아이브),2023.04.09,14,2023
Polaroid,2023.02.18,London Boy,9,임영웅,2023.02.12,15,2023
ME,2023.04.08,꽃,2,지수 (JISOO),2023.04.02,14,2023
NewJeans `OMG`,2023.04.01,Ditto,3,NewJeans,2023.03.26,14,2023
NewJeans 1st EP `New Jeans`,2023.03.25,Hype boy,4,NewJeans,2023.03.19,14,2023
NewJeans `OMG`,2023.03.18,OMG,5,NewJeans,2023.03.12,14,2023
Teddy Bear,2023.03.11,Teddy Bear,6,STAYC(스테이씨),2023.03.05,14,2023
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.03.04,사건의 지평선,7,윤하,2023.02.26,14,2023
FACE,2023.02.25,Like Crazy,8,지민,2023.02.19,14,2023
Polaroid,2023.02.18,London Boy,9,임영웅,2023.02.12,14,2023
Kitsch,2023.04.15,Kitsch,1,IVE (아이브),2023.04.09,13,2023
NewJeans `OMG`,2023.04.08,Ditto,2,NewJeans,2023.04.02,13,2023
NewJeans `OMG`,2023.04.01,OMG,3,NewJeans,2023.03.26,13,2023
NewJeans 1st EP `New Jeans`,2023.03.25,Hype boy,4,NewJeans,2023.03.19,13,2023
Teddy Bear,2023.03.18,Teddy Bear,5,STAYC(스테이씨),2023.03.12,13,2023
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.03.11,사건의 지평선,6,윤하,2023.03.05,13,2023
WHERE DOES SASQUATCH LIVE? PART 1,2023.03.04,CHRISTIAN,7,Zior Park,2023.02.26,13,2023
Polaroid,2023.02.25,London Boy,8,임영웅,2023.02.19,13,2023
Polaroid,2023.02.18,Polaroid,9,임영웅,2023.02.12,13,2023
NewJeans `OMG`,2023.04.15,Ditto,1,NewJeans,2023.04.09,12,2023
NewJeans `OMG`,2023.04.08,OMG,2,NewJeans,2023.04.02,12,2023
NewJeans 1st EP `New Jeans`,2023.04.01,Hype boy,3,NewJeans,2023.03.26,12,2023
Teddy Bear,2023.03.25,Teddy Bear,4,STAYC(스테이씨),2023.03.19,12,2023
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.03.18,사건의 지평선,5,윤하,2023.03.12,12,2023
부석순 1st Single Album `SECOND WIND`,2023.03.11,파이팅 해야지 (Feat. 이영지),6,부석순 (SEVENTEEN),2023.03.05,12,2023
WHERE DOES SASQUATCH LIVE? PART 1,2023.03.04,CHRISTIAN,7,Zior Park,2023.02.26,12,2023
사랑하기 싫어,2023.02.25,사랑하기 싫어,8,지아 (Zia),2023.02.19,12,2023
NewJeans 1st EP `New Jeans`,2023.02.18,Attention,9,NewJeans,2023.02.12,12,2023
NewJeans `OMG`,2023.04.15,Ditto,1,NewJeans,2023.04.09,11,2023
