album,end_date,music,rank,singer,start_date,week_num,year
WINGS,2016.10.15,피 땀 눈물,1,방탄소년단,2016.10.09,42,2016
세 단어,2016.10.15,세 단어,2,젝스키스,2016.10.09,42,2016
구르미 그린 달빛 OST Part 11,2016.10.15,내 사람,3,박보검,2016.10.09,42,2016
Full Album RED PLANET,2016.10.15,우주를 줄게,4,볼빨간사춘기,2016.10.09,42,2016
50 X HALF,2016.10.15,내 옆에 그대인 걸,5,다비치,2016.10.09,42,2016
wonderlust,2016.10.15,어떻게 지내,6,크러쉬 (CRUSH),2016.10.09,42,2016
I am A Dreamer,2016.10.15,숨,7,박효신,2016.10.09,42,2016
I`M,2016.10.15,내가 저지른 사랑,8,임창정,2016.10.09,42,2016
이 소설의 끝을 다시 써보려 해,2016.10.15,이 소설의 끝을 다시 써보려 해,9,한동근,2016.10.09,42,2016
Russian Roulette - The 3rd Mini Album,2016.10.15,러시안 룰렛 (Russian Roulette),10,레드벨벳(Red Velvet),2016.10.09,42,2016
1 of 1 - The 5th Album,2016.10.15,1 of 1,11,샤이니 (SHINee),2016.10.09,42,2016
Full Album RED PLANET,2016.10.15,나만 안되는 연애,12,볼빨간사춘기,2016.10.09,42,2016
The 3rd Digital Single `그대라는 사치`,2016.10.15,그대라는 사치,13,한동근,2016.10.09,42,2016
50 X HALF,2016.10.15,받는 사랑이 주는 사랑에게,14,다비치,2016.10.09,42,2016
돌아오지마,2016.10.15,돌아오지마 (Feat. 용준형 of 비스트),15,헤이즈 (Heize),2016.10.09,42,2016
3.3,2016.10.15,길어야 5분,16,10cm,2016.10.09,42,2016
miss me?,2016.10.22,너무너무너무,1,아이오아이 (I.O.I),2016.10.16,43,2016
구르미 그린 달빛 OST Part 12,2016.10.15,그리워 그리워서 (이영Ver.),17,황치열,2016.10.09,42,2016
wonderlust,2016.10.22,어떻게 지내,2,크러쉬 (CRUSH),2016.10.16,43,2016
Red Pill Blues (Deluxe Edition),2016.10.15,Don`t Wanna Know (Feat. Kendrick Lamar),18,Maroon 5,2016.10.09,42,2016
50 X HALF,2016.10.22,내 옆에 그대인 걸,3,다비치,2016.10.16,43,2016
구르미 그린 달빛 OST Part.3,2016.10.15,구르미 그린 달빛,19,거미,2016.10.09,42,2016
WINGS,2016.10.22,피 땀 눈물,4,방탄소년단,2016.10.16,43,2016
Dancing King,2016.10.15,Dancing King,20,"유재석, EXO",2016.10.09,42,2016
Full Album RED PLANET,2016.10.22,우주를 줄게,5,볼빨간사춘기,2016.10.16,43,2016
50 X HALF,2016.10.15,받는 사랑이 주는 사랑에게,21,다비치,2016.10.09,42,2016
세 단어,2016.10.22,세 단어,6,젝스키스,2016.10.16,43,2016
목요일 밤,2016.10.15,목요일 밤 (Feat. 빈지노),22,어반 자카파 (Urban Zakapa),2016.10.09,42,2016
I`M,2016.10.22,내가 저지른 사랑,7,임창정,2016.10.16,43,2016
Pink Revolution,2016.10.15,내가 설렐 수 있게,23,에이핑크 (Apink),2016.10.09,42,2016
I am A Dreamer,2016.10.22,숨,8,박효신,2016.10.16,43,2016
스틸,2016.10.15,널 사랑하지 않아,24,어반 자카파 (Urban Zakapa),2016.10.09,42,2016
이 소설의 끝을 다시 써보려 해,2016.10.22,이 소설의 끝을 다시 써보려 해,9,한동근,2016.10.16,43,2016
The First Album `From The Heart`,2016.10.15,꺼내본다,25,김나영,2016.10.09,42,2016
miss me?,2016.10.22,잠깐만,10,아이오아이 (I.O.I),2016.10.16,43,2016
구르미 그린 달빛 OST Part.5,2016.10.15,"다정하게, 안녕히",26,성시경,2016.10.09,42,2016
Russian Roulette - The 3rd Mini Album,2016.10.22,러시안 룰렛 (Russian Roulette),11,레드벨벳(Red Velvet),2016.10.16,43,2016
SQUARE ONE,2016.10.15,휘파람,27,BLACKPINK,2016.10.09,42,2016
The 3rd Digital Single `그대라는 사치`,2016.10.22,그대라는 사치,12,한동근,2016.10.16,43,2016
TWICEcoaster : LANE 1,2016.10.29,TT,1,TWICE,2016.10.23,44,2016
50 X HALF,2016.10.15,받는 사랑이 주는 사랑에게,28,다비치,2016.10.09,42,2016
Full Album RED PLANET,2016.10.22,나만 안되는 연애,13,볼빨간사춘기,2016.10.16,43,2016
miss me?,2016.10.29,너무너무너무,2,아이오아이 (I.O.I),2016.10.23,44,2016
슈퍼스타K 2016 #5,2016.10.15,사랑 그렇게 보내네,29,"김영근 (슈퍼스타K 2016), 이지은 (슈퍼스타K 2016)",2016.10.09,42,2016
Russian Roulette - The 3rd Mini Album,2016.10.22,러시안 룰렛 (Russian Roulette),14,레드벨벳(Red Velvet),2016.10.16,43,2016
세 단어,2016.10.29,세 단어,3,젝스키스,2016.10.23,44,2016
miss me?,2016.10.15,잠깐만,30,아이오아이 (I.O.I),2016.10.09,42,2016
EMPATHY,2016.10.22,빌려줄게,15,신용재,2016.10.16,43,2016
Full Album RED PLANET,2016.10.29,우주를 줄게,4,볼빨간사춘기,2016.10.23,44,2016
네 생각,2016.10.15,네 생각,31,존 박,2016.10.09,42,2016
WELCOME 2 BASTARZ (Single),2016.10.22,이기적인 걸,16,블락비 바스타즈,2016.10.16,43,2016
50 X HALF,2016.10.29,내 옆에 그대인 걸,5,다비치,2016.10.23,44,2016
PAGE TWO,2016.10.15,CHEER UP,32,TWICE,2016.10.09,42,2016
구르미 그린 달빛 OST Part.3,2016.10.22,구르미 그린 달빛,17,거미,2016.10.16,43,2016
wonderlust,2016.10.29,어떻게 지내,6,크러쉬 (CRUSH),2016.10.23,44,2016
puzzle,2016.10.15,puzzle,33,"씨잼 (C Jamm), 비와이(BewhY)",2016.10.09,42,2016
목요일 밤,2016.10.22,목요일 밤 (Feat. 빈지노),18,어반 자카파 (Urban Zakapa),2016.10.16,43,2016
I`M,2016.10.29,내가 저지른 사랑,7,임창정,2016.10.23,44,2016
Pathos Tour Live Album,2016.10.15,그대 그대 그대,34,엠씨더맥스 (M.C The Max),2016.10.09,42,2016
Dancing King,2016.10.22,Dancing King,19,"유재석, EXO",2016.10.16,43,2016
I am A Dreamer,2016.10.29,숨,8,박효신,2016.10.23,44,2016
TWICEcoaster : LANE 1,2016.10.15,1 TO 10,35,TWICE,2016.10.09,42,2016
Love Like This,2016.10.22,Love Like This (Feat. Dok2),20,효린,2016.10.16,43,2016
WINGS,2016.10.29,피 땀 눈물,9,방탄소년단,2016.10.23,44,2016
TWICEcoaster : LANE 1,2016.11.05,TT,1,TWICE,2016.10.30,45,2016
If You,2016.10.15,If You,36,에일리 (Ailee),2016.10.09,42,2016
넌 살아있다,2016.10.22,넌 살아있다,21,버즈 (Buzz),2016.10.16,43,2016
SQUARE TWO,2016.10.29,STAY,10,BLACKPINK,2016.10.23,44,2016
11:11,2016.11.05,11:11,2,태연 (TAEYEON),2016.10.30,45,2016
Love Like This,2016.10.15,Love Like This (Feat. Dok2),37,효린,2016.10.09,42,2016
Hey Mama! - The 1st Mini Album,2016.10.22,The One,22,EXO-CBX (첸백시),2016.10.16,43,2016
남아있어,2016.10.29,남아있어 (Feat. Crush),11,로꼬 (LOCO),2016.10.23,44,2016
SQUARE TWO,2016.11.05,불장난,3,BLACKPINK,2016.10.30,45,2016
PAGE TWO,2016.10.15,CHEER UP,38,TWICE,2016.10.09,42,2016
Full Album RED PLANET,2016.10.22,나만 안되는 연애,23,볼빨간사춘기,2016.10.16,43,2016
I am A Dreamer,2016.10.29,숨,12,박효신,2016.10.23,44,2016
