,name,구독자순,게시물순
1,J,7065만,887개
2,BTS official,6814만,"1,134개"
3,JISOO🤍,6484만,878개
4,ROSÉ,6361만,853개
5,BLΛƆKPIИK,4994만,"1,554개"
6,차은우,3061만,326개
7,이지금 IU,2795만,644개
8,TWICE,2680만,"3,357개"
9,EXO_CY,2395만,720개
10,SEHUN,2326만,822개
11,Stray Kids,2297만,"3,528개"
12,BaekHyun.,2181만,0개
13,권지용(權志龍),2139만,"2,692개"
14,TaeYeon,1887만,"1,096개"
15,Hyun Ah,1825만,"5,734개"
16,ITZY,1806만,"2,514개"
17,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,1804만,"1,454개"
18,ENNIK 전소미,1581만,399개
19,TOP,1472만,38개
20,NCT Official Instagram,1469만,"2,610개"
21,NCT 127 Official Instagram,1446만,"3,603개"
22,Joy,1427만,973개
23,KAI,1421만,447개
24,yoona__lim,1411만,676개
25,TAEYANG,1378만,925개
26,TOMORROW X TOGETHER OFFICIAL,1288만,630개
27,슬기 Seulgi,1266만,610개
28,IRENE,1075만,131개
29,Yeri,1075만,869개
30,KRYSTAL,1035만,655개
31,SUHO,1035만,279개
32,CL,1035만,"2,054개"
33,SEVENTEEN,1028만,"3,172개"
34,EXO Official,998만,"2,206개"
35,박진영,998만,137개
36,Sandara Park,987만,"3,445개"
37,최시원 • Siwon Choi,882만,230개
38,SUNMI,837만,"2,824개"
39,김세정,836만,658개
40,HWASA,830만,201개
41,(G)I-DLE (여자)아이들,826만,"3,518개"
42,JUNGKOOK,778만,"1,315개"
43,마마무 (MAMAMOO),769만,"2,563개"
44,SEOHYUN 서현,761만,"1,423개"
45,Sooyoung Choi,742만,"1,695개"
46,Wendy,710만,96개
47,Hyoyeon Kim,637만,"1,423개"
48,권유리 ʏᴜʀɪ ᴋᴡᴏɴ,636만,"2,307개"
49,MINO,633만,"1,193개"
50,김희철,563만,455개
51,써니 (Sunny),534만,561개
52,이특 leeteuk,517만,891개
53,Moonbyul🌻,504만,181개
54,샤이니(SHINee) Official,490만,"1,799개"
55,Daniel Kang,481만,183개
56,우지호/ZICO,462만,72개
57,DJ SODA OFFICIAL 🇰🇷,460만,"3,599개"
58,황민현,436만,316개
59,B.I,408만,57개
60,효린 ʜʏᴏʟʏɴ of bridʒ 🎤🇰🇷,372만,346개
61,NANA,354만,482개
62,옹성우 ongseongwu,351만,162개
63,KARD,339만,176개
64,여자친구 GFRIEND,332만,"2,196개"
65,더보이즈(THE BOYZ),331만,"2,492개"
66,ʜʏᴏⓂ️ɪɴ,329만,824개
67,Wanna One 워너원,302만,658개
68,PSY,298만,"1,754개"
69,구준회,294만,131개
70,tablo,292만,"2,831개"
71,RAIN♥,290만,773개
72,이수현,287만,83개
73,강승윤 KANGSEUNGYOON,273만,"2,330개"
74,이달의 소녀 / LOOΠΔ / 今月の少女 / 本月少女,266만,"3,653개"
75,송윤형 Smile,264만,439개
76,정찬우,259만,137개
77,artist_eunji,250만,687개
78,정휘인,242만,228개
79,blackpinkcofficial,240만,"4,499개"
80,YG Entertainment Official,238만,"2,271개"
81,헤이즈 다혜,235만,679개
82,강민경 (행동파),222만,323개
83,IZ*ONE 아이즈원,219만,"1,255개"
84,펜타곤 PENTAGON,212만,"2,570개"
85,정채연,207만,499개
86,yunho,202만,289개
87,CHO KyuHyun,197만,63개
88,나하은 (Na Haeun),196만,"3,826개"
89,J_JUN🤍김재중🤍ジェジュン🤍金在中JJ🤍JAEJOONG,191만,"1,302개"
90,hongjinyoung 홍진영,189만,"2,615개"
91,changmin88,187만,347개
92,김재환,183만,173개
93,원어스 (ONEUS),174만,"5,259개"
94,이나은,172만,279개
95,윤지성 YOONJISUNG,171만,227개
96,하성운,171만,171개
97,AB6IX (에이비식스),166만,"2,511개"
98,winner & winnercity,166만,"1,457개"
99,Luna 루나,154만,"1,182개"
100,WOOSUNG / 김우성,142만,25개
101,남우현,41만,75개
102,fromis_9 [프로미스나인],41만,",636개"
103,권현빈 Kwon hyun bin,39만,44개
104,OHMYGIRL (오마이걸),38만,",076개"
105,김우석 KIM WOO SEOK,35만,75개
