year,week_num,start_date,end_date,rank,music,singer,album
2014,49,2014.11.30,2014.12.06,1,HAPPY TOGETHER,박효신,HAPPY TOGETHER
2014,49,2014.11.30,2014.12.06,2,LUV,에이핑크 (Apink),Pink LUV
2014,49,2014.11.30,2014.12.06,3,시간아 천천히,이진아,K팝 스타 시즌4 `시간아 천천히`
2014,49,2014.11.30,2014.12.06,4,세 사람 (With 성시경),토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,5,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),The 1st Mini Album `광화문에서 (At Gwanghwamun)`
2014,49,2014.11.30,2014.12.06,6,GOOD BOY,GD X TAEYANG,GOOD BOY
2014,49,2014.11.30,2014.12.06,7,위아래,EXID,위아래
2014,49,2014.11.30,2014.12.06,8,나는 달라 (Feat. BOBBY),HI SUHYUN,나는 달라
2014,49,2014.11.30,2014.12.06,9,지워 (Feat. 아이언),"효린, 주영",지워
2014,49,2014.11.30,2014.12.06,10,사뿐사뿐 (Like a Cat),AOA,사뿐사뿐
2014,49,2014.11.30,2014.12.06,11,U & I (With Crush & 빈지노),토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,12,내가 그리웠니 (Feat. 진실 of Mad Soul Child),MC몽,MISS ME OR DISS ME
2014,49,2014.11.30,2014.12.06,13,쓰담쓰담,10cm,3.0
2014,49,2014.11.30,2014.12.06,14,Secret,에이핑크 (Apink),Pink LUV
2014,49,2014.11.30,2014.12.06,15,12시 30분,비스트 (Beast),Time
2014,49,2014.11.30,2014.12.06,16,내 생애 가장 행복한 시간 (Feat. 허각),MC몽,MISS ME OR DISS ME
2014,49,2014.11.30,2014.12.06,17,"집 밥 (Feat. 긱스, 이희선여사)",김범수,HIM
2014,49,2014.11.30,2014.12.06,18,헤픈엔딩 (Feat. 조원선 of 롤러코스터),에픽하이 (EPIK HIGH),신발장
2014,49,2014.11.30,2014.12.06,19,니가 모르게 (You Don`t Know),로꼬 (LOCO),LOCOMOTIVE
2014,49,2014.11.30,2014.12.06,20,그녀가 말했다 (With 권진아),토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,21,자랑,곽진언,슈퍼스타K6 결승전
2014,49,2014.11.30,2014.12.06,22,인생은 아름다워 (With 다이나믹듀오 & Zion. T & Crush),토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,23,친한사람 (Original Ver.),임창정,친한사람
2014,49,2014.11.30,2014.12.06,24,산다는 건 (Cheer Up),홍진영,인생노트 (LIFE NOTE)
2014,49,2014.11.30,2014.12.06,25,언제쯤이면 (Duet.아이유),윤현상,피아노포르테 (Pianoforte)
2014,49,2014.11.30,2014.12.06,26,우리 다시 사랑한다면,투빅 (2BiC),Genuine
2014,49,2014.11.30,2014.12.06,27,죽을만큼 아파서 Part 2 (Feat. 스웨덴세탁소),MC몽,MISS ME OR DISS ME
2014,49,2014.11.30,2014.12.06,28,나무,버즈 (Buzz),Memorize
2014,49,2014.11.30,2014.12.06,29,피노키오,로이킴,피노키오 OST Part 2
2014,49,2014.11.30,2014.12.06,30,신촌을 못가,포스트맨 (Postmen),신촌을 못가
2014,49,2014.11.30,2014.12.06,31,너의 바다에 머무네 (With 김동률),토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,32,"Goodbye sun, Goodbye moon (With 이수현 of 악동뮤지션)",토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,33,Reset (With 이적),토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,34,그리워라,10cm,3.0
2014,49,2014.11.30,2014.12.06,35,도망가자 (Feat. 린),MC몽,MISS ME OR DISS ME
2014,49,2014.11.30,2014.12.06,36,"BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO, BOBBY)",에픽하이 (EPIK HIGH),신발장
2014,49,2014.11.30,2014.12.06,37,Wanna Be,에이핑크 (Apink),Pink LUV
2014,49,2014.11.30,2014.12.06,38,하지하지마,GOT7,Identify
2014,49,2014.11.30,2014.12.06,39,천사가 아냐,에이핑크 (Apink),Pink LUV
2014,49,2014.11.30,2014.12.06,40,마음 단단히 먹어 (Feat. 에일리),MC몽,MISS ME OR DISS ME
2014,49,2014.11.30,2014.12.06,41,Piano Man,마마무 (Mamamoo),Piano Man
2014,49,2014.11.30,2014.12.06,42,Lost Stars,Adam Levine,영화 Begin Again OST
2014,49,2014.11.30,2014.12.06,43,손대지마,에일리 (Ailee),Magazine
2014,49,2014.11.30,2014.12.06,44,어떻게 사랑이 그래요,이승환,Hwantastic
2014,49,2014.11.30,2014.12.06,45,동화 같은 사랑,에이핑크 (Apink),Pink LUV
2014,49,2014.11.30,2014.12.06,46,"화장 지웠어 (Feat. Zion.T, HA:TFELT) (No make up)",개코,REDINGRAY
2014,49,2014.11.30,2014.12.06,47,New York (Feat. 백지영),MC몽,MISS ME OR DISS ME
2014,49,2014.11.30,2014.12.06,48,펑펑,알리 (ALi),Turning Point
2014,49,2014.11.30,2014.12.06,49,야생화,박효신,야생화
2014,49,2014.11.30,2014.12.06,50,"고장난 선풍기 (Feat. 개리, 효린 of 씨스타)",MC몽,MISS ME OR DISS ME
2014,49,2014.11.30,2014.12.06,51,피아니시모 (With 김예림),토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,52,그게나야,김동률,동행
2014,49,2014.11.30,2014.12.06,53,공허해,위너(WINNER),2014 S/S
2014,49,2014.11.30,2014.12.06,54,Tough Cookie (Feat. Don Mills),지코 (ZICO),Tough Cookie
2014,49,2014.11.30,2014.12.06,55,니가 내리는 날,"백지영, 나원주",Time;code Chapter I
2014,49,2014.11.30,2014.12.06,56,Sweet Love,백청강,2nd Mini 白
2014,49,2014.11.30,2014.12.06,57,Whatever (Feat. 민아 of 걸스데이),MC몽,MISS ME OR DISS ME
2014,49,2014.11.30,2014.12.06,58,끼부리지마,위너(WINNER),2014 S/S
2014,49,2014.11.30,2014.12.06,59,처음으로 (New Day),"신지수, 김필",처음으로 (New Day)
2014,49,2014.11.30,2014.12.06,60,봄 여름 가을 그리고...,엠블랙 (MBLAQ),겨울
2014,49,2014.11.30,2014.12.06,61,틈,"소유 (SOYOU), 권순일, 박용인",소유 X 어반자카파 (권순일 & 박용인) `틈`
2014,49,2014.11.30,2014.12.06,62,스토커,10cm,3.0
2014,49,2014.11.30,2014.12.06,63,시간과 낙엽,AKMU (악뮤),시간과 낙엽
2014,49,2014.11.30,2014.12.06,64,스포일러,에픽하이 (EPIK HIGH),신발장
2014,49,2014.11.30,2014.12.06,65,당신만이,"곽진언, 김필, 임도혁",슈퍼스타K6 곽진언 김필 임도혁
2014,49,2014.11.30,2014.12.06,66,"묘해, 너와",어쿠스틱 콜라보,연애의 발견 OST Part 4
2014,49,2014.11.30,2014.12.06,67,첫사랑 (Feat.펀치 (Punch)),타이거 JK,피노키오 OST Part 1
2014,49,2014.11.30,2014.12.06,68,지우다 (Here I Am),써니힐 (Sunny Hill),지우다
2014,49,2014.11.30,2014.12.06,69,바라보기,엠씨더맥스 (M.C The Max),미녀의 탄생 OST PART 4
2014,49,2014.11.30,2014.12.06,70,걱정말아요 그대,"곽진언, 김필",슈퍼스타K6 곽진언vs김필
2014,49,2014.11.30,2014.12.06,71,연결고리#힙합,바비 (BOBBY),쇼미더머니3 Part 4
2014,49,2014.11.30,2014.12.06,72,거짓말 거짓말 거짓말,이적,고독의 의미
2014,49,2014.11.30,2014.12.06,73,너무 보고 싶어,어쿠스틱 콜라보,연애의 발견 OST Part 6
2014,49,2014.11.30,2014.12.06,74,술이 너보다 낫더라,"포스트맨, 6 to 8",술이 너보다 낫더라
2014,49,2014.11.30,2014.12.06,75,날 안아줘,40 (포티),날 안아줘
2014,49,2014.11.30,2014.12.06,76,너의 의미 (Feat. 김창완),아이유 (IU),꽃갈피
2014,49,2014.11.30,2014.12.06,77,보고싶어,걸스데이 (Girl`s Day),보고싶어
2014,49,2014.11.30,2014.12.06,78,우리,토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,79,너를 사랑해,윤미래 (T),괜찮아 사랑이야 OST Part 6
2014,49,2014.11.30,2014.12.06,80,MAMA,니콜,First Romance
2014,49,2014.11.30,2014.12.06,81,안녕,버즈 (Buzz),Memorize
2014,49,2014.11.30,2014.12.06,82,예뻐졌다 (feat. 지코 Of 블락비),박보람,예뻐졌다
2014,49,2014.11.30,2014.12.06,83,위로,어반 자카파 (Urban Zakapa),(04)
2014,49,2014.11.30,2014.12.06,84,눈물고드름,김연우,눈물고드름
2014,49,2014.11.30,2014.12.06,85,What could I do (Feat. 범키),MC몽,MISS ME OR DISS ME
2014,49,2014.11.30,2014.12.06,86,자꾸 생각나 (Thinking About You) (Feat. 박재범),로꼬 (LOCO),LOCOMOTIVE
2014,49,2014.11.30,2014.12.06,87,"눈, 코, 입",태양,RISE
2014,49,2014.11.30,2014.12.06,88,예쁜 나이 25살,송지은,25 (스물 다섯)
2014,49,2014.11.30,2014.12.06,89,취한 밤,토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,90,두 사람,성시경,4집 다시 꿈꾸고 싶다
2014,49,2014.11.30,2014.12.06,91,Little Apple With 젓가락형제,티아라 (T-ara),Little Apple
2014,49,2014.11.30,2014.12.06,92,소격동,아이유 (IU),소격동
2014,49,2014.11.30,2014.12.06,93,No One Else Like You,Adam Levine,영화 Begin Again OST
2014,49,2014.11.30,2014.12.06,94,My Love (Feat. 성유진),MC몽,MISS ME OR DISS ME
2014,49,2014.11.30,2014.12.06,95,언제나 타인 (With 선우정아),토이 (Toy),Da Capo
2014,49,2014.11.30,2014.12.06,96,HER,블락비 (Block B),HER
2014,49,2014.11.30,2014.12.06,97,"임박사와 함께 춤을 (Feat. LE of EXID, 이박사)",임창정,친한사람
2014,49,2014.11.30,2014.12.06,98,Home,로이킴,HOME
2014,49,2014.11.30,2014.12.06,99,독기,아이언,쇼미더머니3 씨잼 vs 아이언
2014,49,2014.11.30,2014.12.06,100,격정적인 열애설 (Feat. The Channels),MC몽,MISS ME OR DISS ME
