year,week_num,start_date,end_date,rank,music,singer,album
2015,43,2015.10.18,2015.10.24,1,No Make Up,자이언티(Zion.T),No Make Up
2015,43,2015.10.18,2015.10.24,2,I (Feat. 버벌진트),태연 (TAEYEON),I - The 1st Mini Album
2015,43,2015.10.18,2015.10.24,3,또 다시 사랑,임창정,또 다시 사랑
2015,43,2015.10.18,2015.10.24,4,모르나봐,"소유 (SOYOU), 브라더수",그녀는 예뻤다 OST Part.4
2015,43,2015.10.18,2015.10.24,5,집으로 가는 길,비투비 (BTOB),I Mean
2015,43,2015.10.18,2015.10.24,6,밀리언조각 (A Million Pieces),규현 (KYUHYUN),"다시, 가을이 오면 - The 2nd Mini Album"
2015,43,2015.10.18,2015.10.24,7,밤을 새 (Feat. 베이식),허각,밤을 새
2015,44,2015.10.25,2015.10.31,1,스물셋,아이유 (IU),CHAT-SHIRE
2015,43,2015.10.18,2015.10.24,8,Zeze,아이유 (IU),CHAT-SHIRE
2015,44,2015.10.25,2015.10.31,2,푸르던,아이유 (IU),CHAT-SHIRE
2015,43,2015.10.18,2015.10.24,9,모르나봐,"소유 (SOYOU), 브라더수",그녀는 예뻤다 OST Part.4
2015,44,2015.10.25,2015.10.31,3,"말해 Yes Or No (Feat. PENOMECO, The Quiett)",지코 (ZICO),말해 Yes Or No
2015,43,2015.10.18,2015.10.24,10,Red Queen (feat. Zion.T),아이유 (IU),CHAT-SHIRE
2015,44,2015.10.25,2015.10.31,4,I (Feat. 버벌진트),태연 (TAEYEON),I - The 1st Mini Album
2015,43,2015.10.18,2015.10.24,11,또 다시 사랑,임창정,또 다시 사랑
2015,44,2015.10.25,2015.10.31,5,새 신발,아이유 (IU),CHAT-SHIRE
2015,43,2015.10.18,2015.10.24,12,꼭 어제,XIA(준수),꼭 어제
2015,44,2015.10.25,2015.10.31,6,무릎,아이유 (IU),CHAT-SHIRE
2015,43,2015.10.18,2015.10.24,13,안경,아이유 (IU),CHAT-SHIRE
2015,44,2015.10.25,2015.10.31,7,No Make Up,자이언티(Zion.T),No Make Up
2015,43,2015.10.18,2015.10.24,14,Forever Love,버즈,Forever Love
2015,45,2015.11.01,2015.11.07,1,스물셋,아이유 (IU),CHAT-SHIRE
2015,44,2015.10.25,2015.10.31,8,모르나봐,"소유 (SOYOU), 브라더수",그녀는 예뻤다 OST Part.4
2015,43,2015.10.18,2015.10.24,15,"말해 Yes Or No (Feat. PENOMECO, The Quiett)",지코 (ZICO),말해 Yes Or No
2015,45,2015.11.01,2015.11.07,2,4 Walls,f(x),4 Walls - The 4th Album
2015,44,2015.10.25,2015.10.31,9,No Make Up,자이언티(Zion.T),No Make Up
2015,43,2015.10.18,2015.10.24,16,OOH-AHH하게,TWICE,THE STORY BEGINS
2015,45,2015.11.01,2015.11.07,3,푸르던,아이유 (IU),CHAT-SHIRE
2015,44,2015.10.25,2015.10.31,10,Zeze,아이유 (IU),CHAT-SHIRE
