album,end_date,music,rank,singer,start_date,week_num,year
WSG워너비 1집,2022.08.06,그때 그 순간 그대로 (그그그),1,WSG워너비 (가야G),2022.07.31,32,2022
WSG워너비 1집,2022.08.06,보고싶었어,2,WSG워너비 (4FIRE),2022.07.31,32,2022
LOVE DIVE,2022.08.06,LOVE DIVE,3,IVE (아이브),2022.07.31,32,2022
IM NAYEON,2022.08.06,POP!,4,나연 (TWICE),2022.07.31,32,2022
CHECKMATE,2022.08.06,SNEAKERS,5,ITZY (있지),2022.07.31,32,2022
정이라고 하자,2022.08.06,정이라고 하자 (Feat. 10CM),6,BIG Naughty (서동현),2022.07.31,32,2022
싸다9,2022.08.06,That That (prod. & feat. SUGA of BTS),7,싸이 (Psy),2022.07.31,32,2022
Girls - The 2nd Mini Album,2022.08.06,Girls,8,aespa,2022.07.31,32,2022
나의 X에게,2022.08.06,나의 X에게,9,경서,2022.07.31,32,2022
WSG워너비 1집,2022.08.13,그때 그 순간 그대로 (그그그),1,WSG워너비 (가야G),2022.08.07,33,2022
나의 X에게,2022.08.06,나의 X에게,10,경서,2022.07.31,32,2022
NewJeans 1st EP `New Jeans`,2022.08.13,Attention,2,NewJeans,2022.08.07,33,2022
싸다9,2022.08.06,That That (prod. & feat. SUGA of BTS),11,싸이 (Psy),2022.07.31,32,2022
WSG워너비 1집,2022.08.13,보고싶었어,3,WSG워너비 (4FIRE),2022.08.07,33,2022
IM HERO,2022.08.06,다시 만날 수 있을까,12,임영웅,2022.07.31,32,2022
LOVE DIVE,2022.08.13,LOVE DIVE,4,IVE (아이브),2022.08.07,33,2022
I NEVER DIE,2022.08.06,TOMBOY,13,(여자)아이들,2022.07.31,32,2022
CHECKMATE,2022.08.13,SNEAKERS,5,ITZY (있지),2022.08.07,33,2022
FOREVER 1 - The 7th Album,2022.08.06,FOREVER 1,14,소녀시대,2022.07.31,32,2022
IM NAYEON,2022.08.13,POP!,6,나연 (TWICE),2022.08.07,33,2022
5.3,2022.08.06,그라데이션,15,10cm,2022.07.31,32,2022
NewJeans 1st EP `New Jeans`,2022.08.13,Hype boy,7,NewJeans,2022.08.07,33,2022
Girls - The 2nd Mini Album,2022.08.06,Girls,16,aespa,2022.07.31,32,2022
정이라고 하자,2022.08.13,정이라고 하자 (Feat. 10CM),8,BIG Naughty (서동현),2022.08.07,33,2022
NewJeans 1st EP `New Jeans`,2022.08.20,Attention,1,NewJeans,2022.08.14,34,2022
