Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

신호등
이무진 | 신호등","29,159,742","쇼플레이
Kakao Entertainment",,
2,1,"

바라만 본다
MSG워너비(M.O.M) | MSG워너비 1집","24,397,320","유야호
지니뮤직, Stone Music Entertainment",,
3,1,"

낙하 (with 아이유)
AKMU (악뮤) | NEXT EPISODE","24,273,240","YG Entertainment
YG PLUS",,
4,-,"

Next Level
aespa | Next Level","22,964,607","SM Entertainment
Dreamus",,
5,-,"

Weekend
태연 (TAEYEON) | Weekend","21,840,035","SM Entertainment
Dreamus",,
6,new,"

Queendom
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","20,976,504","SM Entertainment
Dreamus",,
7,1,"

Permission to Dance
방탄소년단 | Butter / Permission to Dance","20,609,499","BIGHIT MUSIC / HYBE
YG PLUS",,
8,1,"

Butter
방탄소년단 | Butter","18,616,760","BIGHIT MUSIC / HYBE
YG PLUS",,
9,1,"

좋아좋아
조정석 | 슬기로운 의사생활 시즌2 OST Part 5","18,446,478","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
10,13,"

Stay
The Kid LAROI, Justin Bieber | Stay","18,276,575","Columbia
Sony Music",,
11,11,"

DUMB DUMB
전소미 | DUMB DUMB","18,122,433","The Black Label
YG PLUS",,
12,-,"

OHAYO MY NIGHT
디핵 (D-Hack), PATEKO(파테코) | OHAYO MY NIGHT","17,402,946","NEOKIDZ
YG PLUS",,
13,4,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","16,584,863","피네이션
지니뮤직, Stone Music Entertainment",,
14,4,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","15,636,937","RBMG/Def Jam
Universal Music",,
15,2,"

Dun Dun Dance
오마이걸 (OH MY GIRL) | Dear OHMYGIRL","14,609,445","WM엔터테인먼트
Sony Music",,
16,1,"

비와 당신
이무진 | 슬기로운 의사생활 시즌2 OST Part 1","14,353,440","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
17,3,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","13,726,316","브레이브 엔터테인먼트
음악형제들",,
18,1,"

Dynamite
방탄소년단 | Dynamite","13,127,910","BIGHIT MUSIC / HYBE
YG PLUS",,
19,9,"

Bad Habits
Ed Sheeran | Bad Habits","13,031,627","Atlantic Records UK
Warner Music",,
20,1,"

라일락
아이유 (IU) | 5th Album `LILAC`","13,023,641","EDAM엔터테인먼트
Kakao Entertainment",,
21,5,"

치맛바람 (Chi Mat Ba Ram)
브레이브걸스 (Brave Girls) | Summer Queen","12,489,410","브레이브 엔터테인먼트
Kakao Entertainment",,
22,4,"

Alcohol-Free
TWICE | Taste of Love","12,268,031","JYP Entertainment
Dreamus",,
23,2,"

비가 오는 날엔 (2021)
헤이즈 (Heize) | 비가 오는 날엔 (2021)","12,161,917","PLAYLIST
지니뮤직, Stone Music Entertainment",,
24,-,"

Celebrity
아이유 (IU) | Celebrity","11,811,784","EDAM엔터테인먼트
Kakao Entertainment",,
25,73,"

여전히 아름다운지
세븐틴 | 슬기로운 의사생활 시즌2 OST Part 8","11,314,171","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
26,-,"

하루만 더
빅마마 (BigMama) | 하루만 더","11,252,988","Kakao Entertainment
Kakao Entertainment",,
27,2,"

ASAP
STAYC(스테이씨) | STAYDOM","11,156,118","하이업엔터테인먼트
Kakao Entertainment",,
28,1,"

안녕 (Hello)
조이 (JOY) | 안녕 (Hello) - Special Album","10,949,209","SM Entertainment
Dreamus",,
29,2,"

나를 아는 사람
MSG워너비(정상동기) | MSG워너비 1집","10,618,972","유야호
지니뮤직, Stone Music Entertainment",,
30,1,"

운전만해 (We Ride)
브레이브걸스 (Brave Girls) | We Ride","9,923,515","브레이브 엔터테인먼트
Kakao Entertainment",,
31,1,"

상상더하기
라붐 (LABOUM) | Fresh Adventure","9,620,732","글로벌에이치미디어
인터파크",,
