Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

Ditto
NewJeans | NewJeans `OMG`","33,314,252","ADOR
YG PLUS",,
2,-,"

사건의 지평선
윤하 | YOUNHA 6th Album Repackage `END THEORY : Final Edition`","25,916,156","C9엔터테인먼트
Kakao Entertainment",,
3,2,"

Hype boy
NewJeans | NewJeans 1st EP `New Jeans`","20,944,660","ADOR
YG PLUS",,
4,1,"

Candy
NCT DREAM | Candy - Winter Special Mini Album","20,796,292","SM Entertainment
Dreamus",,
5,1,"

NOT SORRY (Feat. pH-1) (Prod. by Slom)
이영지 | 쇼미더머니 11 Episode 3","20,093,777","Stone Music Entertainment
지니뮤직",,
6,-,"

ANTIFRAGILE
LE SSERAFIM (르세라핌) | ANTIFRAGILE","16,846,426","쏘스뮤직
YG PLUS",,
7,1,"

After LIKE
IVE (아이브) | After LIKE","15,005,932","스타쉽엔터테인먼트
Kakao Entertainment",,
8,3,"

Attention
NewJeans | NewJeans 1st EP `New Jeans`","14,072,673","ADOR
YG PLUS",,
9,-,"

마이웨이 (MY WAY) (Prod. R.Tee)
저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los | 쇼미더머니 11 Episode 1","13,178,999","Stone Music Entertainment
지니뮤직",,
10,2,"

Nxde
(여자)아이들 | I love","13,100,883","큐브엔터테인먼트
Kakao Entertainment",,
11,3,"

새삥 (Prod. ZICO) (Feat. 호미들)
지코 (ZICO) | 스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)","12,568,837","Stone Music Entertainment
지니뮤직",,
12,4,"

LOVE DIVE
IVE (아이브) | LOVE DIVE","11,534,738","스타쉽엔터테인먼트
Kakao Entertainment",,
13,5,"

Monologue
테이 (Tei) | Monologue","10,689,377","방구석 캐스팅
Kakao Entertainment",,
14,1,"

Dreamers (Feat. FIFA Sound)
정국, 방탄소년단 | Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","9,815,534","Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
FUGA",,
15,5,"

Snowman
Sia | Snowman","9,479,498","Monkey Puzzle, Atlantic
Warner Music",,
16,9,"

너의 모든 순간
성시경 | 별에서 온 그대 OST Part 7","9,232,887","SBS 콘텐츠허브
Kakao Entertainment",,
17,5,"

WHEN I MOVE
카라 (KARA) | MOVE AGAIN","8,904,536","RBW
Dreamus",,
18,9,"

Shut Down
BLACKPINK | BORN PINK","8,757,455","YG Entertainment
YG PLUS",,
19,5,"

Rush Hour (Feat. j-hope of BTS)
크러쉬 (CRUSH) | Rush Hour","8,588,560","피네이션
Dreamus",,
20,new,"

미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)
허성현 (Huh) | 쇼미더머니 11 Semi Final","8,552,997","Stone Music Entertainment
지니뮤직",,
21,2,"

London Boy
임영웅 | Polaroid","8,534,875","물고기뮤직
Dreamus",,
22,15,"

All I Want For Christmas Is You
Mariah Carey | Merry Christmas (Deluxe Anniversary Edition)","8,436,844","Columbia/Legacy
Sony Music",,
23,6,"

눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)
던말릭 (Don Malik) | 쇼미더머니 11 Episode 3","8,435,657","Stone Music Entertainment
지니뮤직",,
24,4,"

사랑은 늘 도망가
임영웅 | 신사와 아가씨 OST Part.2","8,398,564","모스트콘텐츠
NHN벅스",,
25,10,"

Cookie
NewJeans | NewJeans 1st EP `New Jeans`","8,279,623","ADOR
YG PLUS",,
26,5,"

Polaroid
임영웅 | Polaroid","8,198,946","물고기뮤직
Dreamus",,
27,5,"

잘가요
주호 | 잘가요","8,100,885","레이벡스
Warner Music",,
28,2,"

Pink Venom
BLACKPINK | Pink Venom","7,998,141","YG Entertainment
YG PLUS",,
29,9,"

FEARLESS
LE SSERAFIM (르세라핌) | FEARLESS","7,896,537","쏘스뮤직
YG PLUS",,
30,1,"

해요 (2022)
#안녕 | 해요 (2022)","7,886,736","일팔 프로젝트
지니뮤직",,
31,6,"

사랑인가 봐
멜로망스(Melomance) | 사랑인가 봐 (사내맞선 OST 스페셜 트랙)","7,777,471","플렉스엠
Kakao Entertainment",,
32,19,"

Santa Tell Me
Ariana Grande | Santa Tell Me","7,732,205","Republic Records, a division of UMG Recordings,Inc
Universal Music",,
33,1,"

그때 그 순간 그대로 (그그그)
WSG워너비 (가야G) | WSG워너비 1집","7,616,603","MBC
Kakao Entertainment",,
34,7,"

TOMBOY
(여자)아이들 | I NEVER DIE","7,452,110","큐브엔터테인먼트
Kakao Entertainment",,
35,1,"

딱 10CM만
10cm, BIG Naughty (서동현) | 딱 10CM만","7,408,522","MAGIC STRAWBERRY SOUND, H1GHR MUSIC RECORDS
Kakao Entertainment",,
36,7,"

그대를 알고
송하예 | 그대를 알고","7,259,048","디스튜디오
Kakao Entertainment",,
37,8,"

정이라고 하자 (Feat. 10CM)
BIG Naughty (서동현) | 정이라고 하자","7,206,888","H1GHR MUSIC
Kakao Entertainment",,
38,8,"

그라데이션
10cm | 5.3","7,191,140","매직스트로베리사운드
Kakao Entertainment",,
39,5,"

나의 X에게
경서 | 나의 X에게","7,179,308","꿈의엔진
Kakao Entertainment",,
40,2,"

자격지심 (Feat. ZICO)
BE`O (비오) | FIVE SENSES","7,094,776","빅플래닛메이드, SWING ENTERTAINMENT, 페임어스 엔터테인먼트
Kakao Entertainment",,
41,2,"

내가 아니라도
주호 | 내가 아니라도","7,076,356","IN A MILLION
Warner Music",,
42,6,"

취중고백
김민석 | 취중고백","6,843,832","프로젝트 리본
Warner Music",,
43,6,"

ELEVEN
IVE (아이브) | ELEVEN","6,774,052","스타쉽엔터테인먼트
Kakao Entertainment",,
44,new,"

빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)
던말릭 (Don Malik) | 쇼미더머니 11 Semi Final","6,559,889","Stone Music Entertainment
지니뮤직",,
45,25,"

미리 메리 크리스마스 (Feat. 천둥)
아이유 (IU) | Real","6,492,143","Kakao Entertainment
Kakao Entertainment",,
46,4,"

That`s Hilarious
Charlie Puth | That`s Hilarious","6,362,491","Atlantic Records UK
Warner Music",,
47,5,"

다정히 내 이름을 부르면
경서예지, 전건호 | 다정히 내 이름을 부르면 (경서예지 x 전건호)","6,335,255","에버그로우
Kakao Entertainment",,
48,8,"

위하여 (We Higher) (Prod. GroovyRoom)
그루비룸 (GroovyRoom), 릴보이 (lIlBOI), Blase (블라세), 노윤하, Polodared, Chillin Homie, Fleeky Bang | 쇼미더머니 11 Episode 1","6,308,694","Stone Music Entertainment
지니뮤직",,
49,new,"

아픈 나를
성시경 | 나얼 ＜Ballad Pop City＞","6,267,284","롱플레이뮤직
Kakao Entertainment",,
50,6,"

첫사랑
백아 | 첫사랑","6,256,426","Baek A
Feel Music",,
51,2,"

보고싶었어
WSG워너비 (4FIRE) | WSG워너비 1집","6,172,860","MBC
Kakao Entertainment",,
52,5,"

눈이 오잖아 (Feat.헤이즈)
이무진 | 눈이 오잖아","6,155,179","쇼플레이
Kakao Entertainment",,
53,20,"

나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)
KHAN | 쇼미더머니 11 Episode 3","6,147,113","Stone Music Entertainment
지니뮤직",,
54,25,"

첫 눈
EXO | 겨울 스페셜 앨범 `12월의 기적 (Miracles In December)`","6,058,530","SM Entertainment
지니뮤직",,
55,4,"

그 겨울이 잠든 거리에서
경서예지, 전건호 | 그 겨울이 잠든 거리에서 (경서예지 x 전건호)","5,996,204","에버그로우
Kakao Entertainment",,
56,2,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","5,965,997","SM Entertainment
Dreamus",,
57,31,"

크리스마스니까
성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX) | Jelly Christmas 2012 Heart Project","5,875,758","젤리피쉬 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
58,2,"

LOVE me
BE`O (비오) | LOVE me","5,818,620","BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트
Kakao Entertainment",,
59,4,"

우린 그렇게 사랑해서
강민경, 잔나비 | 우린 그렇게 사랑해서","5,806,783","WAKEONE, 페포니뮤직
지니뮤직, Stone Music Entertainment",,
60,new,"

WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)
이영지 | 쇼미더머니 11 Semi Final","5,783,722","Stone Music Entertainment
지니뮤직",,
61,-,"

우리들의 블루스
임영웅 | IM HERO","5,764,628","물고기뮤직
Dreamus",,
62,2,"

Stay
The Kid LAROI, Justin Bieber | Stay","5,442,074","Columbia
Sony Music",,
63,3,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","5,438,822","꿈의엔진
Kakao Entertainment",,
64,HOT,"

Say I Love You
우디(Woody) | Say I Love You (Re : WIND 4MEN Vol.04)","5,426,275","메이저나인
지니뮤직",,
65,3,"

떠나보낼 준비해 둘걸 그랬어
임한별 | 떠나보낼 준비해 둘걸 그랬어","5,412,757","오늘의 선곡
Kakao Entertainment",,
66,43,"

Last Christmas
Ariana Grande | Christmas Kisses","5,410,946","Universal Music
Universal Music",,
67,4,"

주저하는 연인들을 위해
잔나비 | 전설","5,402,202","페포니 뮤직
Kakao Entertainment",,
68,10,"

오르트구름
윤하 | YOUNHA 6th Album `END THEORY`","5,305,354","C9엔터테인먼트
Kakao Entertainment",,
69,2,"

내 기쁨은 너가 벤틀리를 끄는 거야
김승민 | PROTOTYPE RESEARCH #0063","5,266,299","뷰티플노이즈
지니뮤직, Stone Music Entertainment",,
70,1,"

새벽에 걸려온 너의 전화는
한동근 | 미련을 말하는","5,062,553","말하는
Kakao Entertainment",,
71,4,"

다시 만날 수 있을까
임영웅 | IM HERO","4,910,239","물고기뮤직
Dreamus",,
72,2,"

도깨비불 (Illusion)
aespa | Girls - The 2nd Mini Album","4,784,425","SM Entertainment
Dreamus",,
73,19,"

Graduation
NCT DREAM | Candy - Winter Special Mini Album","4,774,239","SM Entertainment
Dreamus",,
74,5,"

That That (prod. & feat. SUGA of BTS)
싸이 (Psy) | 싸다9","4,747,806","피네이션
Dreamus",,
75,3,"

FOREVER 1
소녀시대 | FOREVER 1 - The 7th Album","4,621,242","SM Entertainment
Dreamus",,
76,9,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","4,617,136","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
77,7,"

봄여름가을겨울 (Still Life)
BIGBANG (빅뱅) | 봄여름가을겨울 (Still Life)","4,616,371","YG Entertainment
YG PLUS",,
78,3,"

I Don`t Think That I Like Her
Charlie Puth | CHARLIE","4,614,865","Atlantic Records
Warner Music",,
79,2,"

Love story
볼빨간사춘기 | Seoul","4,512,319","쇼파르엔터테인먼트
NHN벅스",,
80,8,"

Dynamite
방탄소년단 | Dynamite","4,418,082","BIGHIT MUSIC / HYBE
YG PLUS",,
81,7,"

흩어지지 않게
엠씨더맥스 (M.C the MAX) | 흩어지지 않게","4,271,346","325 이엔씨
Kakao Entertainment",,
82,14,"

WE (Feat. 박재범) (Prod. by Slom)
이영지, 토이고 (toigo), 제이켠 (J`Kyun), 잠비노 (Jambino), XINSAYNE | 쇼미더머니 11 Episode 1","4,242,950","Stone Music Entertainment
지니뮤직",,
83,1,"

SNEAKERS
ITZY (있지) | CHECKMATE","4,207,620","JYP Entertainment
Dreamus",,
84,25,"

으리으리 (Feat. 호미들)
NSW yoon | 쇼미더머니 11 Episode 3","4,104,821","Stone Music Entertainment
지니뮤직",,
85,6,"

드라마
아이유 (IU) | 조각집","4,098,510","EDAM엔터테인먼트
Kakao Entertainment",,
86,13,"

Unholy
Sam Smith, Kim Petras | Unholy","4,041,881","EMI
Universal Music",,
87,2,"

Feel My Rhythm
레드벨벳(Red Velvet) | `The ReVe Festival 2022 - Feel My Rhythm`","4,021,744","SM Entertainment
Dreamus",,
88,10,"

Made You Look
Meghan Trainor | Takin` It Back","4,012,556","Epic
Sony Music",,
89,42,"

Make It To Christmas
Alessia Cara | Make It To Christmas","3,992,848","EP Entertainment, LLC / Def Jam
Universal Music",,
90,-,"

스티커 사진
21학번 | 스티커 사진","3,876,695","제나두 엔터테인먼트
NHN벅스",,
91,10,"

봄날
방탄소년단 | YOU NEVER WALK ALONE","3,824,488","BIGHIT MUSIC / HYBE
YG PLUS",,
92,15,"

무지개
임영웅 | IM HERO","3,815,700","물고기뮤직
Dreamus",,
93,11,"

Butter
방탄소년단 | Butter","3,803,987","BIGHIT MUSIC / HYBE
YG PLUS",,
