Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","41,890,587","브레이브 엔터테인먼트
케미컬레코드",,
2,1,"

Celebrity
아이유 (IU) | Celebrity","31,937,947","EDAM엔터테인먼트
Kakao Entertainment",,
3,1,"

별빛 같은 나의 사랑아
임영웅 | 별빛 같은 나의 사랑아","28,447,899","티조컬처앤컨텐츠, 뉴에라프로젝트, 물고기뮤직
Kakao Entertainment",,
4,new,"

라일락
아이유 (IU) | 5th Album `LILAC`","28,030,137","EDAM엔터테인먼트
Kakao Entertainment",,
5,1,"

On The Ground
로제 (ROSE) | R","25,489,431","YG Entertainment
YG PLUS",,
6,1,"

LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
양요섭, 정은지 | LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST","20,159,956","TOON STUDIO, 느을
Kakao Entertainment",,
7,new,"

Coin
아이유 (IU) | 5th Album `LILAC`","18,749,034","EDAM엔터테인먼트
Kakao Entertainment",,
8,-,"

Dynamite
방탄소년단 | Dynamite","17,730,738","BIGHIT MUSIC / HYBE
Dreamus",,
9,2,"

Don`t Call Me
샤이니 (SHINee) | Don`t Call Me - The 7th Album","17,341,648","SM Entertainment
Dreamus",,
10,1,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","16,676,233","꿈의엔진
Kakao Entertainment",,
11,new,"

Flu
아이유 (IU) | 5th Album `LILAC`","15,167,156","EDAM엔터테인먼트
Kakao Entertainment",,
12,2,"

밝게 빛나는 별이 되어 비춰줄게
송이한 | 밝게 빛나는 별이 되어 비춰줄게","14,717,636","뮤직디자인
Kakao Entertainment",,
13,2,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","14,461,881","더그루브엔터테인먼트
Kakao Entertainment",,
14,new,"

봄 안녕 봄
아이유 (IU) | 5th Album `LILAC`","14,363,092","EDAM엔터테인먼트
Kakao Entertainment",,
