music,singer,release_date,category,music_like,movie_like,movie_views
Crush,2NE1,2014.02.27,일렉트로니카,73581,842,731653
보름달,선미,2014.02.17,댄스,66095,1230,1041464
너 아님 안돼,2NE1,2014.02.27,일렉트로니카,47279,717,303940
썸,"소유, 정기고",2014.02.07,R&B/Soul,167423,898,1237892
Can’t Stop,씨엔블루,2014.02.24,록/메탈,37279,482,192614
Come Back Home,2NE1,2014.02.27,일렉트로니카,73581,842,731653
그대라는 이유,먼데이 키즈,2014.03.11,발라드,4243,196,18616
벚꽃 엔딩,버스커 버스커,2012.03.29,록/메탈,334707,2275,690945
"널 사랑한다, 지운다, 또 운다",신용재,2014.03.12,"발라드, 국내드라마",18327,,
약속,김수현,2014.03.13,"발라드, 국내드라마",9894,,
Delicious,투하트,2014.03.10,댄스,20351,1704,115582
보고 싶어...운다,린,2014.03.06,발라드,21673,107,57497
까탈레나,오렌지 캬라멜,2014.03.12,댄스,45401,854,1856687
그대라구요,정은지,2014.03.05,"발라드, 국내드라마",22169,,
지구가 태양을 네 번,넬,2014.02.27,록/메탈,44547,615,60252
White,"카라(Kara), 레인보우(Rainbow), 오종혁, A-JAX, DSP Girls(소민, 채원)",2016.02.15,댄스,769,,
슬픈 인연,박윤하,2014.12.11,발라드,7620,,
Must Have Love,"SG워너비, 브라운 아이드 걸스",2006.11.16,R&B/Soul,71756,624,70621
끝,2LSON,2014.12.19,R&B/Soul,11646,184,68999
나처럼 사랑했을까,"포스트맨, 바닐라 어쿠스틱",2014.12.19,발라드,13919,,
그래도..그래서..,임시완,2014.12.12,"발라드, 국내드라마",4691,,
지친 하루,윤종신,2014.12.20,록/메탈,84878,1028,161407
나홀로 크리스마스,"바이브, 포맨, 벤, 임세준, 미, 민연재",2014.12.16,R&B/Soul,4565,604,84879
둘이면,김태우,2014.12.16,발라드,2973,,
너일까,신용재,2014.12.18,발라드,5777,,
It`s Christmas Day,로이킴,2014.12.19,포크/블루스,10716,822,66327
하나뿐인 사람,케이윌,2014.12.18,"발라드, 국내드라마",19826,,
청춘연가,넬,2014.12.15,록/메탈,22677,990,75828
마음대로,이진아,2014.12.14,발라드,18609,,
The Christmas Song,성시경,2002.11.26,-,28,,
Jingle Bells,성시경,2014.12.09,발라드,1440,,
White Christmas,성시경,2004.11.24,-,1307,,
I`ll Be Home For Christmas,성시경,2014.12.09,발라드,1574,,
Sleigh Ride,성시경,2014.12.09,발라드,1930,,
반대로만 살자.,V.O.S,2015.03.11,발라드,363,,
녹여줘,에릭남,2014.12.10,댄스,9592,426,41124
겁나,멜로디데이,2014.12.12,발라드,8225,270,152551
Have Yourself A Merry Little Christmas,성시경,2014.12.09,발라드,2847,,
눈보다 먼저,칸토,2014.12.11,랩/힙합,7111,156,43884
Let It Snow,성시경,2014.12.09,발라드,2659,,
가리워진 길,볼빨간사춘기,2014.12.05,"포크/블루스, 국내드라마",33507,,
RE : 나에게,윤상,2014.12.11,발라드,16264,,
니 말대로,김나영,2014.12.09,발라드,18089,329,90169
대낮에 한 이별,수지 & 버나드 박,2014.12.09,발라드,18421,,
Baby It`s Cold Outside,"성시경, 에일리",2014.12.09,발라드,6590,,
함께,인피니트,2014.12.08,"발라드, 국내영화",21695,7073,144426
Winter Wonderland,성시경,2014.12.09,발라드,53078,1268,316050
아무일 없었다는 듯,"휘성, 알리",2014.12.09,발라드,6175,,
Angel,"윤미래, 타이거JK, 비지",2014.12.08,랩/힙합,45025,1079,462394
사랑에 빠지고 싶다,정승환,2014.12.07,발라드,99534,,
Rockin` With The Best,"더 콰이엇, 도끼, 빈지노(Beenzino)",2014.11.28,랩/힙합,20697,,
첫눈이 온다구요,손승연,2014.12.04,발라드,6146,137,42421
Brand New Day,"버벌진트(Verbal Jint), 산이(San E), 팬텀(Phantom), 애즈원(As One), 피타입(P-Type), 태완, 강민희, 칸토, 샴페인&캔들, 양다일, DJ IT",2014.12.05,랩/힙합,7420,491,103843
웃는 것밖에,스탠딩 에그(Standing Egg),2014.12.05,"인디음악, 포크/블루스",10243,,
크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스",2012.12.06,발라드,161999,6712,565530
새벽비,샤넌,2014.12.01,댄스,11391,411,252007
Finale,"소진, 도끼",2014.12.01,R&B/Soul,6948,,
싱숭생숭,"다이나믹 듀오, 박정현",2014.12.05,랩/힙합,49775,281,213140
울어도 돼,비투비,2014.12.22,댄스,58215,5076,224311
가슴이 뛴다,인피니트F,2014.12.01,댄스,15708,3661,260724
나쁜 소문,지아,2014.12.02,발라드,6032,440,120337
Love Is You,"케이윌(K.will), 씨스타, 정기고(Junggigo), 매드 클라운(Mad Clown), 보이프렌드, 주영",2014.12.04,댄스,14900,1785,366340
엄마로 산다는 것은,이설아,2014.11.30,발라드,15426,,
이리와봐,MASTA WU,2014.12.02,랩/힙합,18204,597,431711
잊지 말기로 해,"성시경, 권진아",2014.12.09,발라드,53078,1268,316050
임박사와 함께 춤을,임창정,2014.11.24,댄스,2889,750,183777
Little Apple With 젓가락형제,티아라,2014.11.24,댄스,3269,518,296508
자꾸 생각나,로꼬,2014.11.28,랩/힙합,24220,934,272046
눈물고드름,김연우,2014.11.27,발라드,7463,191,29105
날 안아줘,40,2014.11.26,R&B/Soul,6347,83,18546
바라보기,엠씨더맥스,2014.11.28,"발라드, 국내드라마",71186,1485,193216
지우다,써니힐,2014.11.27,발라드,3201,286,84153
