,music,singer,release_date,category,music_like,movie_like,movie_views,Unnamed: 0
0,모노드라마,"허각, 유승우",2013.02.05,발라드,87466,181.0,220476.0,
1,라면인건가,AKMU,2013.02.17,포크/블루스,36725,,,
2,있다 없으니까,씨스타19,2013.01.31,댄스,56138,441.0,629192.0,
3,눈꽃,거미,2013.02.27,"발라드, 국내드라마",52474,,,
4,거북이,다비치,2013.03.04,발라드,92257,587.0,208556.0,
5,어느 봄날,2am,2013.03.05,발라드,29275,142.0,27769.0,
6,Rose,이하이,2013.03.28,R&B/Soul,84389,698.0,322475.0,
7,It`s Over,이하이,2013.03.28,R&B/Soul,20669,518.0,119886.0,
8,그대로 있어도 돼,슈프림팀,2013.03.19,랩/힙합,44855,422.0,79998.0,
9,둘이서 한잔해,다비치,2013.03.18,발라드,22103,443.0,60025.0,
10,기대해,걸스데이,2013.03.14,댄스,41519,1537.0,1773128.0,
11,그리고 하나,태연,2013.03.13,"발라드, 국내드라마",45402,,,
12,Crescendo,AKMU,2013.03.10,댄스,73138,,,
13,이게 사랑이 아니면,버벌진트,2013.02.21,랩/힙합,41323,110.0,52263.0,
14,굿바이,홍대광,2013.04.19,발라드,23456,110.0,41644.0,
15,그 거리..,윤하,2008.08.05,발라드,18802,,,
16,왜,MC 스나이퍼,2013.08.08,랩/힙합,1218,,,
17,MAMAMA,테이스티,2013.08.08,댄스,2924,288.0,44563.0,
18,교생쌤,NC.A,2014.04.09,발라드,1146,,,
19,한 사람만 보여요,"창민, 다희",2013.07.01,"발라드, 국내드라마",8645,,,
20,낭만여행,제이레빗,2014.06.20,"인디음악, 포크/블루스",3794,,,
21,사랑이 떠난다,안예슬,2013.09.25,"발라드, 국내드라마",144,,,
22,Officially Missing You - 헬로비너스 우리들의 이야기,헬로비너스,2013.08.13,댄스,1478,,,
23,우리둘이,김형준,2013.08.13,발라드,1142,63.0,7967.0,
24,너만 원해,나몰라패밀리N,2013.08.12,랩/힙합,685,,,
25,미라클,이영현,2013.08.05,"발라드, 국내드라마",2880,56.0,35465.0,
26,그사람 사랑하지마,민연재,2013.08.13,랩/힙합,2812,29.0,20839.0,
27,이별 앞에 서다,쿨,2013.08.02,발라드,4670,,,
28,장난 아니야,수호,2013.08.14,"랩/힙합, 인디음악",117,,,
29,No Love,엠블랙,2013.08.12,댄스,1937,125.0,20256.0,
30,사랑한다 말할까봐,어쿠스틱 콜라보,2013.08.09,"인디음악, 포크/블루스",13975,,,
31,바람의 유령,제국의아이들,2013.08.09,댄스,18500,347.0,208499.0,
32,프라프치노,제이워크,2013.08.14,발라드,7925,152.0,9881.0,
33,운동화 사줄께,"신지수, 마이노스",2013.08.12,랩/힙합,4814,,,
34,다알아,팬텀,2013.08.14,랩/힙합,9051,72.0,14322.0,
35,A Real Lady,스윙스,2013.08.12,랩/힙합,48074,281.0,177642.0,
36,Papa Don`t Cry,미스터 파파,2013.08.10,발라드,5826,,,
37,맘도둑,강승윤,2013.08.14,록/메탈,13352,2139.0,163956.0,
38,사랑하고 있습니다,투빅,2013.08.13,"발라드, 국내드라마",22021,,,
39,넌 내꺼라는걸,허각,2013.08.13,댄스,20468,,,
40,Lucky,EXO,2013.08.05,댄스,81274,,,
41,XOXO,EXO,2013.08.05,댄스,179410,12751.0,3711597.0,
42,Hate You,레이디스 코드,2013.08.06,댄스,6797,,,
43,너와 나의 거리,샤이니,2013.08.08,발라드,54752,,,
44,Luv is,임정희,2013.08.08,발라드,11444,45.0,40737.0,
45,Do You Love Me,2NE1,2013.08.07,댄스,19170,493.0,333506.0,
46,날개뼈,다이나믹 듀오,2013.07.01,랩/힙합,49857,117.0,84554.0,
47,Ending Page,f(x),2013.07.29,일렉트로니카,11894,,,
48,시그널,f(x),2013.07.29,댄스,12663,,,
49,말해줘요,걸스데이,2013.07.30,댄스,15943,,,
50,미행,f(x),2013.07.29,댄스,44198,,,
51,여우 같은 내 친구,f(x),2013.07.29,댄스,13070,,,
52,비키니,"티아라, 다비치",2013.08.01,댄스,4496,603.0,269937.0,
53,Airplane,f(x),2013.07.29,댄스,35955,,,
54,Goodbye Summer),f(x),2013.07.29,발라드,115302,,,
55,지독한 사랑,임정희,2013.07.17,"발라드, 국내드라마",2202,50.0,25406.0,
56,Fire,디셈버,2013.07.23,발라드,352,,,
57,어디 갈래,"태완, 개리, 크러쉬",2013.07.23,R&B/Soul,13612,,,
58,그대 내 품에,하동균,2013.07.20,발라드,7571,1699.0,443404.0,
59,두눈에. 두볼에. 가슴에,김연지,2013.07.01,"발라드, 국내드라마",8431,,,
60,너에게 간다,인피니트,2013.07.16,댄스,17296,,,
61,Incredible,XIA(준수),2013.07.15,댄스,17196,2611.0,190488.0,
62,Destiny,인피니트,2013.07.16,댄스,42028,5872.0,375482.0,
63,거품 안 넘치게 따라줘,다이나믹 듀오,2013.07.01,랩/힙합,27081,101.0,43371.0,
