,music,singer,music_id,release_date,category,music_like,comment_count,within 7days,ost,rank_count
0,dancing queen,소녀시대,3994911,2013-01-01,댄스,21566,36,1,0,11
1,사랑은 이렇게,케이윌,3995922,2012-12-22,발라드,9927,11,0,1,8
2,숲,이승기,3968836,2012-11-22,발라드,155630,361,0,0,3
3,카페인,양요섭,3971021,2012-11-26,발라드,80677,205,0,0,14
4,매력있어,akmu,3987723,2012-12-12,포크/블루스,38280,36,0,0,17
5,크리스마스니까,"성시경,박효신,이석훈,서인국,빅스",3973781,2012-12-06,발라드,162004,661,0,0,51
6,goodbye to romance,써니힐,3986978,2012-12-14,발라드,72387,278,0,0,14
7,don t go,디셈버,3994075,2012-12-20,발라드,6583,10,0,0,6
8,thank u for,xia,3996293,2012-12-24,발라드,20535,78,1,0,3
9,"officially missing you, too","긱스,소유",3946867,2012-11-01,발라드,108329,76,0,0,21
10,하지 못한 말,노을,3953192,2012-11-06,발라드,91764,124,0,0,15
11,반창꼬,노을,3986186,2012-12-11,발라드,31506,30,0,0,12
12,talk that,시크릿,3976699,2012-12-04,댄스,11959,23,0,0,9
13,나쁜 사람,주니엘,3983239,2012-12-10,발라드,14129,15,0,0,10
14,키다리 아저씨,백아연,3989869,2012-12-15,발라드,13039,9,0,1,7
15,혼자라고 생각말기,김보경,4021259,2013-01-28,발라드,41759,89,0,0,17
16,다리꼬지마,akmu,3970899,2012-11-25,포크/블루스,41645,49,0,0,10
17,눈물나게 아름다운,"조권,니엘,지오,양요섭,우현",3995040,2012-12-21,랩/힙합,7297,4,0,0,4
18,하얀 겨울,"김범수,박정현",3976916,2012-11-30,발라드,21461,34,0,0,4
19,하얀 설레임,"케이윌,소유,정민",3975504,2012-11-29,댄스,18668,28,0,0,4
20,"1,2,3,4",이하이,3946768,2012-10-29,R&B/Soul,74601,77,0,0,12
21,보여줄게,에일리,3929469,2012-10-16,댄스,98344,123,0,0,12
22,안아보자,제아,4000530,2013-01-04,R&B/Soul,12506,11,1,0,8
23,서랍정리,빅마마,3995016,2012-12-27,발라드,2692,7,1,0,4
24,다 잊었니,투빅,3999236,2012-12-27,발라드,7065,5,1,0,5
25,회상,김종국,3995096,2012-12-21,발라드,2923,1,0,0,2
26,yesterday,"정진운,엘조,이준,호야,이기광",3999213,2012-12-27,댄스,15518,33,1,0,4
27,썸데이,더원,3996324,2012-12-23,발라드,21467,21,0,0,3
28,힐링이 필요해,로이킴,3964483,2012-11-19,록/메탈,37761,49,0,0,8
29,다 예뻐,"한선화,영재",3999217,2012-12-27,발라드,14769,33,1,0,6
30,먼지가 되어,"로이킴,정준영",3928293,2012-10-15,록/메탈,60110,168,0,0,10
31,인어공주,"강지영,보라,한선화,허가윤,리지",3997737,2012-12-26,댄스,20467,147,1,0,5
32,이러지마 제발,케이윌,3922071,2012-10-11,발라드,80786,142,0,0,8
33,휘파람,로이킴,3936237,2012-10-22,발라드,53094,62,0,0,8
