album,end_date,music,rank,singer,start_date,week_num,year
I love,2022.10.29,Nxde,1,(여자)아이들,2022.10.23,44,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.10.29,새삥 (Prod. ZICO) (Feat. 호미들),2,지코 (ZICO),2022.10.23,44,2022
ANTIFRAGILE,2022.10.29,ANTIFRAGILE,3,LE SSERAFIM (르세라핌),2022.10.23,44,2022
After LIKE,2022.10.29,After LIKE,4,IVE (아이브),2022.10.23,44,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.10.29,사건의 지평선,5,윤하,2022.10.23,44,2022
NewJeans 1st EP `New Jeans`,2022.10.29,Hype boy,6,NewJeans,2022.10.23,44,2022
Rush Hour,2022.10.29,Rush Hour (Feat. j-hope of BTS),7,크러쉬 (CRUSH),2022.10.23,44,2022
NewJeans 1st EP `New Jeans`,2022.10.29,Attention,8,NewJeans,2022.10.23,44,2022
BORN PINK,2022.10.29,Shut Down,9,BLACKPINK,2022.10.23,44,2022
I love,2022.11.05,Nxde,1,(여자)아이들,2022.10.30,45,2022
BORN PINK,2022.10.29,Shut Down,10,BLACKPINK,2022.10.23,44,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.11.05,사건의 지평선,2,윤하,2022.10.30,45,2022
LOVE DIVE,2022.10.29,LOVE DIVE,11,IVE (아이브),2022.10.23,44,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.11.05,새삥 (Prod. ZICO) (Feat. 호미들),3,지코 (ZICO),2022.10.30,45,2022
Pink Venom,2022.10.29,Pink Venom,12,BLACKPINK,2022.10.23,44,2022
ANTIFRAGILE,2022.11.05,ANTIFRAGILE,4,LE SSERAFIM (르세라핌),2022.10.30,45,2022
딱 10CM만,2022.10.29,딱 10CM만,13,"10cm, BIG Naughty (서동현)",2022.10.23,44,2022
After LIKE,2022.11.05,After LIKE,5,IVE (아이브),2022.10.30,45,2022
FIVE SENSES,2022.10.29,자격지심 (Feat. ZICO),14,BE`O (비오),2022.10.23,44,2022
