year,week_num,start_date,end_date,rank,music,singer,album
2014,52,2014.12.21,2014.12.27,1,사랑에 빠지고 싶다,정승환,K팝 스타 시즌4 `사랑에 빠지고 싶다`
2014,52,2014.12.21,2014.12.27,2,마음대로,이진아,K팝 스타 시즌4 `마음대로`
2014,52,2014.12.21,2014.12.27,3,LUV,에이핑크 (Apink),Pink LUV
2014,52,2014.12.21,2014.12.27,4,Angel,"윤미래, 타이거JK, 비지",Angel
2014,52,2014.12.21,2014.12.27,5,위아래,EXID,위아래
2014,52,2014.12.21,2014.12.27,6,광화문에서 (At Gwanghwamun),규현 (KYUHYUN),The 1st Mini Album `광화문에서 (At Gwanghwamun)`
2014,52,2014.12.21,2014.12.27,7,잊지 말기로 해,"성시경, 권진아",Winter Wonderland
2014,52,2014.12.21,2014.12.27,8,GOOD BOY,GD X TAEYANG,GOOD BOY
2014,52,2014.12.21,2014.12.27,9,청춘연가,넬 (Nell),청춘연가
2014,52,2014.12.21,2014.12.27,10,Problem (Feat. Iggy Azalea),Ariana Grande,Problem
2014,52,2014.12.21,2014.12.27,11,싱숭생숭 (SsSs),"다이나믹 듀오 (Dynamic Duo), 박정현",싱숭생숭 (SsSs)
2014,52,2014.12.21,2014.12.27,12,세 사람 (With 성시경),토이 (Toy),Da Capo
2014,52,2014.12.21,2014.12.27,13,사뿐사뿐 (Like a Cat),AOA,사뿐사뿐
2014,52,2014.12.21,2014.12.27,14,HAPPY TOGETHER,박효신,HAPPY TOGETHER
2014,52,2014.12.21,2014.12.27,15,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX)",Jelly Christmas 2012 Heart Project
2014,52,2014.12.21,2014.12.27,16,하나뿐인 사람,케이윌 (K.will),피노키오 OST Part 5
2014,52,2014.12.21,2014.12.27,17,니가 모르게 (You Don`t Know),로꼬 (LOCO),LOCOMOTIVE
2014,52,2014.12.21,2014.12.27,18,나는 달라 (Feat. BOBBY),HI SUHYUN,나는 달라
2014,52,2014.12.21,2014.12.27,19,Love Is You,"케이윌(K.will), 씨스타, 정기고(Junggigo), 매드 클라운(Mad Clown), 보이프렌드, 주영",Starship Planet 2014 (스타쉽플래닛)
2014,52,2014.12.21,2014.12.27,20,지워 (Feat. 아이언),"효린, 주영",지워
2014,52,2014.12.21,2014.12.27,21,시간아 천천히,이진아,K팝 스타 시즌4 `시간아 천천히`
2014,52,2014.12.21,2014.12.27,22,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Real
2014,52,2014.12.21,2014.12.27,23,사랑에 빠지고 싶다,김조한,사랑에 빠지고 싶다
2014,52,2014.12.21,2014.12.27,24,12시 30분,비스트 (Beast),Time
2014,52,2014.12.21,2014.12.27,25,쓰담쓰담,10cm,3.0
2014,52,2014.12.21,2014.12.27,26,내가 그리웠니 (Feat. 진실 of Mad Soul Child),MC몽,MISS ME OR DISS ME
2014,52,2014.12.21,2014.12.27,27,It`s Christmas Day,로이킴,It`s Christmas Day
2014,52,2014.12.21,2014.12.27,28,아무일 없었다는 듯,"휘성, 알리 (ALi)",아무일 없었다는 듯
2014,52,2014.12.21,2014.12.27,29,너일까,신용재,Light
2014,52,2014.12.21,2014.12.27,30,헤픈엔딩 (Feat. 조원선 of 롤러코스터),에픽하이 (EPIK HIGH),신발장
2014,52,2014.12.21,2014.12.27,31,피노키오,로이킴,피노키오 OST Part 2
2014,52,2014.12.21,2014.12.27,32,내 생애 가장 행복한 시간 (Feat. 허각),MC몽,MISS ME OR DISS ME
2014,52,2014.12.21,2014.12.27,33,겁나 (Feat. 매드클라운),멜로디데이,겁나
2014,52,2014.12.21,2014.12.27,34,산다는 건 (Cheer Up),홍진영,인생노트 (LIFE NOTE)
2014,52,2014.12.21,2014.12.27,35,"이리와봐 (Feat. Dok2, BOBBY)",MASTA WU,이리와봐
2014,52,2014.12.21,2014.12.27,36,신촌을 못가,포스트맨 (Postmen),신촌을 못가
2014,52,2014.12.21,2014.12.27,37,Winter Wonderland,성시경,Winter Wonderland
2014,52,2014.12.21,2014.12.27,38,야생화,박효신,야생화
2014,52,2014.12.21,2014.12.27,39,Lost Stars,Adam Levine,영화 Begin Again OST
2014,52,2014.12.21,2014.12.27,40,"BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO, BOBBY)",에픽하이 (EPIK HIGH),신발장
2014,52,2014.12.21,2014.12.27,41,둘이면,김태우,둘이면
2014,52,2014.12.21,2014.12.27,42,U & I (With Crush & 빈지노),토이 (Toy),Da Capo
2014,52,2014.12.21,2014.12.27,43,Piano Man,마마무 (Mamamoo),Piano Man
2014,52,2014.12.21,2014.12.27,44,바라보기,엠씨더맥스 (M.C The Max),미녀의 탄생 OST PART 4
2014,52,2014.12.21,2014.12.27,45,All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
2014,52,2014.12.21,2014.12.27,46,언제쯤이면 (Duet.아이유),윤현상,피아노포르테 (Pianoforte)
2014,52,2014.12.21,2014.12.27,47,나홀로 크리스마스 (Lonely Christmas),"바이브, 포맨, 벤, 임세준, 미, 민연재",나홀로 크리스마스 (Made in The VIBE)
2014,52,2014.12.21,2014.12.27,48,손대지마,에일리 (Ailee),Magazine
2014,52,2014.12.21,2014.12.27,49,울어도 돼,비투비 (BTOB),The Winter`s Tale
2014,52,2014.12.21,2014.12.27,50,죽을만큼 아파서 Part 2 (Feat. 스웨덴세탁소),MC몽,MISS ME OR DISS ME
2014,52,2014.12.21,2014.12.27,51,우리 다시 사랑한다면,투빅 (2BiC),Genuine
2014,52,2014.12.21,2014.12.27,52,공허해,위너(WINNER),2014 S/S
2014,52,2014.12.21,2014.12.27,53,"지친 하루 (With 곽진언, 김필)",윤종신,2014 월간 윤종신 12월호
2014,52,2014.12.21,2014.12.27,54,그래도..그래서..,임시완,미생 OST Part 5
2014,52,2014.12.21,2014.12.27,55,마주보기,화요비,마주보기
2014,52,2014.12.21,2014.12.27,56,도망가자 (Feat. 린),MC몽,MISS ME OR DISS ME
2014,52,2014.12.21,2014.12.27,57,"화장 지웠어 (Feat. Zion.T, HA:TFELT) (No make up)",개코,REDINGRAY
2014,52,2014.12.21,2014.12.27,58,그녀가 말했다 (With 권진아),토이 (Toy),Da Capo
2014,52,2014.12.21,2014.12.27,59,펑펑,알리 (ALi),Turning Point
2014,52,2014.12.21,2014.12.27,60,어떻게 사랑이 그래요,이승환,Hwantastic
