year,week_num,start_date,end_date,rank,music,singer,album
2019,45,2019.11.03,2019.11.09,1,Love poem,아이유 (IU),Love poem
2019,45,2019.11.03,2019.11.09,2,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
2019,45,2019.11.03,2019.11.09,3,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8
2019,45,2019.11.03,2019.11.09,4,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album
2019,45,2019.11.03,2019.11.09,5,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
2019,45,2019.11.03,2019.11.09,6,새 사랑,송하예,새 사랑
2019,45,2019.11.03,2019.11.09,7,조금 취했어 (Prod. 2soo),임재현,조금 취했어
2019,46,2019.11.10,2019.11.16,1,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
2019,45,2019.11.03,2019.11.09,8,조금 취했어 (Prod. 2soo),임재현,조금 취했어
2019,46,2019.11.10,2019.11.16,2,Love poem,아이유 (IU),Love poem
2019,45,2019.11.03,2019.11.09,9,이 번호로 전화해줘,바이브 (Vibe),이 번호로 전화해줘
2019,46,2019.11.10,2019.11.16,3,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
2019,45,2019.11.03,2019.11.09,10,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어
2019,46,2019.11.10,2019.11.16,4,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8
2019,45,2019.11.03,2019.11.09,11,있어줘요,장덕철,있어줘요
2019,46,2019.11.10,2019.11.16,5,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
2019,45,2019.11.03,2019.11.09,12,안녕,폴킴,호텔 델루나 OST Part.10
2019,46,2019.11.10,2019.11.16,6,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album
2019,45,2019.11.03,2019.11.09,13,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub),Red Moon : To You My Light
