Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
1,-,"

Stay
The Kid LAROI, Justin Bieber | Stay","25,777,993","Columbia
Sony Music",,
2,1,"

신호등
이무진 | 신호등","22,725,197","쇼플레이
Kakao Entertainment",,
3,1,"

My Universe
Coldplay, 방탄소년단 | My Universe","22,702,775","Parlophone UK
Warner Music",,
4,new,"

Savage
aespa | Savage - The 1st Mini Album","21,000,297","SM Entertainment
Dreamus",,
5,3,"

낙하 (with 아이유)
AKMU (악뮤) | NEXT EPISODE","19,487,199","YG Entertainment
YG PLUS",,
6,2,"

Next Level
aespa | Next Level","18,531,513","SM Entertainment
Dreamus",,
7,2,"

OHAYO MY NIGHT
디핵 (D-Hack), PATEKO(파테코) | OHAYO MY NIGHT","17,619,232","NEOKIDZ
YG PLUS",,
8,2,"

바라만 본다
MSG워너비(M.O.M) | MSG워너비 1집","16,573,032","유야호
지니뮤직, Stone Music Entertainment",,
9,2,"

Permission to Dance
방탄소년단 | Butter / Permission to Dance","16,051,028","BIGHIT MUSIC / HYBE
YG PLUS",,
10,1,"

Weekend
태연 (TAEYEON) | Weekend","15,717,802","SM Entertainment
Dreamus",,
11,1,"

Butter
방탄소년단 | Butter","14,539,039","BIGHIT MUSIC / HYBE
YG PLUS",,
12,6,"

다정히 내 이름을 부르면
경서예지, 전건호 | 다정히 내 이름을 부르면 (경서예지 x 전건호)","14,023,356","에버그로우
Kakao Entertainment",,
13,1,"

Bad Habits
Ed Sheeran | Bad Habits","13,945,006","Atlantic Records UK
Warner Music",,
14,2,"

Peaches (Feat. Daniel Caesar, Giveon)
Justin Bieber | Justice","13,475,790","RBMG/Def Jam
Universal Music",,
15,1,"

시간을 거슬러 (낮에 뜨는 달 X 케이윌)
케이윌 (K.Will) | 시간을 거슬러 (낮에 뜨는 달 X 케이윌) OST","13,157,132","TOON STUDIO
Kakao Entertainment",,
16,3,"

좋아좋아
조정석 | 슬기로운 의사생활 시즌2 OST Part 5","12,852,427","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
17,-,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","12,842,975","피네이션
지니뮤직, Stone Music Entertainment",,
18,7,"

Queendom
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","12,828,254","SM Entertainment
Dreamus",,
19,4,"

DUMB DUMB
전소미 | DUMB DUMB","12,703,446","The Black Label
YG PLUS",,
20,-,"

고백
멜로망스(Melomance) | 세 번째 `고백`","12,131,408","카카오엔터테인먼트, 민트페이퍼, 광합성
Kakao Entertainment",,
21,-,"

Dynamite
방탄소년단 | Dynamite","11,811,402","BIGHIT MUSIC / HYBE
YG PLUS",,
22,3,"

가을 타나 봐
이무진 | 가을 타나 봐 (REVIBE Vol.4)","11,543,401","메이저나인
지니뮤직",,
23,-,"

라일락
아이유 (IU) | 5th Album `LILAC`","10,747,457","EDAM엔터테인먼트
Kakao Entertainment",,
24,2,"

비와 당신
이무진 | 슬기로운 의사생활 시즌2 OST Part 1","10,452,090","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
25,1,"

Celebrity
아이유 (IU) | Celebrity","10,102,431","EDAM엔터테인먼트
Kakao Entertainment",,
26,2,"

LOCO
ITZY (있지) | CRAZY IN LOVE","10,072,639","JYP Entertainment
Dreamus",,
27,2,"

비가 오는 날엔 (2021)
헤이즈 (Heize) | 비가 오는 날엔 (2021)","10,069,924","PLAYLIST
지니뮤직, Stone Music Entertainment",,
28,1,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","9,949,698","브레이브 엔터테인먼트
음악형제들",,
29,5,"

Dun Dun Dance
오마이걸 (OH MY GIRL) | Dear OHMYGIRL","9,945,166","WM엔터테인먼트
Sony Music",,
30,1,"

색안경 (STEREOTYPE)
STAYC(스테이씨) | STEREOTYPE","9,644,257","하이업엔터테인먼트
Kakao Entertainment",,
31,50,"

사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치))
이해리 | 사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)) OST","9,197,620","TOON STUDIO, MATCHERS
Kakao Entertainment",,
32,2,"

ASAP
STAYC(스테이씨) | STAYDOM","9,177,318","하이업엔터테인먼트
Kakao Entertainment",,
33,12,"

너를 생각해
주시크 (Joosiq) | 너를 생각해","8,874,893","뮤직레시피
Warner Music",,
34,2,"

Hey Mama (Feat. Nicki Minaj & Afrojack)
David Guetta | Listen (Deluxe)","8,819,105","Parlophone France
Warner Music",,
35,new,"

WAITING
WOODZ (조승연) | ONLY LOVERS LEFT","8,510,424","위에화엔터테인먼트코리아
지니뮤직, Stone Music Entertainment",,
36,1,"

하루만 더
빅마마 (BigMama) | 하루만 더","8,339,865","Kakao Entertainment
Kakao Entertainment",,
37,4,"

가을 우체국 앞에서
김대명 | 슬기로운 의사생활 시즌2 OST Part 2","8,259,969","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
38,1,"

사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
호미들 | 사이렌 Remix","8,223,142","영앤리치 레코즈
Kakao Entertainment",,
39,1,"

어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
AKMU (악뮤) | 항해","8,175,482","YG Entertainment
YG PLUS",,
40,1,"

찰나가 영원이 될 때 (The Eternal Moment)
마크툽 (Maktub) | Red Moon : Beyond The Light","8,004,715","MAKTUB Company
Warner Music",,
41,2,"

내 손을 잡아
아이유 (IU) | 최고의 사랑 OST Part 4","7,937,092","더그루브엔터테인먼트
Kakao Entertainment",,
42,8,"

Off My Face
Justin Bieber | Justice","7,772,254","RBMG/Def Jam
Universal Music",,
43,1,"

Savage Love (Laxed - Siren Beat) (BTS Remix)
Jawsh 685, Jason Derulo, BTS | Savage Love (Laxed - Siren Beat) (BTS Remix)","7,743,753","Columbia
Sony Music",,
44,-,"

밤하늘의 별을(2020)
경서 | 밤하늘의 별을(2020)","7,604,607","꿈의엔진
Kakao Entertainment",,
45,new,"

내 기억 속에 남아 있는 그대 모습은
산들 | 갯마을 차차차 OST Part 6","7,598,397","Stone Music Entertainment
지니뮤직",,
46,-,"

밝게 빛나는 별이 되어 비춰줄게
송이한 | 밝게 빛나는 별이 되어 비춰줄게","7,578,362","뮤직디자인
Kakao Entertainment",,
47,1,"

Lovesick Girls
BLACKPINK | THE ALBUM","7,435,492","YG Entertainment
YG PLUS",,
48,10,"

빨간 립스틱 (Feat. 윤미래)
이하이 | 4 ONLY","7,141,121","AOMG
지니뮤직, Stone Music Entertainment",,
49,6,"

Alcohol-Free
TWICE | Taste of Love","7,130,481","JYP Entertainment
Dreamus",,
50,3,"

안녕 (Hello)
조이 (JOY) | 안녕 (Hello) - Special Album","7,103,909","SM Entertainment
Dreamus",,
51,7,"

추억은 만남보다 이별에 남아
정동하 | 추억은 만남보다 이별에 남아","7,012,677","뮤직원 컴퍼니
Kakao Entertainment",,
52,5,"

모든 날, 모든 순간 (Every day, Every Moment)
폴킴 | `키스 먼저 할까요?` OST Part 3","6,981,047","SM Entertainment
Dreamus",,
53,1,"

작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
방탄소년단 | MAP OF THE SOUL : PERSONA","6,958,033","BIGHIT MUSIC / HYBE
YG PLUS",,
54,new,"

힘을 내세요
이찬원 | ..선물","6,957,236","블리스엔터테인먼트
2%엔터테인먼트",,
55,6,"

치맛바람 (Chi Mat Ba Ram)
브레이브걸스 (Brave Girls) | Summer Queen","6,931,231","브레이브 엔터테인먼트
Kakao Entertainment",,
56,2,"

Blueming
아이유 (IU) | Love poem","6,917,817","Kakao Entertainment
Kakao Entertainment",,
57,2,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","6,890,340","TOON STUDIO
Kakao Entertainment",,
58,7,"

운전만해 (We Ride)
브레이브걸스 (Brave Girls) | We Ride","6,865,422","브레이브 엔터테인먼트
Kakao Entertainment",,
59,1,"

이제 나만 믿어요
임영웅 | 내일은 미스터트롯 우승자 특전곡","6,821,646","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
60,7,"

Timeless
SG 워너비 | SG Wanna Be+","6,816,732","Stone Music Entertainment
지니뮤직",,
61,-,"

잠이 오질 않네요
장범준 | 잠이 오질 않네요","6,648,423","버스커버스커
Kakao Entertainment",,
62,3,"

흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
장범준 | 멜로가 체질 OST Part 3","6,494,482","Stone Music Entertainment, 삼화네트웍스
지니뮤직, Stone Music Entertainment",,
63,1,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","6,472,399","EDAM엔터테인먼트
Kakao Entertainment",,
64,5,"

멜로디
ASH ISLAND | 멜로디","6,425,984","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
65,1,"

어푸 (Ah puh)
아이유 (IU) | 5th Album 'LILAC'","6,324,466","EDAM엔터테인먼트
Kakao Entertainment",,
66,4,"

상상더하기
라붐 (LABOUM) | Fresh Adventure","6,318,682","글로벌에이치미디어
인터파크",,
67,-,"

아로하
조정석 | 슬기로운 의사생활 OST Part 3","6,296,824","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
68,2,"

2002
Anne-Marie | Speak Your Mind (Deluxe)","6,249,506","Atlantic Records UK
Warner Music",,
