Title/Artist/Album,Score,Production/Distribution,Play,,,
1,-,"

Counting Stars (Feat. Beenzino)
BE`O (비오) | Counting Stars","27,134,759","페임어스 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
2,-,"

회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)
sokodomo | 쇼미더머니 10 Episode 2","26,213,679","Stone Music Entertainment
지니뮤직",,
3,-,"

리무진 (Feat. MINO) (Prod. GRAY)
BE`O (비오) | 쇼미더머니 10 Episode 3","24,275,613","Stone Music Entertainment
지니뮤직",,
4,1,"

ELEVEN
IVE (아이브) | ELEVEN","19,513,085","스타쉽엔터테인먼트
Kakao Entertainment",,
5,12,"

All I Want For Christmas Is You
Mariah Carey | Merry Christmas (Deluxe Anniversary Edition)","19,241,959","Columbia/Legacy
Sony Music",,
6,10,"

Santa Tell Me
Ariana Grande | Santa Tell Me","17,946,702","Republic Records, a division of UMG Recordings,Inc
Universal Music",,
7,3,"

만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL)
베이식(Basick) | 쇼미더머니 10 Episode 3","17,135,286","Stone Music Entertainment
지니뮤직",,
8,2,"

불협화음 (Feat. AKMU) (Prod. GRAY)
Mudd the student | 쇼미더머니 10 Semi Final","16,478,683","Stone Music Entertainment
지니뮤직",,
9,3,"

눈이 오잖아 (Feat.헤이즈)
이무진 | 눈이 오잖아","15,402,924","쇼플레이
Kakao Entertainment",,
10,-,"

매일 크리스마스 (Everyday Christmas)
다비치 | 매일 크리스마스 (Everyday Christmas)","14,627,538","WAKEONE
지니뮤직",,
11,4,"

strawberry moon
아이유 (IU) | strawberry moon","14,449,296","EDAM엔터테인먼트
Kakao Entertainment",,
12,4,"

사랑은 늘 도망가
임영웅 | 신사와 아가씨 OST Part.2","14,300,143","모스트콘텐츠
NHN벅스",,
13,HOT,"

Still I Love You
토요태 | Still I Love You","13,534,585","MBC
Dreamus",,
14,17,"

미리 메리 크리스마스 (Feat. 천둥)
아이유 (IU) | Real","13,029,846","Kakao Entertainment
Kakao Entertainment",,
