,music,singer,release_date,category,music_like,movie_like,movie_views
0,걱정말아요 그대,이적,2015.11.07,"발라드, 국내드라마",175223,,
1,소녀,오혁,2015.11.21,"발라드, 국내드라마",199124,1294.0,744349.0
2,어땠을까,김나영,2015.12.30,발라드,72675,,
3,Dream,"수지, 백현",2016.01.07,R&B/Soul,216083,14147.0,1394174.0
4,매일 그대와,소진,2015.12.26,"발라드, 국내드라마",20213,548.0,164752.0
5,사랑이 맞을거야,윤미래,2015.12.14,발라드,42381,624.0,218061.0
6,DADDY,싸이,2015.12.01,댄스,59969,4204.0,2797387.0
7,함께,노을,2015.12.19,"발라드, 국내드라마",73855,,
8,혜화동,박보람,2015.11.28,"발라드, 국내드라마",80463,887.0,369584.0
9,청춘,김필,2015.10.31,"포크/블루스, 국내드라마",89257,1160.0,487831.0
10,OOH-AHH하게,TWICE,2015.10.20,댄스,142864,10974.0,4936215.0
11,니가 하면 로맨스,케이윌,2016.01.06,R&B/Soul,50686,1005.0,304150.0
12,유레카,지코,2015.12.07,랩/힙합,92105,3704.0,1119871.0
13,또 다시 사랑,임창정,2015.09.22,발라드,197156,2299.0,502111.0
14,세월이 가면,기현(Kihyun),2016.01.02,"발라드, 국내드라마",35350,,
15,여자이니까,다비치,2016.06.22,발라드,8902,,
16,Sunflower,윤하,2016.06.27,"발라드, 국내드라마",24666,,
17,월량대표아적심,홍진영,2016.06.28,성인가요/트로트,12030,505.0,101860.0
18,No Way,"박용인, 권순일",2016.06.20,"발라드, 국내드라마",27743,,
19,Fashion,태연,2016.06.28,댄스,15107,,
20,Hands on Me,태연,2016.06.28,댄스,19270,,
21,SYSTEM,아이언,2016.09.09,랩/힙합,9809,361.0,70202.0
22,Up & Down,태연,2017.02.28,댄스,40682,3445.0,96300.0
23,Good Thing,태연,2016.06.28,댄스,15427,,
24,Machine Gun,"KUSH, 자이언티(Zion.T)",2016.06.29,랩/힙합,25711,,
25,처음 본 여자는 다 예뻐,베이빌론,2016.06.23,R&B/Soul,15060,210.0,57080.0
26,RAPSTAR,"플로우식, 더 콰이엇, 도끼(Dok2)",2016.07.02,랩/힙합,10158,478.0,42389.0
27,Ring My Bell,수지,2016.07.01,"발라드, 국내드라마",36293,1531.0,255691.0
28,Forever,비와이(BewhY),2016.07.02,랩/힙합,105583,1353.0,332960.0
29,드러머,"자이언티(Zion.T), 서출구",2016.07.02,랩/힙합,14801,420.0,39308.0
30,Why,태연,2016.06.28,댄스,121213,5088.0,714811.0
31,Shut Up,언니쓰,2016.07.01,댄스,61879,2648.0,848518.0
